eps,min_sample,n_cluster,silhouette
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.49,5.0,1.0,-0.08152616097150446
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.51,5.0,1.0,-0.07703694523336072
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.53,6.0,1.0,-0.059589301110189855
0.55,6.0,1.0,-0.04377068786598308
0.55,6.0,1.0,-0.04377068786598308
0.55,6.0,1.0,-0.04377068786598308
0.55,6.0,1.0,-0.04377068786598308
0.55,6.0,1.0,-0.04377068786598308
0.55,6.0,1.0,-0.04377068786598308
0.55,6.0,1.0,-0.04377068786598308
0.55,6.0,1.0,-0.04377068786598308
0.56,6.0,1.0,-0.03940848401215613
0.56,6.0,1.0,-0.03940848401215613
0.56,6.0,1.0,-0.03940848401215613
0.56,6.0,1.0,-0.03940848401215613
0.56,6.0,1.0,-0.03940848401215613
0.56,6.0,1.0,-0.03940848401215613
0.56,6.0,1.0,-0.03940848401215613
0.56,6.0,1.0,-0.03940848401215613
0.56,6.0,1.0,-0.03940848401215613
0.56,6.0,1.0,-0.03940848401215613
0.56,6.0,1.0,-0.03940848401215613
0.56,6.0,1.0,-0.03940848401215613
0.56,6.0,1.0,-0.03940848401215613
0.56,6.0,1.0,-0.03940848401215613
0.5800000000000001,4.0,1.0,0.018695091543982686
0.5800000000000001,4.0,1.0,0.018695091543982686
0.5800000000000001,4.0,1.0,0.018695091543982686
0.5800000000000001,4.0,1.0,0.018695091543982686
0.5800000000000001,4.0,1.0,0.018695091543982686
0.5800000000000001,4.0,1.0,0.018695091543982686
0.5800000000000001,4.0,1.0,0.018695091543982686
0.5800000000000001,4.0,1.0,0.018695091543982686
0.59,4.0,1.0,0.025385824322887933
0.59,4.0,1.0,0.025385824322887933
0.59,4.0,1.0,0.025385824322887933
0.59,4.0,1.0,0.025385824322887933
0.59,4.0,1.0,0.025385824322887933
0.59,4.0,1.0,0.025385824322887933
0.59,4.0,1.0,0.025385824322887933
0.59,4.0,1.0,0.025385824322887933
0.6,4.0,1.0,0.03345892640383314
0.6,4.0,1.0,0.03345892640383314
0.6,4.0,1.0,0.03345892640383314
0.6,4.0,1.0,0.03345892640383314
0.6,4.0,1.0,0.03345892640383314
