eps,min_sample,n_cluster,silhouette
0.46,5.0,1.0,-0.02187709245161916
0.46,5.0,1.0,-0.02187709245161916
0.46,5.0,1.0,-0.02187709245161916
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.47000000000000003,5.0,1.0,-0.006955294250950749
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.48000000000000004,6.0,1.0,-0.005092743452210193
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.49,7.0,1.0,0.00714464402021544
0.5,7.0,1.0,0.014757096746907228
