"Horizontal_mean_delta_l","Horizontal_mean_delta_r","Horizontal_mean_delta_m","Horizontal_mean_geschwindigkeit_l","Horizontal_mean_geschwindigkeit_r","Horizontal_mean_geschwindigkeit_m","Horizontal_max_delta_l","Horizontal_max_delta_r","Horizontal_max_delta_m","Horizontal_max_geschwindigkeit_l","Horizontal_max_geschwindigkeit_r","Horizontal_max_geschwindigkeit_m","Horizontal_min_delta_l","Horizontal_min_delta_r","Horizontal_min_delta_m","Horizontal_min_geschwindigkeit_l","Horizontal_min_geschwindigkeit_r","Horizontal_min_geschwindigkeit_m","Horizontal_standardabweichung_delta_l","Horizontal_standardabweichung_delta_r","Horizontal_standardabweichung_delta_m","Horizontal_standardabweichung_geschwindigkeit_l","Horizontal_standardabweichung_geschwindigkeit_r","Horizontal_standardabweichung_geschwindigkeit_m","Horizontal_varianz_delta_l","Horizontal_varianz_delta_r","Horizontal_varianz_delta_m","Horizontal_varianz_geschwindigkeit_l","Horizontal_varianz_geschwindigkeit_r","Horizontal_varianz_geschwindigkeit_m","Horizontal_tendenz_l","Horizontal_tendenz_r","Horizontal_tendenz_m","Horizontal_Kovarianz_blick_x","Horizontal_Kovarianz_blick_y","Liegende_8_langsam_mean_delta_l","Liegende_8_langsam_mean_delta_r","Liegende_8_langsam_mean_delta_m","Liegende_8_langsam_mean_geschwindigkeit_l","Liegende_8_langsam_mean_geschwindigkeit_r","Liegende_8_langsam_mean_geschwindigkeit_m","Liegende_8_langsam_max_delta_l","Liegende_8_langsam_max_delta_r","Liegende_8_langsam_max_delta_m","Liegende_8_langsam_max_geschwindigkeit_l","Liegende_8_langsam_max_geschwindigkeit_r","Liegende_8_langsam_max_geschwindigkeit_m","Liegende_8_langsam_min_delta_l","Liegende_8_langsam_min_delta_r","Liegende_8_langsam_min_delta_m","Liegende_8_langsam_min_geschwindigkeit_l","Liegende_8_langsam_min_geschwindigkeit_r","Liegende_8_langsam_min_geschwindigkeit_m","Liegende_8_langsam_standardabweichung_delta_l","Liegende_8_langsam_standardabweichung_delta_r","Liegende_8_langsam_standardabweichung_delta_m","Liegende_8_langsam_standardabweichung_geschwindigkeit_l","Liegende_8_langsam_standardabweichung_geschwindigkeit_r","Liegende_8_langsam_standardabweichung_geschwindigkeit_m","Liegende_8_langsam_varianz_delta_l","Liegende_8_langsam_varianz_delta_r","Liegende_8_langsam_varianz_delta_m","Liegende_8_langsam_varianz_geschwindigkeit_l","Liegende_8_langsam_varianz_geschwindigkeit_r","Liegende_8_langsam_varianz_geschwindigkeit_m","Liegende_8_langsam_tendenz_l","Liegende_8_langsam_tendenz_r","Liegende_8_langsam_tendenz_m","Liegende_8_langsam_Kovarianz_blick_x","Liegende_8_langsam_Kovarianz_blick_y","Liegende_8_schnell_mean_delta_l","Liegende_8_schnell_mean_delta_r","Liegende_8_schnell_mean_delta_m","Liegende_8_schnell_mean_geschwindigkeit_l","Liegende_8_schnell_mean_geschwindigkeit_r","Liegende_8_schnell_mean_geschwindigkeit_m","Liegende_8_schnell_max_delta_l","Liegende_8_schnell_max_delta_r","Liegende_8_schnell_max_delta_m","Liegende_8_schnell_max_geschwindigkeit_l","Liegende_8_schnell_max_geschwindigkeit_r","Liegende_8_schnell_max_geschwindigkeit_m","Liegende_8_schnell_min_delta_l","Liegende_8_schnell_min_delta_r","Liegende_8_schnell_min_delta_m","Liegende_8_schnell_min_geschwindigkeit_l","Liegende_8_schnell_min_geschwindigkeit_r","Liegende_8_schnell_min_geschwindigkeit_m","Liegende_8_schnell_standardabweichung_delta_l","Liegende_8_schnell_standardabweichung_delta_r","Liegende_8_schnell_standardabweichung_delta_m","Liegende_8_schnell_standardabweichung_geschwindigkeit_l","Liegende_8_schnell_standardabweichung_geschwindigkeit_r","Liegende_8_schnell_standardabweichung_geschwindigkeit_m","Liegende_8_schnell_varianz_delta_l","Liegende_8_schnell_varianz_delta_r","Liegende_8_schnell_varianz_delta_m","Liegende_8_schnell_varianz_geschwindigkeit_l","Liegende_8_schnell_varianz_geschwindigkeit_r","Liegende_8_schnell_varianz_geschwindigkeit_m","Liegende_8_schnell_tendenz_l","Liegende_8_schnell_tendenz_r","Liegende_8_schnell_tendenz_m","Liegende_8_schnell_Kovarianz_blick_x","Liegende_8_schnell_Kovarianz_blick_y","id","cluster"
-0.6346728829137004,-0.8927793434874652,-0.752028421391656,0.9842154330626842,-0.9875062319849329,0.9686681189902988,-0.6172342577123267,-0.8983013957046458,-0.7017533077940474,0.8790736902673957,-0.11876939271217757,0.8794917892328826,-0.8665076288893058,-0.8226420013553317,-0.8668360876955316,0.9999202833862502,-0.9358706246955363,0.9996898799776375,-0.7295956768584841,-0.9239406396689415,-0.8381773770297809,0.9678327488800831,-0.8411184192222204,0.9632654507111456,-0.9647275684597995,-0.9907753182450448,-0.9877116535392416,0.9993223993012548,-0.980887231078719,0.9991402258874154,0.9603960396039604,-1.0,0.9603960396039604,-0.37661766412746445,-0.8002532050782878,-0.3657001271578877,-0.25818170487218184,-0.2952336057656144,0.990614833643874,-0.7101796190180287,0.9851154879072042,-0.2954039348196442,-0.4243947853294371,-0.308166374278799,0.883282753911451,-0.07700986216724337,0.8812780099536919,-0.6587809557299809,-0.9113366993684502,-0.9034503500876826,0.9999729227935097,-0.007346724556319129,0.9999680678884644,-0.335044201077662,-0.3260370774095659,-0.27357117889915983,0.977871901773159,-0.4386484185750722,0.9714124357675522,-0.7819352210687125,-0.737769224571609,-0.7395362735191215,0.9995871909425602,-0.8303910693022637,0.9993074981005929,0.9603960396039604,-1.0,0.9603960396039604,-0.1980052847791216,-0.7324507192591534,-0.7313426862288361,-0.7626766137036517,-0.735326369364525,0.980030576525249,-0.914118668369921,0.9783491282575107,-0.6950528310788593,0.5137585341425372,-0.14112335063978398,0.8925831057725628,-0.050191633578862915,0.8890757175338022,-0.24541402417191838,-0.5555980347944749,-0.8230615703295683,0.9999016664786169,-0.9225226897358227,0.9998793445526837,-0.8300935459809171,-0.776212342987133,-0.7969052049222919,0.9632858247762013,-0.6857962811976659,0.9633195991982881,-0.986465296813617,-0.9593701852417239,-0.9804429180269663,0.999042923336978,-0.9422367852451125,0.9990120194545755,1.0,-1.0,1.0,-0.057757664368449646,-0.8162982446241864,1.0,"cluster_1"
-0.7835639223216053,-0.9253419225912274,-0.783893005733336,0.9846367308208521,-0.9777529401595474,0.9691466985066239,-0.7933232391971554,-0.9509682418095426,-0.7672852954906904,0.8547235552040018,-0.34500723256377663,0.8570820264716092,-0.9033140017778394,-0.8961731937385321,-0.7945585208919249,0.9999137449945694,-0.978436196715497,0.9996844114196355,-0.8629048492088769,-0.9623998408832988,-0.8698885638312107,0.9708395533166947,-0.7687253350249261,0.9663398687004032,-0.9912906602342367,-0.9961002140225257,-0.9921881107509385,0.9993402729145184,-0.9641791486996266,0.9991582840836684,0.9603960396039604,-1.0,0.9603960396039604,-0.3545385092771124,-0.7797375010738843,-0.7992704407292116,-0.8830278607205567,-0.7733332677280826,0.9902269259105874,-0.9579086773868428,0.9840615900181788,0.2935006988050961,0.2406998526727009,0.31962499302638636,0.9027336140513942,0.22865154426351353,0.9132290820637003,-0.6284135613199391,-0.937094145875586,-0.8897993563626299,0.9999484677659989,-0.5361025233383484,0.9999426170186718,-0.5356247644081658,-0.5651099872452992,-0.49978956711146394,0.9767234473820703,-0.7007650558728339,0.9680786778325099,-0.8945914418811785,-0.8786892982815573,-0.8776274450487191,0.9995795278204924,-0.9476347933680703,0.9992819900551095,0.9603960396039604,-1.0,0.9603960396039604,-0.04541993260917865,-0.6371019339919156,-0.7891804237259137,-0.9254457383614209,-0.8012604688138429,0.9797978484937118,-0.956213419533059,0.9780613125691509,-0.6564444492324583,-0.7963456245443843,-0.6408077620138296,0.8522890440661619,-0.30187342583749566,0.8544189947845093,-0.8319993692793268,-0.4927877433797134,-0.6542767440951964,0.9999085080162016,-0.666627566828062,0.9998905047011128,-0.8377049939699558,-0.9108386612212817,-0.8345623854895186,0.962011535340797,-0.7738349517846604,0.9616773234776648,-0.9876913656336658,-0.9893432613825507,-0.9871961222847182,0.999034980134043,-0.9680616397503294,0.9990006719741431,1.0,-1.0,1.0,-0.07466218134203295,-0.7970996575573258,2.0,"cluster_1"
-0.7309399013616205,-0.9074631021523423,-0.761615172265049,0.9840549510770595,-0.9691880462030554,0.9689360014205726,-0.6800265886617736,-0.8526911901180736,-0.6661163638314493,0.7801826028904091,-0.11809952142950964,0.8755816021669138,-0.6403698261381535,-0.8926157402898591,-0.6253916790168348,0.9999237191298349,-0.6955619910955767,0.9997037418258365,-0.823829667269964,-0.9167975251030049,-0.8320233906932322,0.9649362292902461,-0.744882757638939,0.9648819907591735,-0.985356018541309,-0.9896375375764969,-0.9867257721666138,0.9993140476371642,-0.9575799495933592,0.999148493492064,0.9603960396039604,-1.0,0.9603960396039604,-0.3472156801551687,-0.8066836465453848,-0.7544406770829055,-0.8799838377221405,-0.7882728528371633,0.9903497258063723,-0.9185720475471639,0.9841736905406551,-0.4099820777803376,-0.32760996381004615,-0.4879440947032735,0.8896780778885578,0.07258756047579396,0.9005298898380432,-0.5691543748522504,-0.848141777383945,-0.8713665229847691,0.9999740285066092,-0.03867943410727259,0.9999673467122698,-0.7998915600972786,-0.8366761533393399,-0.7769990753558542,0.9766526120801526,-0.7070971601234184,0.9681760517431557,-0.9811731921774292,-0.9748752779057452,-0.9765518152674032,0.9995790996307012,-0.9496425606029989,0.9992825715124349,0.9603960396039604,-1.0,0.9603960396039604,-0.05119972514198101,-0.6484636901933224,-0.7185339223875856,-0.8822276818377309,-0.7541925325639995,0.9795195605268783,-0.9798448780996444,0.9776868655496029,-0.7376235599639893,-0.8998670321797176,-0.7341129777470818,0.7766884819966897,-0.9766182639238288,0.7776247468431099,-0.7537604335643638,-0.6207574022764177,-0.6036944655902052,0.9998956655438813,-0.8609986408235164,0.9998804168688609,-0.8495752133144527,-0.9363801417183272,-0.8588805070791352,0.9578531223405244,-0.9690453859721292,0.9570318140762637,-0.9894871275392014,-0.9931447732324881,-0.9907990815698204,0.9990208545635457,-0.9985541705119788,0.9989838367751407,1.0,-1.0,1.0,-0.09361489651650234,-0.8121726914196901,3.0,"cluster_1"
-0.5462943250648353,-0.6304475440707011,-0.525845544782266,0.9841817852100765,-0.9902505647173078,0.9686081885071505,-0.10261367926789,-0.22062693287198032,-0.08420023234032925,0.7963679815256437,-0.8519856367365466,0.797388131326435,-0.8083888544645719,-0.9327697297044935,-0.7865291497738418,0.9999218515746855,-0.8299576347220178,0.9996930720011736,-0.5047155143571307,-0.6051957464691697,-0.5166596513473903,0.965642521218284,-0.9433558705568017,0.9611831215950364,-0.8794169371234803,-0.8946416117084985,-0.8852221053267116,0.9993152819867954,-0.9959531077505562,0.9991335876645813,0.9603960396039604,-1.0,0.9603960396039604,-0.1929709186006624,-0.7886634228268699,-0.5228255031143226,-0.47078701680527035,-0.43797378363754624,0.990291728810909,-0.9255741478652133,0.9840609867535859,0.09622567812799576,0.015443234516469007,0.10748746044120394,0.8654378604357602,-0.10499584351449742,0.8747305772740965,-0.6834076620016465,-0.7848775914622439,-0.8743281928599331,0.9999702333136404,-0.07590466820924946,0.9999647651804324,-0.34862352789664064,-0.36759050988501285,-0.30533241741810346,0.9754531436821043,-0.699151974332231,0.9670077200393921,-0.7908404593311847,-0.7660439323652088,-0.7620353166094517,0.9995726334183406,-0.9471168193804232,0.9992762447272652,0.9603960396039604,-1.0,0.9603960396039604,-0.16693488773411314,-0.6703848832649799,-0.7941634818155607,-0.9022963703905295,-0.7953154236230412,0.9796563744565063,-0.9603584013273759,0.9778230776930759,-0.7949160987119573,-0.9266917466779235,-0.802322233631087,0.8901195255133487,0.024756196940252995,0.8920668456911169,-0.7043141784123503,-0.9096865240382399,-0.702818266814168,0.9998960956790894,-0.6945701223010967,0.999883306176075,-0.8654524446766051,-0.928881010275381,-0.8603329797812784,0.9612218885936716,-0.7879720156658125,0.9604235250420647,-0.9916674848266493,-0.9920909711739416,-0.990995450820699,0.9990309088759333,-0.971509327582944,0.9989939061190709,1.0,-1.0,1.0,-0.1086145816862345,-0.8114464671753516,4.0,"cluster_0"
-0.4642121854425564,-0.585120730211194,-0.4646359493266723,0.9849883772742649,-0.943547779727186,0.9694154582716501,0.17894834647958757,0.11150841406674039,0.08850804634699472,0.8953757147361265,0.868784321875083,0.9753596828528734,0.07467760895950448,0.20133035747216566,0.5363340430024444,0.9999111341408069,-0.8425427876019767,0.9996926459837656,-0.4220188571214988,-0.5311034897831264,-0.4493688724528543,0.9702837467110179,-0.5776578345234251,0.967979232420408,-0.8352558420924865,-0.8590017207358567,-0.8506170082199919,0.9993362626023399,-0.8960284353969378,0.99917193801074,0.9603960396039604,-1.0,0.9603960396039604,-0.11473428821799447,-0.5954593999869489,-0.6596964093463099,-0.5787335329913619,-0.5612924429217125,0.99079712085602,-0.8202937863797366,0.9845626881229976,-0.5163945040329696,-0.3933508622178382,-0.5287504762961158,0.8871992527067851,0.4242495862471751,0.9166081168767861,-0.7362284343820942,-0.16854333533099652,-0.7348496277695382,0.9999728711351872,-0.03863131478430215,0.9999667983356997,-0.7325879109896758,-0.7725924591825206,-0.715449005496672,0.9771586526532949,-0.5602519183198678,0.9690129808230623,-0.9657962038257861,-0.9583031321693134,-0.9612731968595485,0.999582271949949,-0.8930722947896261,0.9992879749437538,0.9603960396039604,-1.0,0.9603960396039604,-0.14504165603418506,-0.6350803337909667,-0.6692329169457982,-0.7303129510338466,-0.6461285146736581,0.9797641411009923,-0.9575646038278164,0.9777761008527663,-0.4400762242602684,-0.5904466281188527,-0.4401340062268766,0.9145005155254282,-0.47034593068462527,0.8367764532234849,-0.7448355511003983,-0.5381715557517487,-0.735956882003826,0.9999033310811074,-0.9503832644837933,0.9998893631811148,-0.6892981285302389,-0.7639397276384164,-0.6919095292882058,0.9622878556532086,-0.87843701904732,0.9587089145593475,-0.9532755080087674,-0.9558071101770439,-0.9540795645616693,0.9990365585772933,-0.9889894207167498,0.9989873131575426,1.0,-1.0,1.0,-0.20954249191705732,-0.8100393496830194,5.0,"cluster_0"
-0.19985169208626596,-0.46324554051430267,-0.27797293319718697,0.9852056169340635,-0.9462769193765329,0.9695702939842241,0.26616949555631186,0.11779971855406957,0.2403907167399233,0.9445560372880066,0.5387687552789211,0.9487529900452372,0.12058792381192562,-0.698640016376783,-0.29138655362035437,0.9999400251622237,-0.9411651417048287,0.9997075011328431,-5.120805126312966E-4,-0.09539826029682275,-0.020738621017670655,0.9733151882928728,-0.5865563508448977,0.9687695560130782,-0.5033059772262903,-0.5479695422793412,-0.5233094810663668,0.9993620267783794,-0.89997693765573,0.9991795205818716,0.9603960396039604,-1.0,0.9603960396039604,0.14629697456015234,-0.050114185320763394,-0.5327074751204863,-0.592571789274607,-0.5415895591807875,0.990912962870816,-0.8400216914547647,0.984710698951998,0.2892461646428468,0.17134192189956243,0.2838486941285696,0.8584653485994187,-0.1648909065334907,0.8680132792868516,-0.6020909178589385,-0.8192501712629279,-0.8605985757996997,0.9999711933392381,-0.04664769251852152,0.9999657397276924,-0.3670048959616816,-0.2529575492337094,-0.342974440014992,0.9773824596179244,-0.596236897824429,0.9694325273193409,-0.8025990875085047,-0.6841833557504845,-0.7873842942136207,0.9995837590640202,-0.9088701700655019,0.9992909573301696,0.9603960396039604,-1.0,0.9603960396039604,0.1942136583358649,-0.36023484941666883,-0.5536593586701272,-0.7445636301052392,-0.6001052607062074,0.9805248050978403,-0.8744490843861447,0.9787393888480465,-0.2372058118002608,-0.365238561669862,-0.2210783378379727,0.8844026645147016,-0.05401435283302769,0.8847121436151992,-0.5705809811982538,-0.6452375866896128,-0.5378028279051846,0.9999016275290709,0.22300220376562074,0.99993314225687,-0.6703860097686907,-0.715425706273956,-0.6581270130050842,0.9649810820508729,-0.6282628485090684,0.964552206772483,-0.9472980828200055,-0.9403633212650765,-0.943238855770631,0.9990561190909744,-0.9213054038738291,0.9990223878943654,1.0,-1.0,1.0,0.08896613570761036,-0.7438057243435182,6.0,"cluster_2"
-0.30754823253570107,-0.38635487054533024,-0.3025232733599923,0.9848564523969605,-0.9540667118210604,0.9693399313383597,0.23874661227068894,0.1871393019394445,0.27401442244895,0.876009807051888,-0.7556099708577849,0.8797228195813809,-0.8902744311787989,-0.8849358134483344,-0.8730393010652431,0.9999159386873626,-0.6961338272031002,0.9997323001291147,-0.04165667834066822,-0.07001942875220157,-0.023948019575542268,0.9692012056413006,-0.8349483048583614,0.9648126077524364,-0.543577541956971,-0.5245081035651129,-0.5264467185467289,0.9993293713938736,-0.9796586290806948,0.999148082731149,0.9603960396039604,-1.0,0.9603960396039604,0.04056999318913701,-0.8052712795642909,-0.7387269153653293,-0.7141119519191568,-0.6815936496838875,0.9901743714110887,-0.9291860098272517,0.9839993312084183,-0.4804705187504359,-0.09147560528806298,-0.45411074403815577,0.8560142023266961,-0.1406956092489352,0.8685306858023703,-0.7388228086878819,-0.8695809163762462,-0.8673151871995118,0.9999741497323666,0.0024308779106987366,0.9999684563026261,-0.623987832640713,-0.6171943920179372,-0.5760552248026447,0.9738264429530294,-0.8105925926678652,0.9654226501964673,-0.9313669363697488,-0.9024036525980914,-0.9125626561372358,0.9995662307656252,-0.9769453310661758,0.9992699270420733,0.9603960396039604,-1.0,0.9603960396039604,-0.15873635829073607,-0.659604757484438,-0.6238542129511808,-0.7186197616217386,-0.626180897190679,0.979919714945795,-0.9474533158659993,0.9780557399703003,-0.3279459159196627,-0.3445504561334568,-0.25298730906213296,0.8885542173015795,0.013411617385320262,0.8906598664511627,-0.7814296217260461,-0.6020129628113675,-0.8157293239132436,0.9999195339512754,-0.5285618928711593,0.9999024069814748,-0.5749659878589128,-0.5756371096439163,-0.5379094852938473,0.962068214082507,-0.7694720899055987,0.9613902354595618,-0.911651825490983,-0.8837345605138297,-0.895348891004814,0.9990352974036929,-0.9669586940065953,0.998998977802674,1.0,-1.0,1.0,-0.19893279961647903,-0.8238016167291349,7.0,"cluster_0"
-0.5855151135124645,-0.7127786410340985,-0.5877150135443217,0.9858328794401143,-0.8947490803271384,0.9703147364278171,-0.34167932498895726,-0.48745471248449723,-0.32526305834133185,0.9349418500300235,0.4706971285841477,0.9401950726170556,-0.9089851161460469,-0.9112513005857867,-0.8671237605833164,0.9999155081269038,-0.8006938070711458,0.9996922249797002,-0.5577214893245788,-0.6240358829101711,-0.5500399926627189,0.9772576322508235,-0.32874655519512064,0.9729056988102847,-0.9041060836557266,-0.9029044365881302,-0.9006987116803522,0.9994097900939565,-0.7549181752797025,0.9992298166384248,0.9603960396039604,-1.0,0.9603960396039604,0.11455732854857859,0.14754685798227518,-0.25768757850242485,-0.13593163618556825,-0.14956747171168105,0.9918848170022403,-0.6833780557950371,0.9854420202371699,0.7584892621667099,0.7051870805116223,0.7831376350979102,0.9872216534128098,1.0,1.0,-0.5219408252549493,-0.9927259504096523,-0.8653028771635718,0.9999852719669446,0.18244274819992556,0.9999818196575785,0.3323172632662976,0.4036509492779292,0.4152760310624546,0.986933371109586,-0.004602044757414103,0.9776759369594819,-0.11550568882204737,0.01801033976087507,-0.0015405041209274328,0.9996952821746634,-0.4896694646236526,0.9993866312621418,0.9603960396039604,-1.0,0.9603960396039604,0.30166061010974476,0.008825077672441228,-0.44681216437992466,-0.5346091099155645,-0.4432408018823726,0.9812607774681028,-0.7546514622346991,0.9793956123174199,0.5743162424440826,0.510365689670971,0.6326665309983053,0.9337909569161449,0.4069699946298495,0.9358684372430932,-0.6891340603460696,-0.49087517020473137,-0.5199693024589469,0.999893012773944,-0.8213570709833187,0.9998785977253104,-0.2403913263878532,-0.26029283278509086,-0.23116720031788007,0.9706742069742607,-0.21340917134396087,0.9699256953350854,-0.7143000558509056,-0.6898547763319184,-0.7072769423573468,0.9991223962432889,-0.6754989634540084,0.9990861380882843,1.0,-1.0,1.0,0.5688183626148724,-0.36718607550043625,8.0,"cluster_3"
-0.6272591038304093,-0.8044262882942443,-0.6550720205880172,0.9859057923747405,-0.8860275620007707,0.9712874041574586,-0.011156263290681867,-0.11830714016623267,0.007900046604777167,0.8488824004228952,-0.34997972973873426,0.8537247168710935,-0.8720808966098101,-0.9480806436614291,-0.8959314541302796,0.9999305627188959,-0.7072848724499068,0.9997194758245429,-0.5096074732866669,-0.6069721694143994,-0.5159423761222661,0.9743609217986611,-0.48667118067661075,0.9721291883028673,-0.8818138631730033,-0.8954345520425221,-0.8848772474820309,0.9993731252905667,-0.8513128789225386,0.999219015419877,0.9603960396039604,-1.0,0.9603960396039604,-0.12789231861168626,-0.7577615337224645,-0.8126208845284024,-0.9132284302975553,-0.8012142439660347,0.9924851406186801,-0.7171070410457911,0.9865647240027746,-0.5359585924399252,-0.6764924947143551,-0.552130952947778,0.874136593241122,-0.1370548155230925,0.8828236445932338,-0.7241228147561938,-0.834087132545902,-0.8825343453458356,0.9999738458167466,-0.006502087487752273,0.9999680295646922,-0.7915844620871448,-0.8928702535482099,-0.7906109191742936,0.9849996549306355,-0.3153468429514902,0.977114389558132,-0.9795219830016066,-0.986293300609866,-0.9794153644109477,0.9996651199470661,-0.7521865859719237,0.9993778742763257,0.9603960396039604,-1.0,0.9603960396039604,0.00811850581559459,-0.7144025345626823,-0.7727273716161133,-0.9142376914640187,-0.7920770300523858,0.9827255410495181,-0.7811193427567495,0.9809474246612508,-0.24088529348481125,-0.3424085296784265,-0.20461800954713738,0.8840487402949595,-0.3287574232943794,0.8832548735209811,-0.8303775736510289,-0.8040747242993191,-0.7454319310102648,0.9998895261991201,-0.826525916894552,0.9998766469920466,-0.7098843988897703,-0.7637444222363243,-0.697919919339758,0.9726452169286413,-0.45437103735591355,0.9717869789525664,-0.9593730707027289,-0.955749285664682,-0.9558879749443305,0.999153229301444,-0.8385581980822309,0.9991152566536339,1.0,-1.0,1.0,0.10477045291807019,-0.8496912568905406,9.0,"cluster_0"
-0.6966880839362859,-0.9051667267133902,-0.7270686048466319,0.9843145054666014,-0.982867817640179,0.9687833166439743,-0.5700003193870132,-0.7913415126715552,-0.5787713235672378,0.8730533054677638,-0.10779966995626977,0.8770994046590257,-0.7050881657413455,-0.9684462099961415,-0.7459756271055735,0.9999173569851998,-0.8599675611105028,0.999691125763571,-0.787290734459398,-0.8709837457708662,-0.7872838104847835,0.9695065009278618,-0.7437689669182239,0.9650678723140469,-0.9784173833887027,-0.9812320631765116,-0.9784135375832211,0.9993311917916585,-0.9572583888627298,0.9991496186601034,0.9603960396039604,-1.0,0.9603960396039604,-0.3923318243135979,-0.7747113025544834,-0.8065613534418934,-0.9244105754345626,-0.7937241000556927,0.9902382457452128,-0.9524888632364983,0.9840346717650494,-0.7198380233558558,-0.9407599073911015,-0.8190660005616321,0.8894372507152806,-0.10153997427918426,0.8874671313022777,-0.6517916310349867,-0.8181554422821112,-0.872132919531565,0.9999744401026909,-0.005547412115838202,0.9999683483931898,-0.8879772095575833,-0.9689802832142707,-0.8845426806318278,0.9763591420555606,-0.6931481483363295,0.9675792147276043,-0.9944074751489665,-0.9971188711851309,-0.9940877369636621,0.9995773806863932,-0.9451681020156963,0.9992791624128998,0.9603960396039604,-1.0,0.9603960396039604,-0.0949703954163954,-0.671432677434486,-0.6914661667158837,-0.8398864977922543,-0.704483227604356,0.9799198322546117,-0.9483730617733996,0.9781016884640303,-0.5634795225090751,-0.6912908887811204,-0.542049201138477,0.8891169923828404,0.014266474583417343,0.8909896395368573,-0.6968998755226368,-0.4100172483458454,-0.5374192454017359,0.9998858437595253,-0.9640734766789922,0.9998714683228114,-0.7529854803408903,-0.8079581242995506,-0.7434351351313856,0.9639649349846402,-0.6854840104720993,0.9631961956415633,-0.970758694209068,-0.9679429571200594,-0.9684029613469332,0.9990478491705554,-0.9421318282283121,0.9990110688418035,1.0,-1.0,1.0,-0.16642958353239623,-0.8353536103664199,10.0,"cluster_1"
