t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,sacc_l,sacc_m,sacc_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
3350021544,47.5897912502,-46.5592468576,3350025244,659.905216147,496.43231108699996,661.1845555130001,492.456188975,660.54488583,494.44425003099997,687.5897912502,558.5592468576,68.01611461182556,69.58562874087218,71.18181464227693,0.00019847110645792335,0.00017212029542353023,0.00035544437722994374,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3350039555,50.8161398064,-49.5669424387,3350041240,679.087378324,503.335608106,669.694857158,502.06132855699997,674.391117741,502.69846833149995,690.8161398064,561.5669424387,59.40077561848599,61.116925589880275,63.14290668120671,0.0012744771276176341,0.0010077439061009776,0.0008022583196664796,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3350054567,53.7641871089,-52.2909335317,3350057236,698.997838664,519.973186259,681.372716182,512.462681385,690.1852774229999,516.2179338220001,693.7641871089,564.2909335317,44.625708195244435,48.2060358837837,53.28898828382958,0.0016220793244856532,0.00129971094141122,0.0009776463648680576,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
3350072577,56.8859482686,-55.1490099378,3350073232,704.389319712,531.520372949,692.5521967230001,521.540855889,698.4707582175001,526.530614419,696.8859482686,567.1490099378,36.410168314597406,40.64930106528034,45.81359097689308,0.0007966894921329883,0.0008270053898560989,0.0009002989377878448,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1
3350087586,60.0206275923,-57.9904219512,3350089228,706.998311988,537.971375758,696.2958894960001,522.4598876919999,701.647100742,530.215631725,700.0206275923,569.9904219512,32.77052637124205,39.808031255575955,47.67625573439067,0.00043502199189706617,0.0003041403296458821,0.00024098826271507165,0,0,0,1,-1,1,-1,-1,-1,-1,-1,-1
3350105604,63.1767346752,-60.8212913372,3350109222,707.471422956,535.024287736,705.911566625,531.243726371,706.6914947905,533.1340070535,703.1767346752,572.8212913372,38.040213309843146,39.842616285622185,41.66741189841567,0.00014928588095473487,0.0002914756110882024,0.0006513810034149667,0,0,1,1,-1,1,-1,1,-1,-1,-1,-1
3350123619,66.3522986105,-63.6381837497,3350125217,709.452768593,533.64466112,708.567396658,534.745362344,709.0100826255,534.195011732,706.3522986105,575.6381837497,42.107824177503055,41.52830748729188,40.952771601913796,0.00015094422900209688,0.00015941354766378028,0.00027476527708175424,0,0,0,1,-1,1,-1,1,-1,-1,-1,-1
3350141637,69.7015596258,-66.5738603592,3350145215,715.312122495,537.990532198,713.4724116760001,539.362300637,714.3922670855001,538.6764164174999,709.7015596258,578.5738603592,40.969317059830246,40.17223879190189,39.392457920675106,0.0003647919574804429,0.0003502167513409137,0.00033683960555404486,0,0,0,1,-1,1,-1,1,-1,-1,-1,-1
3350153632,72.7669855549,-69.2280411151,3350157213,718.293631341,542.64274248,717.778042657,539.850881954,718.035836999,541.2468122170001,712.7669855549,581.2280411151,38.9790852176506,40.32690739124759,41.6794912819664,0.000460544933391329,0.0003716439216694107,0.00036116545982719963,0,0,0,1,-1,1,-1,1,-1,-1,-1,-1
3350171643,76.0139505671,-72.0043736411,3350173212,723.609126585,548.8778543340001,721.126652012,542.673176003,722.3678892985,545.7755151685001,716.0139505671,584.0043736411,35.93826731180769,38.753298666313,41.64621968755825,0.0005121168602001644,0.0003917146675957673,0.000273725211864446,1,0,0,1,-1,1,-1,1,-1,-1,-1,-1
3350189659,79.2907224079,-74.7687471207,3350193210,728.789594731,552.9010423340001,724.088901607,547.2645786,726.439248169,550.0828104670001,719.2907224079,586.7687471207,35.174564715567065,37.375919637065756,39.79449527432832,0.00032799351306205465,0.0002963772201352979,0.0002732300886922379,0,0,0,1,-1,1,-1,1,-1,-1,-1,-1
3350204665,82.5877025092,-77.5113252662,3350205208,731.175042971,554.904464693,728.6336982989999,549.802096337,729.904370635,552.353280515,722.5877025092,589.5113252662,35.65637691829847,37.87154501991266,40.16686354748016,0.00025963783471810216,0.00034528400223165416,0.00043383950314660304,0,0,0,1,-1,1,-1,1,-1,-1,-1,-1
