t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y
10871587370,34.8982916893,-34.485883802,10871589046,661.666565394,479.816661825,631.904440105,482.599369337,646.7855027495,481.208015581,674.8982916893,546.485883802,67.96957951740053,71.07410907955149,77.00622055742942,3.1102250042629226e-08,1.7663876713086815e-08,2.051306624620792e-08,-1,-1,-1,-1,-1,-1
10871602386,37.9228746423,-37.3953320788,10871605046,657.451534546,481.167664321,632.547678628,488.993882337,644.999606587,485.080773329,677.9228746423,549.3953320788,71.2326499086418,72.25167158358772,75.54630066553456,1.7290040708967474e-08,1.665898968197705e-08,2.5104624915509944e-08,-1,-1,-1,-1,-1,-1
10871620397,40.9530719756,-40.2909367323,10871621045,658.885154768,474.97497055,626.535951297,496.954459196,642.7105530325,485.96471487300005,680.9530719756,552.2909367323,80.40367899906099,76.56146525010111,77.61023623900874,2.4833068729306296e-08,9.58634207924849e-09,3.897187362774524e-08,-1,-1,-1,-1,-1,-1
10871635399,44.0033786122,-43.1849760981,10871637045,658.683726408,469.628148826,626.215710055,491.503519031,642.4497182315,480.56583392849996,684.0033786122,555.1849760981,89.22474701902838,85.4091509685089,85.99268929080948,2.090083803840334e-08,2.111397693635119e-08,2.132944962672286e-08,-1,-1,-1,-1,-1,-1
10871653413,47.0626673828,-46.0653004216,10871657043,659.000849395,466.574393997,630.156254396,489.590470814,644.5785518955,478.0824324055,687.0626673828,558.0653004216,95.69770941446468,90.56577303164319,89.03449965498817,7.67697730292061e-09,8.179049704088154e-09,1.0953116040759635e-08,-1,-1,-1,-1,-1,-1
10871671424,50.1415424411,-48.9403155024,10871673041,661.936243058,485.831398274,632.079143204,494.275893584,647.007693131,490.053645929,690.1415424411,560.9403155024,80.23022099254716,82.97860495040159,88.40467948521074,7.61106057033621e-08,4.772748726446324e-08,1.9788739130811694e-08,-1,-1,-1,-1,-1,-1
10871686442,53.2333101083,-51.8021632193,10871689040,689.130101708,525.934929479,642.230300744,562.293811527,665.680201226,544.1143705029999,693.2333101083,563.8021632193,38.0888922170075,33.86418448921925,51.02530831893652,1.8929746363290507e-07,2.2344441210991357e-07,2.6867123085591324e-07,-1,-1,-1,-1,-1,-1
10871704456,56.3578428877,-54.6674707482,10871705038,680.482003555,528.68946804,648.46968397,565.940607216,664.4758437625001,547.315037628,696.3578428877,566.6674707482,41.16273756957566,37.29582464420199,47.89367489681007,3.546270205973404e-08,1.3361771158795977e-08,2.8237390593647185e-08,-1,-1,-1,-1,-1,-1
10871719454,59.4791150614,-57.5016599804,10871721037,686.679700739,539.034247003,652.132610315,569.066242441,669.406155527,554.050244722,699.4791150614,569.5016599804,33.04675869933228,33.81019267388419,47.34850684165759,4.711239760444181e-08,3.2609212433352994e-08,1.8811918648689473e-08,-1,-1,-1,-1,-1,-1
10871737469,62.6338065797,-60.3365005766,10871741035,690.191664816,543.734528182,660.735195898,565.685569144,675.463430357,554.710048663,702.6338065797,572.3365005766,31.19101980585872,32.38705221451186,42.423206691359525,1.4671466545875052e-08,1.523580767630315e-08,2.3112173817493144e-08,-1,-1,-1,-1,-1,-1
10871752479,65.8011935608,-63.1516310301,10871753034,686.183319791,547.291227098,659.670121672,570.704142931,672.9267207315,558.9976850145,705.8011935608,575.1516310301,34.07437568771552,36.628963071308775,46.34496676017005,3.722022131685472e-08,3.4601871870254484e-08,3.563335217179936e-08,-1,-1,-1,-1,-1,-1
10871770495,69.0126592533,-65.9730439749,10871773032,686.477470446,544.324918598,659.380872379,579.328589464,672.9291714125,561.826754031,709.0126592533,577.9730439749,40.49729714388651,39.53126324454667,49.65029478169236,7.453634104427038e-09,7.074089942124868e-09,2.1577554382288915e-08,-1,-1,-1,-1,-1,1
10871785501,72.2155431179,-68.7529233233,10871789031,690.395655786,547.474471478,658.108776173,582.093926438,674.2522159795001,564.784198958,712.2155431179,580.7529233233,39.79400508112695,41.18512310619086,54.12338236458762,1.963961292838673e-08,1.2657426681683092e-08,1.1891714457880583e-08,-1,-1,-1,-1,-1,1
10871803509,75.4593742343,-71.5327715316,10871805029,694.526983147,547.975462658,658.001964029,578.089789179,676.264473588,563.0326259185,715.4593742343,583.5327715316,41.26120709533679,44.23229823140134,57.71464324060946,1.6260288238549476e-08,1.0423722912919534e-08,1.5650637557044576e-08,-1,-1,-1,-1,-1,-1
10871821591,78.7249610834,-74.2941807761,10871825027,691.544716497,552.107300336,666.827857704,569.136291162,679.1862871005001,560.6217957490001,718.7249610834,586.2941807761,43.67503279909726,47.142105312615314,54.659880307056696,1.2741758602364736e-08,9.471944554089412e-09,3.14369176210973e-08,-1,-1,-1,-1,-1,-1
10871836542,82.0346047994,-77.0539891044,10871837027,704.608265205,549.094257505,672.20433553,570.093927146,688.4063003675,559.5940923255,722.0346047994,589.0539891044,43.59423655892419,44.70736379152753,53.31547322238895,9.310082127383146e-08,6.442439334646306e-08,3.792428475268493e-08,-1,-1,-1,-1,-1,-1
10871854685,85.3384731438,-79.7691304757,10871857031,705.984815748,559.342000831,676.987918812,574.239480779,691.48636728,566.790740805,725.3384731438,591.7691304757,37.76351137789213,42.07000144943251,51.43019271479895,2.5839123499142044e-08,1.9562330378717096e-08,1.581855029183735e-08,-1,-1,-1,-1,-1,-1
10871869557,88.6870702574,-82.4796057517,10871873039,707.349915511,559.411660112,681.043265219,580.142496259,694.196590365,569.7770781855,728.6870702574,594.4796057517,41.0491776295308,42.424144910262086,49.75424471482549,5.334023702000225e-09,1.5737405106080193e-08,2.7947839240790716e-08,-1,-1,-1,-1,-1,-1
10871887561,92.0615686823,-85.1681068085,10871889047,711.261621474,549.354150654,679.64115637,578.113289785,695.451388922,563.7337202195,732.0615686823,597.1681068084999,52.14223055271524,49.57986959103647,55.77621068870315,4.2111897138116276e-08,2.4086267140833733e-08,9.625111096077603e-09,-1,-1,-1,-1,-1,-1
10871902635,95.6295402973,-87.9630955197,10871905055,711.523350618,548.652037821,686.586839415,569.475772737,699.0550950165,559.063905279,735.6295402973,599.9630955197,56.69156042140406,54.867420296048216,57.74654414150931,2.9240650428788975e-09,2.301851020447545e-08,4.325258211660891e-08,-1,-1,-1,-1,-1,-1
10871920590,98.9055686622,-90.4856212296,10871921063,714.937226264,548.8278001,684.952429011,575.154247916,699.9448276375,561.9910240080001,738.9055686622,602.4856212296,58.767705465617,56.19387640422538,60.48094944219424,1.3339770892731422e-08,1.1938660742696975e-08,2.3058998458398803e-08,-1,-1,-1,-1,-1,-1
10871935599,102.384307227,-93.1177540462,10871937071,730.966370339,569.635528045,712.272998457,588.177831028,721.619684398,578.9066795365,742.384307227,605.1177540462,37.27408811464859,33.43934790308685,34.549267831675174,1.0249846182961394e-07,1.072924524239702e-07,1.1810819736007368e-07,-1,-1,-1,-1,-1,-1
10871953616,105.879135298,-95.7132881031,10871957081,739.356298308,574.549945152,720.645982514,600.542943053,730.001140411,587.5464441025,745.8791352979999,607.7132881031,33.798738409745255,25.667339530542137,26.232152934103134,2.4283937357431573e-08,3.006294540775859e-08,3.729589527053229e-08,-1,-1,-1,-1,-1,-1
10871968621,109.414912065,-98.2889532747,10871969087,750.64344495,579.280128659,725.191152807,603.161172464,737.9172988785,591.2206505615,749.414912065,610.2889532747,31.033151581764503,22.266460817754826,25.250658840412928,8.490279616951483e-08,6.0545527287113e-08,3.638964399664062e-08,1,-1,-1,-1,-1,-1
10871989635,112.983507313,-100.836756079,10871993100,752.262541014,580.338444386,729.294034104,606.359928035,740.7782875590001,593.3491862105,752.983507313,612.836756079,32.50630793091819,22.994189888384856,24.558917778099904,3.3545191792285715e-09,6.184164819611229e-09,9.022285518184298e-09,-1,-1,-1,-1,-1,-1
10872004653,117.218680112,-103.792372659,10872005106,753.7390901,579.303732201,730.951143753,607.975223722,742.3451169264999,593.6394779615,757.218680112,615.792372659,36.65417342029148,26.682833907056892,27.406044659429195,1.2508355569806413e-08,1.1054873875680882e-08,1.605428125764751e-08,-1,-1,-1,-1,-1,-1
10872019655,120.229757029,-105.848439422,10872021114,760.862454227,581.500008657,731.91471541,613.678499391,746.3885848185,597.589254024,760.229757029,617.848439422,36.353936854519,24.53594589884916,28.620446917332345,2.9089094864861277e-08,2.2057879035980126e-08,2.2571567090496186e-08,1,-1,-1,-1,-1,-1
10872037668,123.915515834,-108.313639695,10872041119,759.548349507,581.342507104,737.626398349,604.576547711,748.587373928,592.9595274075,763.915515834,620.313639695,39.21506492603303,31.35601048168645,30.63941517478761,3.307120509806021e-09,1.2806929144860975e-08,2.685068081845162e-08,-1,-1,-1,-1,-1,-1
10872052683,127.641785208,-110.747931534,10872053119,757.425067478,582.259021863,737.844692906,609.048258358,747.634880192,595.6536401105,767.641785208,622.747931534,41.75803069495607,33.68051181411583,32.79554473984421,1.6060033193961367e-08,1.9843970329759104e-08,3.109052566732654e-08,-1,-1,-1,-1,-1,-1
10872070731,131.389606667,-113.137187599,10872073117,759.108913353,584.989073975,743.033421516,610.621153348,751.0711674345,597.8051136615,771.389606667,625.137187599,41.98435965735494,34.057029209397584,31.855744955878762,8.020535324494464e-09,1.0137641756413972e-08,1.3557439133961918e-08,-1,-1,-1,-1,-1,-1
10872085714,135.183086232,-115.494926582,10872089115,764.503317142,588.088340844,742.80123058,622.747457786,753.652273861,605.417899315,775.183086232,627.4949265820001,40.828133282603964,30.83781792382645,32.72801606324403,2.4308178495354667e-08,3.140803161676983e-08,4.738890584694845e-08,-1,-1,-1,-1,-1,-1
10872103711,139.028143676,-117.822264479,10872105114,770.457597974,594.612727958,745.314317758,627.586891042,757.885957866,611.0998095,779.028143676,629.822264479,36.23762844963363,28.240438050165686,33.7878521429234,3.450804238155877e-08,2.768226222303213e-08,2.1303627649266487e-08,-1,-1,-1,-1,-1,-1
10872118743,142.899217627,-120.101647257,10872121113,775.007323387,599.890844939,759.175821848,639.355330669,767.0915726175001,619.623087804,782.899217627,632.101647257,33.1635007299383,20.139416246962625,24.80756800511883,2.7223693392004837e-08,4.90119928052322e-08,7.103793945770415e-08,-1,-1,-1,-1,-1,1
10872136729,146.83329103,-122.352486532,10872137111,783.178616537,616.249189451,761.603457121,653.137326044,772.3910368290001,634.6932577475,786.83329103,634.3524865320001,18.46851404019094,14.446273963469423,31.45496327397829,7.144623106166585e-08,6.241717902570383e-08,5.467839747727565e-08,-1,-1,-1,1,-1,1
10872154774,150.792208059,-124.550619326,10872157110,792.743755761,625.746955228,770.621854831,659.916438174,781.682805296,642.831696701,790.792208059,636.5506193260001,10.978510662908507,11.064951499635674,30.867533749553747,3.370235410553892e-08,3.0883011904687396e-08,2.820830100354595e-08,1,-1,-1,1,-1,1
10872169770,154.795215507,-126.704879038,10872173108,791.542944695,630.010637575,771.271913242,662.04395158,781.4074289685,646.0272945775,794.795215507,638.704879038,9.282623554337105,15.259442903774495,33.136959072481204,1.7307265567901077e-08,1.2532199346470367e-08,8.692055320298907e-09,-1,-1,-1,1,-1,1
10872187777,158.831854112,-128.807564145,10872189107,800.609132992,631.962821543,773.931082036,660.857057223,787.2701075140001,646.4099393829999,798.831854112,640.807564145,9.02154044013149,12.847590929964921,31.969213669805317,3.623103152775462e-08,2.2952683407931374e-08,1.1376524566212053e-08,1,-1,-1,1,-1,1
