t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y
7388172131.0,14.108266313,0.0,7388175843,643.160771258,537.834466148,630.061729416,508.230813056
7388190187,21.3927347871,0,7388191842,641.506548086,537.323433729,631.073903151,511.656849732
7388205155,28.6881708434,0,7388207840,637.494412384,525.754169364,634.046075507,517.944812796
7388223208,35.9946991128,0,7388223838,633.66705872,515.546059452,630.761528018,517.142858941
7388238228,43.2958682231,0,7388239836,635.538654733,513.743844146,629.24964648,515.525182804
7388256215,50.598159018,0,7388259835,640.172895047,518.341585587,631.450343713,518.017031553
7388273207,57.8932211791,0,7388275834,640.353629284,522.58818998,636.522699267,518.544454713
7388288238,65.1953873423,0,7388291834,637.664535029,523.634213498,641.132710386,515.149758501
7388306292,72.4975535051,0,7388307835,636.451163121,522.564052571,645.315515855,508.290303479
7388321266,80.1225155444,0,7388323835,634.338779458,517.007739082,644.015357267,504.986197308
7388339325,87.1083666755,0,7388339836,635.409354444,515.456298902,637.60049025,505.336585183
7388357302,94.7264739757,0,7388359836,637.643640757,518.821130547,633.106647882,509.282384497
7388372311,102.024651927,0,7388375836,642.44733343,523.41045754,634.803395093,514.347242876
7388390333,108.999410845,0,7388391837,645.190097761,526.450682346,637.990632042,516.535669041
7388405348,116.304069641,0,7388407837,750.738266882,528.42104138,737.226671424,522.244349019
7388423366,123.60212296,0,7388423837,732.611697599,526.727346092,740.007647172,521.066972178
7388438374,130.900674807,0,7388439838,743.880402097,524.784246314,748.664003568,518.420157684
7388456414,138.213060762,0,7388459834,747.758941938,523.358102114,752.534707287,511.866154545
7388471454,145.515476188,0,7388471832,753.082672892,522.038367152,755.018394698,509.992509369
7388489431,152.802686558,0,7388491829,758.029630247,524.702033128,755.252840585,514.614568056
7388504440,160.098496509,0,7388507827,765.495422889,532.920405426,760.244052678,519.988314945
7388522458,167.399167093,0,7388523824,773.66866667,538.067881837,767.47904087,523.42936593
7388537495,174.695600202,0,7388539821,778.583846779,533.698643374,771.500436314,526.007652545
7388555490,182.007986157,0,7388555819,782.091905246,536.206400039,776.441528634,525.630837205
7388573549,189.302300529,0,7388575816,790.414945727,536.64892363,785.86774591,519.617744376
7388588527,196.610698272,0,7388591813,798.310945158,541.376393216,796.263132663,517.565075083
7388606593,203.901149064,0,7388607810,803.350707057,537.057636991,799.664023886,518.604072946
7388621577,211.207926597,0,7388623808,811.984043878,542.737451225,806.575628448,519.842835555
7388639612,218.503362653,0,7388639805,817.514879423,538.520215164,809.01518888,520.024011513
7388654585,226.134805536,0,7388655805,874.94655698,541.685376913,877.893609345,521.080523063
7388672610,233.107944243,0,7388675806,870.816044725,545.090257576,872.435292722,520.329200334
7388690666,240.406994615,0,7388691809,886.622180508,549.648821434,877.083403627,524.872662126
7388705682,248.030710338,0,7388707812,895.918527751,540.561054897,883.453010865,522.437583438
7388723654,255.33898345,0,7388723814,902.894098929,533.584119663,888.316443751,524.444680487
7388738707,262.636787507,0,7388739817,909.635373989,529.313990297,896.038567729,526.475964045
7388756696,269.933345248,0,7388759820,920.103424792,530.923189859,898.615273574,523.602776224
7388771742,276.909475113,0,7388771822,925.256465887,532.669022979,907.234717191,521.857179079
7388789755,284.218371383,0,7388791825,934.922084557,531.284769116,915.855737837,520.409595755
7388804733,291.51542765,0,7388807828,942.944980205,530.135345699,923.008934292,520.722601388
7388822746,298.807498653,0,7388823830,950.892821548,532.242289091,927.801928858,520.854966617
7388837798,306.104430288,0,7388839833,957.289649515,535.168265843,934.960370532,523.90251722
7388855777,313.40958761,0,7388855835,963.165418643,533.461029513,940.007254204,527.762597709
7388870837,320.712501563,0,7388871836,971.029287058,529.44480408,945.947972273,528.38166081
7388888817,328.012299725,0,7388891836,977.928615531,526.414641041,955.944509127,525.169625172
7388906877,335.305990939,0,7388907835,986.747001523,530.028184937,960.181754026,518.210223697
7388921878,342.624857738,0,7388923835,995.116880495,533.834400731,964.464210918,513.856416551
7388939859,349.919421373,0,7388943835,0.0,0.0,973.854187735,519.978634094
7388954873,357.553980046,0,7388955834,0.0,0.0,0.0,0.0
7388972929,364.510293485,0,7388975834,0.0,0.0,0.0,0.0
7388987901,371.825919862,0,7388991834,0.0,0.0,0.0,0.0
7389005960,379.107147915,0,7389007833,0.0,0.0,0.0,0.0
7389020977,386.407319972,0,7389023833,0.0,0.0,0.0,0.0
7389038967,393.705373292,0,7389039833,0.0,0.0,0.0,0.0
7389054007,401.341676808,0,7389055833,0.0,0.0,0.0,0.0
7389071984,408.314192356,0,7389075833,1104.97230991,539.726821046,1048.85138121,498.988386694
7389090042,415.943890396,0,7389091834,1072.85903785,503.238582667,1046.3587059,480.599734789
7389105024,422.913414786,0,7389107834,1068.57593722,510.738960128,1043.22073875,484.592563758
7389123074,430.215705581,0,7389123835,1063.59454906,510.964943419,1040.71822876,492.672766598
7389138117,437.518370271,0,7389139836,1064.08679157,520.324901378,1043.43757488,501.971817674
7389156091,431.171195914,0,7389159836,1070.04542659,527.164287776,1051.01366842,506.812423999
7389171124,424.20366563,0,7389171837,1074.67024626,528.043845238,1052.82536579,505.46424886
7389189101,416.900876308,0,7389191838,1080.82367443,523.281916699,1058.39796544,499.63763151
7389204104,409.605066358,0,7389207838,1085.45679654,515.286463079,1062.90617207,495.491540296
7389222162,402.302775563,0,7389223839,1091.4585946,510.999128343,1070.85823324,493.549646846
7389240146,394.985030448,0,7389243839,1099.1125941,505.219646397,1078.19637087,492.064473133
7389255203,387.375896624,0,7389255840,1101.05447116,503.409214288,1082.01373885,491.170113437
7389273183,380.400389917,0,7389275848,1110.39464234,509.014272228,1091.36248357,489.690640754
7389288193,372.756982399,0,7389291854,1119.74614219,514.390917611,1098.81919925,491.356795081
7389306248,365.800170433,0,7389307859,1119.93803842,519.071999147,1104.87453601,493.394441004
7389321225,358.497630376,0,7389323865,1126.29237396,517.986279229,1110.35579896,494.768994825
