t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y
7990837676.0,7.2977924892,0.0,7990841204,625.83437731,548.877006729,652.491643098,545.459628464
7990852687,14.6629462492,0,7990853204,623.415429103,544.921139382,654.00325166,542.490329368
7990870203,21.9593810653,0,7990873204,626.904990507,533.762233893,655.078034352,532.206426256
7990887707,29.2865918525,0,7990889204,625.467573294,533.356427859,653.881966786,530.505089673
7990902733,36.5811997733,0,7990905204,630.979981962,538.038768266,650.771475121,535.961602158
7990920228,43.5324940055,0,7990921204,630.786553618,540.658118822,649.81518463,532.808876188
7990937745,50.8377821772,0,7990941204,627.880165168,544.54584564,655.064023819,531.743418538
7990952753,58.4786549222,0,7990953204,625.038386295,543.315039861,657.836470964,538.058321517
7990970278,65.7777597914,0,7990973205,622.603884052,541.244428214,658.925745899,538.373139799
7990987772,73.0649196537,0,7990989205,622.51191619,544.203562274,661.189313468,531.356187008
7991002801,80.5538799535,0,7991005206,623.666750551,544.119029073,662.052270685,531.24906202
7991020305,87.3276853601,0,7991021206,630.960738786,541.837025892,663.756774092,538.811612707
7991037807,94.6373299517,0,7991041207,685.167674551,540.819321728,721.562006855,542.90243039
7991052819,102.266538734,0,7991053207,689.358413136,543.277455354,711.074516617,539.188735804
7991070334,109.576323854,0,7991073208,690.796656704,542.684286279,725.452666131,535.251424541
7991087843,116.867278023,0,7991089208,692.623369336,540.057664367,724.5664631,534.345455188
7991102866,124.16863136,0,7991105209,696.947993267,542.469294648,732.927610035,539.801159924
7991120364,131.131308485,0,7991121209,705.991158726,544.888997442,744.34087893,537.777386717
7991137875,138.768105867,0,7991141210,713.391553643,548.812277175,750.447791731,536.299050056
7991152883,146.103748424,0,7991153210,719.177216688,548.520094248,753.385959957,531.074436548
7991170405,153.027358337,0,7991173209,733.237310638,545.395804957,763.97985939,524.358659328
7991185411,160.672306445,0,7991189207,775.748817751,542.776844777,800.412235779,524.481565327
7991202922,167.629924508,0,7991205205,783.022518706,539.30515354,807.852779613,523.323375733
7991220428,175.293000912,0,7991221202,805.086331476,536.704353331,813.323896783,516.596290194
7991237950,182.234458077,0,7991241199,808.406701775,536.200350107,817.17550821,513.732544341
7991252951,189.869428576,0,7991253198,818.454562076,536.374712029,820.867892869,516.321977037
7991270468,196.849109784,0,7991273194,822.368030053,536.501396561,829.081101495,519.514936157
7991285473,204.48843669,0,7991289192,824.232309998,539.021633976,833.983558975,524.496614495
7991302986,211.433266576,0,7991305190,826.521505788,537.66955422,839.379696439,523.680739839
7991320494,219.078074142,0,7991321187,836.450425717,535.591420673,846.02917049,525.625137589
7991338018,226.034286908,0,7991341184,846.948490115,536.656856851,851.404584706,528.759049509
