t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y
8393602723,250.39983435,-157.63567443,8393604561,0.0,0.0,1029.93807533,812.60717988,0,0,890.39983435,669.63567443,1114.1022401376943,1114.1022401376943,199.77930840412859,0,0,0.0,0,0,0,0,1,1
8393620739,260.362407063,-158.560989841,8393624571,0.0,0.0,1054.45210102,796.103591157,0,0,900.362407063,670.560989841,1122.6328452120138,1122.6328452120138,198.75758734938918,0,0,7.380554965408976e-08,0,0,0,0,1,1
8393635748,270.509329621,-159.038987796,8393636577,0.0,0.0,1079.75038248,790.324339722,0,0,910.509329621,671.038987796,1131.0705382376304,1131.0705382376304,207.05441110232965,0,0,1.8002829909512233e-07,0,0,0,0,1,1
8393653759,280.696638374,-159.036722322,8393656586,0.0,0.0,1122.99919927,786.936660126,0,0,920.696638374,671.0367223220001,1139.2859968497098,1139.2859968497098,233.150427252559,0,0,1.0835568883676173e-07,0,0,0,0,1,-1
8393671767,291.000536023,-158.529051984,8393672593,0.0,0.0,0.0,0.0,0,0,931.000536023,670.529051984,1147.3322132798655,1147.3322132798655,1147.3322132798655,0,0,5.351861035769282e-06,0,0,0,0,0,0
8393686779,301.282518709,-157.498218782,8393688601,0.0,0.0,1089.88024925,774.038530312,0,0,941.282518709,669.498218782,1155.0933490326354,1155.0933490326354,181.68643938589662,0,0,0.0,0,0,0,0,1,-1
8393704798,311.645614218,-155.906991527,8393708610,0.0,0.0,1119.54848097,772.362652567,0,0,951.645614218,667.906991527,1162.6388624121432,1162.6388624121432,197.74316116327066,0,0,7.422200244574022e-08,0,0,0,0,1,-1
8393719803,321.998868134,-153.735598089,8393720611,0.0,0.0,1126.48719289,774.519566491,0,0,961.9988681340001,665.735598089,1169.8913235228372,1169.8913235228372,197.20639128162816,0,0,5.0451474973457245e-08,0,0,0,0,1,-1
8393737815,332.306080381,-150.961468722,8393740612,0.0,0.0,1149.77829003,759.6305041,0,0,972.306080381,662.9614687220001,1176.8164780270097,1176.8164780270097,202.09227496025585,0,0,6.910167201726708e-08,0,0,0,0,1,-1
8393752825,342.526770791,-147.564223269,8393756613,0.0,0.0,1148.98086203,753.477844462,0,0,982.526770791,659.564223269,1183.378139031404,1183.378139031404,191.11968170699652,0,0,2.4231816901382326e-08,0,0,0,0,1,-1
8393770837,352.608299051,-143.529773466,8393772612,0.0,0.0,1147.99504642,748.876678899,0,0,992.608299051,655.529773466,1189.5337402719206,1189.5337402719206,181.269650001965,0,0,1.8383500380306068e-08,0,0,0,0,1,-1
8393785849,362.519971561,-138.836630129,8393788608,0.0,0.0,1148.16315885,751.769428296,0,0,1002.5199715609999,650.836630129,1195.2550407742863,1195.2550407742863,177.19866745977265,0,0,1.1324529584409005e-08,0,0,0,0,1,-1
8393803857,372.166663554,-133.497924378,8393804605,0.0,0.0,1153.87600746,740.811169051,0,0,1012.166663554,645.497924378,1200.4786233775021,1200.4786233775021,170.78100819577136,0,0,4.8291532628977665e-08,0,0,0,0,1,-1
8393821873,381.533260479,-127.489463821,8393824601,0.0,0.0,1154.49312614,722.770455937,0,0,1021.533260479,639.489463821,1205.1875275669452,1205.1875275669452,156.8886532685408,0,0,4.514621897584413e-08,0,0,0,0,1,-1
8393836882,390.547229989,-120.820938857,8393840598,0.0,0.0,1163.74481993,705.7054287,0,0,1030.547229989,632.820938857,1209.3345004149414,1209.3345004149414,151.83460351897764,0,0,7.585488246319157e-08,0,0,0,0,1,-1
8393854890,399.134325104,-113.513712903,8393856595,0.0,0.0,1164.68535103,694.039593922,0,0,1039.134325104,625.5137129029999,1212.8757358604557,1212.8757358604557,143.03445906669228,0,0,4.5734677979650505e-08,0,0,0,0,1,-1
8393869906,407.259654445,-105.560970382,8393872592,0.0,0.0,1166.15204683,687.420107131,0,0,1047.259654445,617.560970382,1215.7854810645742,1215.7854810645742,137.89742548120427,0,0,2.6494425266966903e-08,0,0,0,0,1,-1
8393887913,414.834836965,-97.0122665819,8393888589,0.0,0.0,1177.03757472,683.446960949,0,0,1054.834836965,609.0122665819,1218.0198989023954,1218.0198989023954,143.08750064328083,0,0,4.528241284746611e-08,0,0,0,0,1,-1
8393902925,421.81988361,-87.8760502965,8393904585,0.0,0.0,1189.50800097,677.11494656,0,0,1061.81988361,599.8760502965,1219.554320622449,1219.554320622449,149.23170712333504,0,0,5.465982353954305e-08,0,0,0,0,1,-1
8393920936,428.147683933,-78.1993388641,8393924584,0.0,0.0,1192.58895594,670.195799765,0,0,1068.147683933,590.1993388641,1220.3584450017352,1220.3584450017352,147.9360129765209,0,0,1.8937124700476305e-08,0,0,0,0,1,-1
8393935950,433.78234409,-67.9883143602,8393936583,0.0,0.0,1191.52073708,663.851606841,0,0,1073.78234409,579.9883143602,1220.407705348422,1220.407705348422,144.55234695288723,0,0,4.46845051496334e-08,0,0,0,0,1,-1
8393953959,438.603629184,-57.4358416957,8393956582,0.0,0.0,1188.86308844,621.779537451,0,0,1078.603629184,569.4358416957,1219.6897009881595,1219.6897009881595,122.05331146982009,0,0,1.0540035542833148e-07,0,0,0,0,1,-1
8393968967,442.637985594,-46.4594343783,8393972580,0.0,0.0,1184.63949193,602.592262369,0,0,1082.637985594,558.4594343783,1218.1879771599968,1218.1879771599968,111.13961400540218,0,0,7.676386029211713e-08,0,0,0,0,1,-1
8393986978,445.826279745,-35.1567522071,8393988579,0.0,0.0,1186.47617142,604.917705374,0,0,1085.826279745,547.1567522071,1215.894412056692,1215.894412056692,116.0462339110496,0,0,1.1576791428240902e-08,0,0,0,0,1,-1
8394004996,448.123851265,-23.6555784545,8394008578,0.0,0.0,1192.89321165,626.787729124,0,0,1088.123851265,535.6555784545,1212.8233236630967,1212.8233236630967,138.85851706370215,0,0,5.69857576722047e-08,0,0,0,0,1,-1
8394020004,449.521570337,-11.9715068013,8394020577,0.0,0.0,1196.5643519,626.904037478,0,0,1089.521570337,523.9715068013,1208.9679036968794,1208.9679036968794,148.5034105879522,0,0,2.5511072621539322e-08,0,0,0,0,1,-1
8394038017,449.999881067,-0.188891174744,8394040575,0.0,0.0,1204.38405837,629.316289227,0,0,1089.999881067,512.188891174744,1204.3409820183351,1204.3409820183351,163.71489667032682,0,0,2.046239862263239e-08,0,0,0,0,1,-1
8394053051,449.554883274,11.5477953758,8394056574,0.0,0.0,1193.24859062,613.830925786,0,0,1089.554883274,500.4522046242,1198.9921821177327,1198.9921821177327,153.64608473841125,0,0,7.451483763381652e-08,0,0,0,0,-1,-1
8394071035,448.185106665,23.2684126774,8394072573,0.0,0.0,1173.19674451,596.428196662,0,0,1088.185106665,488.7315873226,1192.897896223472,1192.897896223472,137.20618875361555,0,0,1.0372603716884472e-07,0,0,0,0,-1,-1
8394086049,445.921287866,34.7594597518,8394088572,0.0,0.0,0.0,0.0,0,0,1085.921287866,477.2405402482,1186.1633853297556,1186.1633853297556,1186.1633853297556,0,0,5.141655321671723e-06,0,0,0,0,0,0
8394104060,442.766751679,46.0606807587,8394104571,0.0,0.0,1203.94249325,599.200642939,0,0,1082.766751679,465.9393192413,1178.7634570839646,1178.7634570839646,180.11701957045864,0,0,0.0,0,0,0,0,-1,-1
8394119065,438.761154741,57.0518240633,8394120570,0.0,0.0,1203.20113317,612.249482469,0,0,1078.761154741,454.9481759367,1170.77046075064,1170.77046075064,200.57170605092486,0,0,5.1060610785536024e-08,0,0,0,0,-1,-1
8394137081,433.945571491,67.6631414061,8394140570,0.0,0.0,1198.8643496,622.578002939,0,0,1073.945571491,444.3368585939,1162.236780707884,1162.236780707884,217.65708502526712,0,0,2.8005136452112768e-08,0,0,0,0,-1,-1
8394155095,428.363071586,77.8405175894,8394156570,0.0,0.0,1204.06004214,624.012202588,0,0,1068.363071586,434.1594824106,1153.2103489371366,1153.2103489371366,233.36178602395745,0,0,2.1054705474323833e-08,0,0,0,0,-1,-1
8394170110,422.029699859,87.5790258565,8394172569,0.0,0.0,0.0,0.0,0,0,1062.029699859,424.4209741435,1143.6958715827889,1143.6958715827889,1143.6958715827889,0,0,5.298136133430477e-06,0,0,0,0,0,0
8394188119,415.097989167,96.692043001,8394188573,0.0,0.0,0.0,0.0,0,0,1055.097989167,415.307956999,1133.892616560726,1133.892616560726,1133.892616560726,0,0,0.0,0,0,0,0,0,0
8394203126,407.535695338,105.270307012,8394204576,0.0,0.0,1206.47388833,610.635115648,0,0,1047.535695338,406.729692988,1123.7259791271981,1123.7259791271981,258.53195272870124,0,0,0.0,0,0,0,0,-1,-1
8394221146,399.431311588,113.242111594,8394224581,0.0,0.0,1200.8206573,638.134441194,0,0,1039.431311588,398.757888406,1113.2947970216883,1113.2947970216883,288.6999392691547,0,0,7.015091976402278e-08,0,0,0,0,-1,-1
8394236149,390.800261581,120.619771778,8394236583,0.0,0.0,0.0,0.0,0,0,1030.800261581,391.380228222,1102.6004091775783,1102.6004091775783,1102.6004091775783,0,0,9.440239921396585e-06,0,0,0,0,0,0
8394254167,381.832546226,127.282762052,8394256588,0.0,0.0,0.0,0.0,0,0,1021.832546226,384.717237948,1091.8558081088586,1091.8558081088586,1091.8558081088586,0,0,0.0,0,0,0,0,0,0
8394269170,372.474151071,133.314183402,8394272591,0.0,0.0,1204.62709717,605.594081557,0,0,1012.474151071,378.685816598,1080.9749554358032,1080.9749554358032,297.3383853477868,0,0,0.0,0,0,0,0,-1,-1
8394287181,362.865257966,138.659200055,8394288595,0.0,0.0,0.0,0.0,0,0,1002.865257966,373.34079994499996,1070.1037699862495,1070.1037699862495,1070.1037699862495,0,0,5.264103283891468e-06,0,0,0,0,0,0
8394302196,352.944923887,143.382616164,8394304598,0.0,0.0,0.0,0.0,0,0,992.944923887,368.617383836,1059.1592880861015,1059.1592880861015,1059.1592880861015,0,0,0.0,0,0,0,0,0,0
8394320202,342.888924147,147.431404478,8394320600,0.0,0.0,1242.70691181,551.118297633,0,0,982.888924147,364.568595522,1048.3228977999722,1048.3228977999722,319.85336964139316,0,0,0.0,0,0,0,0,-1,-1
8394338218,332.681917434,150.848239078,8394340601,0.0,0.0,0.0,0.0,0,0,972.6819174340001,361.151760922,1037.5647964923176,1037.5647964923176,1037.5647964923176,0,0,3.39823693486195e-06,0,0,0,0,0,0
8394353231,322.365649497,153.647596448,8394356602,0.0,0.0,0.0,0.0,0,0,962.365649497,358.352403552,1026.9197088688475,1026.9197088688475,1026.9197088688475,0,0,0.0,0,0,0,0,0,0
8394371238,312.0235475,155.838142208,8394372603,0.0,0.0,0.0,0.0,0,0,952.0235475,356.161857792,1016.4645118942094,1016.4645118942094,1016.4645118942094,0,0,0.0,0,0,0,0,0,0
8394386249,301.649171525,157.451528197,8394388602,0.0,0.0,0.0,0.0,0,0,941.6491715249999,354.548471803,1006.1847648874243,1006.1847648874243,1006.1847648874243,0,0,0.0,0,0,0,0,0,0
8394404256,291.268849341,158.508892153,8394404600,0.0,0.0,0.0,0.0,0,0,931.2688493410001,353.49110784699997,996.1012162826676,996.1012162826676,996.1012162826676,0,0,0.0,0,0,0,0,0,0
8394419271,281.032375494,159.028276077,8394420599,0.0,0.0,0.0,0.0,0,0,921.032375494,352.971723923,986.3516992418552,986.3516992418552,986.3516992418552,0,0,0.0,0,0,0,0,0,0
8394437281,270.838087326,159.04652354,8394440596,0.0,0.0,0.0,0.0,0,0,910.838087326,352.95347646,976.8327276810937,976.8327276810937,976.8327276810937,0,0,0.0,0,0,0,0,0,0
8394452294,260.71022578,158.585185156,8394452595,0.0,0.0,0.0,0.0,0,0,900.71022578,353.41481484400003,967.5644382550846,967.5644382550846,967.5644382550846,0,0,0.0,0,0,0,0,0,0
8394470302,250.762511003,157.677187308,8394472593,0.0,0.0,0.0,0.0,0,0,890.762511003,354.322812692,958.6461842631721,958.6461842631721,958.6461842631721,0,0,0.0,0,0,0,0,0,0
8394488315,240.924620506,156.343639347,8394488591,0.0,0.0,0.0,0.0,0,0,880.924620506,355.656360653,950.0103335683127,950.0103335683127,950.0103335683127,0,0,0.0,0,0,0,0,0,0
8394503323,231.248421366,154.615137237,8394504589,0.0,0.0,0.0,0.0,0,0,871.248421366,357.384862763,941.6993957016621,941.6993957016621,941.6993957016621,0,0,0.0,0,0,0,0,0,0
8394521339,221.7323348,152.516023029,8394524588,0.0,0.0,0.0,0.0,0,0,861.7323348,359.483976971,933.7083841000604,933.7083841000604,933.7083841000604,0,0,0.0,0,0,0,0,0,0
8394536348,212.380251799,150.070073409,8394536588,0.0,0.0,0.0,0.0,0,0,852.380251799,361.929926591,926.0374535725288,926.0374535725288,926.0374535725288,0,0,0.0,0,0,0,0,0,0
8394554357,203.209376392,147.304495423,8394556587,0.0,0.0,0.0,0.0,0,0,843.209376392,364.695504577,918.6973731833884,918.6973731833884,918.6973731833884,0,0,0.0,0,0,0,0,0,0
8394569367,194.227704204,144.244677104,8394572586,0.0,0.0,0.0,0.0,0,0,834.227704204,367.755322896,911.690649277384,911.690649277384,911.690649277384,0,0,0.0,0,0,0,0,0,0
8394587381,185.421788706,140.907701022,8394588584,0.0,0.0,0.0,0.0,0,0,825.421788706,371.09229897800003,905.0031069733352,905.0031069733352,905.0031069733352,0,0,0.0,0,0,0,0,0,0
8394602387,176.778688045,137.308079201,8394604582,0.0,0.0,0.0,0.0,0,0,816.778688045,374.691920799,898.6219787856045,898.6219787856045,898.6219787856045,0,0,0.0,0,0,0,0,0,0
8394620402,168.33538607,133.481434559,8394620579,0.0,0.0,0.0,0.0,0,0,808.33538607,378.51856544099996,892.5706698947981,892.5706698947981,892.5706698947981,0,0,0.0,0,0,0,0,0,0
8394635413,160.10514294,129.456296288,8394636576,0.0,0.0,0.0,0.0,0,0,800.10514294,382.543703712,886.8528203759247,886.8528203759247,886.8528203759247,0,0,0.0,0,0,0,0,0,0
8394653425,152.024937275,125.221353052,8394656573,0.0,0.0,0.0,0.0,0,0,792.024937275,386.778646948,881.4200037441817,881.4200037441817,881.4200037441817,0,0,0.0,0,0,0,0,0,0
8394671437,144.109073089,120.800905293,8394672570,0.0,0.0,0.0,0.0,0,0,784.109073089,391.199094707,876.2783634211604,876.2783634211604,876.2783634211604,0,0,0.0,0,0,0,0,0,0
8394686445,136.370471816,116.220347615,8394688567,0.0,0.0,0.0,0.0,0,0,776.370471816,395.779652385,871.4313758121117,871.4313758121117,871.4313758121117,0,0,0.0,0,0,0,0,0,0
8394704463,128.79395275,111.488768041,8394704565,0.0,0.0,0.0,0.0,0,0,768.79395275,400.511231959,866.8641120211893,866.8641120211893,866.8641120211893,0,0,0.0,0,0,0,0,0,0
8394719479,121.356378665,106.608010842,8394720563,0.0,0.0,0.0,0.0,0,0,761.356378665,405.391989158,862.55794020307,862.55794020307,862.55794020307,0,0,0.0,0,0,0,0,0,0
8394737482,114.096213955,101.620467228,8394740563,0.0,0.0,0.0,0.0,0,0,754.0962139549999,410.379532772,858.5292428446628,858.5292428446628,858.5292428446628,0,0,0.0,0,0,0,0,0,0
8394752509,106.972499545,96.5151829611,8394752562,0.0,0.0,0.0,0.0,0,0,746.972499545,415.4848170389,854.7488217402545,854.7488217402545,854.7488217402545,0,0,0.0,0,0,0,0,0,0
8394770500,99.9813660231,91.3047462587,8394772561,0.0,0.0,0.0,0.0,0,0,739.9813660231,420.6952537413,851.2090921635353,851.2090921635353,851.2090921635353,0,0,0.0,0,0,0,0,0,0
8394785513,93.1049657931,85.9905583395,8394788561,0.0,0.0,0.0,0.0,0,0,733.1049657931001,426.0094416605,847.8955921895061,847.8955921895061,847.8955921895061,0,0,0.0,0,0,0,0,0,0
8394803535,86.3753783023,80.6129319086,8394804563,0.0,0.0,0.0,0.0,0,0,726.3753783023,431.3870680914,844.8171356691953,844.8171356691953,844.8171356691953,0,0,0.0,0,0,0,0,0,0
8394821538,79.7448092592,75.1488099425,8394824565,0.0,0.0,0.0,0.0,0,0,719.7448092592,436.8511900575,841.9451007697688,841.9451007697688,841.9451007697688,0,0,0.0,0,0,0,0,0,0
8394836557,73.2147753299,69.6130884042,8394836566,0.0,0.0,0.0,0.0,0,0,713.2147753299,442.38691159580003,839.2743861813906,839.2743861813906,839.2743861813906,0,0,0.0,0,0,0,0,0,0
8394854554,66.7992504762,64.0320630949,8394856568,0.0,0.0,0.0,0.0,0,0,706.7992504762,447.96793690510003,836.8037123296775,836.8037123296775,836.8037123296775,0,0,0.0,0,0,0,0,0,0
8394869573,60.456781733,58.3834454859,8394872570,0.0,0.0,0.0,0.0,0,0,700.456781733,453.6165545141,834.5104442755616,834.5104442755616,834.5104442755616,0,0,0.0,0,0,0,0,0,0
