t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
2609645040.0,5.89029619161,-5.88827878584,2609647785,641.220391253,498.293545089,646.0487619730001,490.268835477,643.634576613,494.281190283,645.89029619161,517.88827878584,20.143525033760397,23.714613604236668,27.619897901587212,0.0,0.0,0.0,-1,-1,-1,-1,1,-1,-1,-1,-1
2609663037,11.67082312,-11.6551543492,2609663783,639.495994072,499.23488867300006,646.418188979,485.918147191,642.9570915254999,492.576517932,651.67082312,523.6551543492,27.286916975800224,32.27709342325448,38.10081199498554,0.00012280317204201504,0.00011466212677892982,0.0002729306517469897,-1,-1,-1,-1,-1,-1,-1,-1,-1
2609680017,17.5095757964,-17.4567958835,2609683780,639.37579285,500.201376835,647.346840596,485.69328387800005,643.3613167230001,492.94733035650006,657.5095757964,529.4567958835,34.41966919728432,39.15500361224913,44.92801097098547,4.870401239647569e-05,2.743128481915375e-05,4.7781567683773005e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
2609696066,23.389205367,-23.2638446757,2609699778,640.870916419,501.494017508,647.633332874,488.49887041,644.2521246465,494.996443959,663.389205367,535.2638446757,40.589094152025055,44.583533047328515,49.347850369466606,0.00012354293215396497,0.0001396655274652081,0.00017628304582906912,-1,-1,-1,-1,-1,-1,-1,-1,-1
2609714078,29.4071351257,-29.159122958,2609715777,640.894191462,497.497717701,646.10115401,489.302219331,643.4976727359999,493.399968516,669.4071351257,541.159122958,52.14696794047878,54.33449249176894,56.853383448527815,0.00024978858585393484,0.000110367307619495,0.00010813250900464403,-1,-1,-1,-1,-1,-1,-1,-1,-1
2609729096,35.341583922,-34.9134500568,2609731777,641.305444069,493.287548996,644.848935031,484.667426941,643.07718955,488.9774879685,675.341583922,546.9134500568,63.515321621445686,66.3141526922337,69.3135558900459,0.00026438792249243556,0.0002776515654692377,0.00030006088490094586,-1,-1,-1,-1,-1,-1,-1,-1,-1
2609747096,41.4200305231,-40.7353571267,2609747777,640.121876323,490.400242315,644.271926745,481.23482932400003,642.1969015340001,485.8175358195,681.4200305231,552.7353571267,74.77435441996843,77.5657698743326,80.57485395812493,0.00019502977015860867,0.00020501719225815375,0.00021754727361924234,-1,-1,-1,-1,-1,-1,-1,-1,-1
2609762103,47.51749754,-46.4915449032,2609763777,637.826590638,488.83863337599996,642.826112481,479.75177384,640.3263515595,484.29520360799995,687.51749754,558.4915449032,85.56117292884181,87.93236787751516,90.53878420642147,0.00017350881252532264,0.00015073326722632024,0.00012944944196795113,-1,-1,-1,-1,-1,-1,-1,-1,-1
2609780122,54.0271805437,-52.5327769302,2609783775,639.75130472,492.83857181699994,641.754578708,487.10580621,640.752941714,489.9721890135,694.0271805437,564.5327769302,89.92179793155441,91.63746937452969,93.4203441311384,0.00022196831545743083,0.00028467799991877435,0.0003716215291736779,-1,-1,-1,-1,-1,-1,-1,-1,-1
2609795125,59.9522578154,-57.928761016,2609795772,642.820580555,500.390681819,642.992565083,494.19983449800003,642.9065728190001,497.2952581585,699.9522578154,569.928761016,89.99762777426271,92.35711079315408,94.75904657465718,0.0006795017553114565,0.0006362575709089658,0.0006002533392592239,-1,-1,-1,-1,-1,-1,-1,-1,-1
2609813150,66.3431319658,-63.6300988227,2609815767,645.909554556,508.930712453,647.829915578,506.82323952800004,646.869735067,507.8769759905,706.3431319658,575.6300988227,90.00569660105305,90.15303983891714,90.322645986741,0.00045418921172603305,0.000565117843753737,0.0006760948968103467,-1,-1,-1,-1,-1,-1,-1,-1,-1
2609831149,72.6958807066,-69.1668360839,2609831763,644.525185553,512.14993323,652.524681631,511.853488177,648.524933592,512.0017107035,712.6958807066,581.1668360839,97.00812624347364,94.34895347841032,91.78732699157567,0.00021907121220862704,0.0002778474659803719,0.00043015218399845086,-1,-1,-1,-1,-1,-1,-1,-1,-1
2609846173,79.621516519,-75.0456892846,2609847759,644.075113767,515.209480455,651.911618066,513.565026543,647.9933659164999,514.387253499,719.621516519,587.0456892846,104.24826074221725,102.02862465771354,99.92015885425891,0.00019332794075508256,0.00015279130006948493,0.0001136549008067242,-1,-1,-1,-1,-1,-1,-1,-1,-1
