t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
258292865.0,11.2860849273,-11.2719133888,258293518,662.366090543,511.304614933,640.85100689,540.035979719,651.6085487165001,525.6702973260001,651.2860849273,523.2719133888,16.308977796727135,2.419964546344524,19.74651294704672,0.0,0.0,0.0,1,-1,1,1,-1,1,-1,1,-1
258307882,17.4535694965,-17.4012929302,258309517,663.451339505,507.496178415,638.293063809,542.386893721,650.872201657,524.941536068,657.4535694965,529.4012929302,22.711391128658114,7.950083893189121,23.14629141134151,0.00024751826360328336,6.475416668152658e-05,0.0002171493071236136,1,-1,-1,-1,-1,1,-1,-1,-1
258325853,23.3801707861,-23.2549545378,258329515,666.319433509,507.200186904,641.910326539,536.457325882,654.1148800240001,521.828756393,663.3801707861,535.2549545378,28.208318849955255,16.312829599112646,21.503485969583785,0.00014418076462069536,0.00022476877994493576,0.0003473255487851321,1,-1,-1,-1,-1,1,-1,-1,-1
258340902,29.3513777591,-29.1047619926,258341514,668.688352489,508.516877114,643.467453837,534.088124268,656.077903163,521.302500691,669.3513777591,541.1047619926001,32.59462905709591,23.83935151194684,26.818104380499083,0.0002258729153145654,0.00016937576147869736,0.0002362775778198574,-1,-1,-1,-1,-1,-1,-1,-1,-1
258358884,35.0906323442,-34.6714484208,258361513,665.377360402,512.772521439,640.757615892,536.616975026,653.067488147,524.6947482324999,675.0906323442,546.6714484208,35.26308129390473,31.11260566871718,35.77496965692322,0.0002696112236019999,0.0002267818285260688,0.0001853353836847373,-1,-1,-1,-1,-1,-1,-1,-1,-1
258373922,41.4207340922,-40.7360263664,258377512,664.634205827,511.985407387,636.856697234,536.720819218,650.7454515305,524.3531133025,681.4207340922,552.7360263664,44.07267269411507,41.791897710358164,47.35441099945358,6.766108514303352e-05,0.00014669879203156093,0.00024390903197293428,-1,-1,-1,-1,-1,-1,-1,-1,-1
258391957,47.2577926362,-46.2482261466,258393510,664.376675455,511.757022208,636.4444894,536.285440512,650.4105824275,524.02123136,687.2577926362,558.2482261466,51.81676916906627,50.29119279044858,55.356623258697866,2.151591965707967e-05,2.9470491137441037e-05,3.747706592356455e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
258406929,53.7118676195,-52.2427985815,258409509,664.034944299,511.12413442,641.232980816,534.301698198,652.6339625575,522.7129163090001,693.7118676195,564.2427985815,60.84662899514695,58.41340090981167,60.41939301506916,4.495622033293071e-05,0.00016124442143429464,0.0003239661563316166,-1,-1,-1,-1,-1,-1,-1,-1,-1
258424989,59.6918714931,-57.6937963091,258425506,667.816831098,505.767583518,645.339366437,531.505908614,656.5780987675,518.636746066,699.6918714931,569.6937963091,71.43233778900314,66.82529295230309,66.42672333095285,0.00040989438951097946,0.0003545653256114033,0.0003105445031243132,-1,-1,-1,-1,-1,-1,-1,-1,-1
258439998,66.305819454,-63.5971866066,258441503,666.301568663,505.127020676,647.683891554,532.555596094,656.9927301085,518.841308385,706.305819454,575.5971866066,81.03323002099522,75.1865047299204,72.72626035048908,0.00010283778497694474,2.8902116304402312e-05,0.0001605789941012783,-1,-1,-1,-1,-1,-1,-1,-1,-1
