t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,sacc_l,sacc_m,sacc_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
1279787004,127.877096627,-110.899690886,1279789884,799.577756661,640.118599185,749.068720379,633.1637749930001,774.32323852,636.641187089,767.877096627,622.899690886,36.07523596042885,15.178322147119983,21.426769230145347,0.00044831017329895065,0.00018768083530364344,0.00029839755174254043,0,0,0,1,1,1,1,-1,1,1,1,-1
1279805033,135.887540868,-115.926029767,1279805885,802.191474137,636.790203975,753.503547668,636.141515879,777.8475109025001,636.4658599270001,775.887540868,627.926029767,27.75735019431392,8.761859488589451,23.84402154910345,0.00026448280316441824,0.00022052564318416598,0.0003338405037199682,0,0,0,1,1,1,1,-1,1,1,1,-1
1279823039,143.150113984,-120.247171851,1279825885,802.79279137,630.810465506,764.640003543,635.732111638,783.7163974565001,633.271288572,783.150113984,632.247171851,19.695149149276357,1.170252976692932,18.83531241729297,0.000300494819307845,0.0003340999682950806,0.0005571989350500667,0,0,1,1,-1,1,1,-1,1,-1,1,-1
1279837986,151.601654246,-124.991777759,1279841886,805.636081064,633.460674652,769.151216034,631.2562629319999,787.393648549,632.3584687919999,791.601654246,636.991777759,14.471828677194328,6.258982659319918,23.171497712525348,0.00024291536986352602,0.0002367885832581674,0.0003971539974988138,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
1279855999,159.121674395,-128.955838074,1279857886,806.883122196,637.194199934,765.434231413,633.153836076,786.1586768045,635.174018005,799.121674395,640.955838074,8.624963389136818,14.19396878401525,34.57911291288857,0.000246017677656836,0.00019215546054621594,0.0002608336882537372,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
1279871199,167.737583865,-133.198878579,1279873886,808.133249426,643.862698726,767.730363092,642.599179985,787.931806259,643.2309393554999,807.737583865,645.1988785789999,1.3935307085688755,19.903306543529915,40.09159695945292,0.00042404163190221816,0.0005156078395271576,0.0006075268199024189,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1279889023,175.747457451,-136.85714515,1279889887,813.038037292,646.995793385,771.214784566,650.2473308919999,792.126410929,648.6215621384999,815.747457451,648.85714515,3.2871854208522855,23.622221278910068,44.55436646031077,0.0003637317026989809,0.0004268694691377112,0.0005252476228034903,0,0,1,-1,-1,-1,-1,-1,1,-1,-1,-1
1279904028,184.749591751,-140.639271147,1279905885,822.982354257,645.9567074319999,778.032445309,657.899859291,800.507399783,651.9282833615,824.749591751,652.639271147,6.912292395814562,24.252615839214048,47.0123979318655,0.0006249816762620881,0.0005631790244205179,0.0006406416285982744,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
1279922036,193.165358862,-143.85979962,1279925881,829.512306603,647.6783448040001,784.622979406,654.1364781240001,807.0676430045,650.907411464,833.165358862,655.85979962,8.959966166969188,26.563450856891524,48.57295996981098,0.00033772237148591944,0.00033202638236837673,0.0003795432244042552,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1279937053,202.511556607,-147.079213271,1279937879,829.070298414,657.59927613,787.512714971,654.1114588969999,808.2915066925,655.8553675134999,842.511556607,659.0792132710001,13.522486300684607,34.37157252176606,55.22274137366054,0.0008277023554657421,0.00042482654628102806,0.00024086046597399091,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1279955127,211.254707167,-149.750192021,1279957876,830.861971111,669.084921296,791.2753616069999,667.367342281,811.068666359,668.2261317885,851.254707167,661.750192021,21.67168515337972,40.704492033368155,60.24179836998006,0.0005813146396236765,0.000634028114402093,0.0006890807819171123,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1
1279970080,220.99308568,-152.336471145,1279973873,833.70858748,674.875352993,797.454957655,671.183715231,815.5817725675,673.029534112,860.99308568,664.336471145,29.249134562101286,46.23588111358689,63.90601274132623,0.00040334509739346563,0.0004120124790186392,0.0004540266779409681,0,0,0,-1,1,-1,1,-1,1,-1,-1,-1
1279988086,230.06335335,-154.375241102,1279989869,837.110838748,677.593906795,801.1948329239999,664.9773206890001,819.1528358359999,671.285613742,870.0633533499999,666.375241102,34.809864672622815,51.146774610008066,68.88270673505409,0.00027225429681591775,0.000248445565611273,0.0004529946497291999,0,0,0,-1,1,-1,1,-1,-1,-1,-1,-1
1280003143,240.174533029,-156.224367881,1280005865,838.690381768,669.63713435,807.101293168,650.2372493930001,822.8958374680001,659.9371918715001,880.174533029,668.224367881,41.50820057460279,57.875091804524565,75.25446707860335,0.000507129247378975,0.0007470466992007316,0.000992711917920699,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1
1280021108,249.554349784,-157.536615103,1280021860,847.182774479,672.3715031419999,819.2666998569999,681.920719732,833.2247371679998,677.146111437,889.554349784,669.536615103,42.46630410126313,56.84126750808611,71.37030040375721,0.0005577832745126311,0.0012548110078800388,0.0021218355573078876,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1
1280036119,259.966018762,-158.532744819,1280037856,884.555570958,674.0218756180001,863.1118794339999,692.933408018,873.8337251959999,683.477641818,899.966018762,670.532744819,15.80050427209017,29.162769507272948,43.12791784172612,0.0023386608358183453,0.002569368152161204,0.0028261483411886747,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1
1280054133,269.603831927,-159.015633309,1280057851,919.688229125,679.3448493559999,901.5548243610001,694.760509583,910.621526743,687.0526794694999,909.603831927,671.015633309,13.079407739061892,16.069304661139473,25.072009733268157,0.001777124978003707,0.0018485173482571476,0.0019247981658890103,1,1,1,1,1,1,1,-1,1,1,1,-1
1280069140,280.263347596,-159.046825821,1280069847,927.237356632,679.463295945,903.763973146,680.457224629,915.5006648890001,679.960260287,920.2633475959999,671.046825821,10.930405819657224,10.106060584977326,18.994340287751996,0.0006293811828455957,0.0007176245014954114,0.0012064756166319534,1,1,1,1,1,-1,1,-1,1,1,-1,-1
1280087213,290.049666549,-158.597628953,1280089842,938.598785603,677.3523632580001,910.3301797710001,676.531279186,924.4644826870001,676.941821222,930.049666549,670.597628953,10.895589572419233,8.45239932317349,20.592871676269297,0.0005779379274009507,0.0004730373959486281,0.000382614009478941,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
1280102162,300.857245611,-157.551505789,1280105841,949.879208112,673.297625708,916.042077634,673.1152798640001,932.960642873,673.206452786,940.857245611,669.551505789,9.768788144748491,8.701435074323642,25.069763608466154,0.0007492360467724477,0.0005801012959858849,0.0004159907504321225,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1
1280120171,310.752871567,-156.066554605,1280121840,961.65597425,672.0863799680001,925.387396566,676.242820155,943.5216854079999,674.1646000615001,950.752871567,668.066554605,11.620526841114357,9.45918662759419,26.65067804710559,0.000739976927616333,0.0006628175054436065,0.0006159616304018243,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1280138187,321.576650347,-153.835943749,1280141840,971.693628927,670.782194711,934.36601071,690.6796026510001,953.0298198185,680.7308986810001,961.5766503469999,665.835943749,11.26137887504303,17.17288544506177,36.84598074544366,0.0005061013006288264,0.0005777562148704723,0.0008500532347795204,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1280153201,331.463872282,-151.212050479,1280153840,975.529526748,670.697912671,937.9085044139999,698.6630995339999,956.719015581,684.6805061025,971.463872282,663.212050479,8.518666503304466,26.044296611565674,48.81331367421003,0.0003197353023663567,0.00045038227711775294,0.0007278463480810436,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1280171260,342.109816446,-147.716057127,1280173840,981.016985714,669.472300296,943.6271292189999,695.2506087869999,962.3220574664999,682.3614545414998,982.109816446,659.716057127,9.81725826193149,30.072735650276645,52.37959123445225,0.0002811331161446721,0.00030319992790749366,0.00033297057962649836,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1280186218,351.749027216,-143.901653242,1280189842,983.501947817,667.212524759,952.3538493169999,681.8117638790001,967.9278985669999,674.5121443190001,991.7490272160001,655.9016532420001,13.998218925545176,30.229067935338513,47.15202938278956,0.00020989955051255312,0.0006027731178560315,0.0010013545876528048,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
