t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
2701325019.0,5.89237290764,-5.89035336804,2701328555,637.771515305,493.528219359,626.568742309,496.592572401,632.1701288070001,495.06039588,645.89237290764,517.89035336804,25.67999029744327,26.63657151480389,28.757575934572554,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701343092,11.1939291894,-11.1801015513,2701344555,636.36200788,491.553945699,628.17399298,498.752621783,632.26800043,495.153283741,651.1939291894,523.1801015513,34.93135588153152,33.818534799391216,33.56514905248525,0.00015161201080105897,8.433334460129528e-06,0.00016820099408687978,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701361054,17.3589225454,-17.3074893423,2701364555,634.262949771,494.356407031,629.042913979,500.004867766,631.6529318749999,497.1806373985,657.3589225454,529.3074893423,41.89274535199492,41.14526184344365,40.74849656584008,0.00017507023206640457,0.00010593007339665746,7.620931216791335e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701376114,23.0270935027,-22.9074363397,2701376554,635.465598444,493.507538158,631.903107209,503.724640178,633.6843528265,498.61608916800003,663.0270935027,534.9074363397,49.73517446763277,46.66967227148246,44.05756801359507,0.00012268136790298623,0.00020730117972273928,0.0003910552154236634,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701394128,29.00522214,-28.7671598796,2701396554,640.733705122,491.727308213,628.173667663,503.685679643,634.4536863925,497.706493928,669.00522214,540.7671598796001,56.605527344784996,55.20896281135935,55.156613543124394,0.00027803851634199356,5.956588025885739e-05,0.00018648215229986507,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701409104,35.0031989843,-34.5871042498,2701412554,637.383712785,494.083502645,632.595119409,503.420787347,634.989416097,498.75214499599997,675.0031989843,546.5871042498,64.58989025671801,62.36414152190891,60.51261131547639,0.0002559762322596033,7.34313154920649e-05,0.0002768362237991439,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701427161,41.3293481865,-40.6490901057,2701428553,640.159559271,495.028773957,633.153228902,499.223372369,636.6563940865001,497.126073163,681.3293481865,552.6490901057,70.81703433795413,71.2634425104489,71.93918115322079,0.00018328530233799483,0.0001455539412571011,0.00026466385030255644,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701445131,47.1663291766,-46.162493058,2701448553,638.584567939,494.259850842,632.581830777,497.98240527,635.583199358,496.121128056,687.1663291766,558.162493058,80.27287964894043,80.68426273564093,81.24721799364781,8.763333345046648e-05,7.351295112705759e-05,6.830986674804126e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701460194,53.6260798241,-52.1638556392,2701460553,639.85078586,491.615215735,632.366989116,496.867853869,636.1088874879999,494.241534802,693.6260798241,564.1638556392,90.30552249378029,90.53926421994089,91.00235188520125,0.0002443443988035214,0.00016264350096540988,9.458908810585261e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701475208,59.5910719111,-57.6027830517,2701476552,637.857100841,492.20877404,636.815988004,503.641002586,637.3365444225001,497.924888313,699.5910719111,569.6027830517,98.99957482225392,94.93864748879146,91.05859455179757,0.00013001851360897957,0.0002426748652053054,0.0005065097484080041,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701493193,65.913601638,-63.2509518208,2701496552,636.086505522,497.55202679,633.382783325,504.595799795,634.7346444235,501.07391329250004,705.913601638,575.2509518208,104.46504823592909,102.80407090661598,101.25645714196368,0.0002814487419320258,0.00020424398354854963,0.0001781749987948784,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701511238,72.3281346156,-68.8500153348,2701512552,639.501703888,495.15469735,635.599509854,505.739457724,637.550606871,500.44707753700004,712.3281346156,580.8500153348,112.46055547185377,109.80123433783115,107.37261160282785,0.00026078882982558934,0.00018030537865165809,0.00015589747686451576,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701526251,79.1310644469,-74.6349404274,2701528550,640.563526929,491.932330676,639.136611865,503.851118749,639.850069397,497.89172471250004,719.1310644469,586.6349404274,123.05056783839967,118.99930466823557,115.11851968974838,0.00021207672431079497,0.0002148792435152232,0.00025063150477169294,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701544278,85.4547290753,-79.8639354289,2701544549,640.44757277,490.012217681,639.759606768,508.640740487,640.103589769,499.32647908399997,725.4547290753,591.8639354289,132.66495027440973,125.88883114743622,119.45607629417852,0.00012023320209521544,9.106698383610637e-05,0.0003018919210486043,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701559289,92.4853815745,-85.502680985,2701560548,643.536381632,492.874485963,644.022164868,508.171569496,643.77927325,500.5230277295,732.4853815745,597.502680985,137.32801529306587,131.429931140646,125.72107297474571,0.00026320987925016316,0.0002416111746390543,0.0002680355465622995,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701577265,99.0220644974,-90.5745438902,2701580546,650.613413425,497.608173417,649.537545149,506.928569489,650.075479287,502.268371453,739.0220644974,602.5745438902,137.23712513295538,134.06275862293842,130.97950840558673,0.0004257542616390578,0.0003267146084175579,0.00028271391243729074,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701592315,106.318439041,-96.0360641616,2701592545,693.211977745,529.5697254,691.403152159,559.054762573,692.3075649519999,544.3122439865,746.318439041,608.0360641616,94.74841713735242,83.53382415265277,73.58570947300682,0.004438351829661165,0.004966434714895717,0.005571887600973336,-1,-1,-1,-1,-1,-1,-1,-1,-1
2701610337,113.105651634,-100.923035215,2701612544,721.689381161,566.422991192,727.639659371,574.33833391,724.6645202660001,570.3806625509999,753.105651634,612.923035215,56.118055424022266,51.173737652965066,46.230898074072094,0.002328810121979366,0.0020776836080695776,0.001966485880028189,-1,-1,-1,-1,-1,-1,-1,-1,-1
