t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
<<<<<<< HEAD
7748787098.0,5.89218283007,-5.89016348584,7748789786,640.791685991,510.471571872,633.431183251,503.435279765,637.111434621,506.9534258185,645.89218283007,517.89016348584,9.002808980440552,14.025468616602517,19.08455327988031,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7748802104,12.0572239653,-12.0399491378,7748805784,639.696246984,512.82270474,634.576715844,505.859883248,637.136481414,509.341293994,652.0572239653,524.0399491378,16.69192390984945,20.944665700806333,25.220685159929815,0.00016213293457791484,0.0001492686293361656,0.00016762058445521567,-1,-1,-1,-1,-1,-1,-1,-1,-1
7748820138,17.7050099699,-17.650448449,7748821782,640.285077083,509.227153698,634.191558438,507.471313692,637.2383177605,508.349233695,657.7050099699,529.650448449,26.843342382615507,29.540264724445873,32.32331080678729,0.0002277439238394005,6.2337381050541e-05,0.0001035642293065931,-1,-1,-1,-1,-1,-1,-1,-1,-1
7748837139,23.9064164828,-23.7726018099,7748837780,639.476566053,509.219092469,633.051348894,506.067373084,636.2639574735,507.6432327765,663.9064164828,535.7726018099,36.08194077845122,39.43814070538866,42.83031414275938,5.0540768601854695e-05,7.521264873208147e-05,0.00011305323984567815,-1,-1,-1,-1,-1,-1,-1,-1,-1
7748855157,29.6062348513,-29.3531939176,7748857777,638.632108338,511.644571612,634.255195356,502.857981975,636.443651847,507.2512767935,669.6062348513,541.3531939176,42.918512935080955,47.56782171863745,52.26449402705398,0.00012843322358570145,2.1562429646103415e-05,0.00017141297514425784,-1,-1,-1,-1,-1,-1,-1,-1,-1
7748868716,35.88715013,-35.4391295472,7748869775,640.544415854,512.516730201,636.177721272,502.960745176,638.361068563,507.7387376885,675.88715013,547.4391295472,49.68584146615024,54.62900247585954,59.62520789482223,0.00017517954153466067,0.00016489495845968937,0.0001604659456239886,-1,-1,-1,-1,-1,-1,-1,-1,-1
7748887101,41.6766661182,-40.9793962052,7748889773,639.876584743,513.892665637,639.063172985,505.995128794,639.4698788640001,509.9438972155,681.6766661182,552.9793962052,57.227784418797896,60.27824701842093,63.43052247286347,7.647981149278746e-05,0.00012342414111183109,0.00020938494882880905,-1,-1,-1,-1,-1,-1,-1,-1,-1
7748902098,48.0709675247,-47.0095226129,7748905771,639.341885001,513.438241923,638.029830026,508.998246664,638.6858575135,511.2182442935,688.0709675247,559.0095226129,66.71780202703935,68.72332481931214,70.747743173905,4.3862705284466694e-05,9.352493235198847e-05,0.00019852027519214781,-1,-1,-1,-1,-1,-1,-1,-1,-1
7748920134,53.9701240552,-52.4803253591,7748921769,640.586901176,512.72486897,636.479544258,510.415402603,638.533222717,511.57013578650003,693.9701240552,564.4803253591,74.35318252108902,76.63379274569277,78.91883576207442,8.969307657260214e-05,2.3976045344864333e-05,0.00013129195838214194,-1,-1,-1,-1,-1,-1,-1,-1,-1
7748935135,60.5283437864,-58.4478758379,7748937766,641.693129316,513.617867765,636.0170074,510.561216587,638.8550683579999,512.089542176,700.5283437864,570.4478758379,81.79995280771163,84.90752622624775,88.02343141796204,8.887196074608142e-05,3.8197045979932874e-05,3.0316706442979563e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
7748953153,66.562599774,-63.8235935838,7748953763,642.414826639,512.827954669,635.740627598,508.799751087,639.0777271185,510.813852878,706.562599774,575.8235935838,89.9076599654517,93.704185733426,97.50870323173193,6.68849043389058e-05,8.095111240769541e-05,0.0001114594064623196,-1,-1,-1,-1,-1,-1,-1,-1,-1
7748969715,73.2751227672,-69.6649276744,7748969761,643.771903532,513.199239424,633.152619874,506.144132163,638.462261703,509.6716857935,713.2751227672,581.6649276744,97.5615085556657,103.82673575304709,110.10452317932051,8.794540727443744e-05,8.109996342630101e-05,0.00023178598373549845,-1,-1,-1,-1,-1,-1,-1,-1,-1
7748986188,79.5061367955,-74.9491375172,7748989758,646.675848266,516.181108842,633.559542286,504.51608386,640.117695276,510.34859635099997,719.5061367955,586.9491375172,101.54981442555251,110.31848237648025,119.08830943057018,0.00020814441348398393,8.94375205644834e-05,8.391918961944273e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749004245,86.436352855,-80.6624261414,7749005755,648.604030781,519.57663703,635.154463075,506.506263809,641.8792469279999,513.0414504195,726.436352855,592.6624261414,106.76798644475272,116.14389324306852,125.51998928320117,0.00024409605969252847,0.00020115303658858275,0.00015943048616843893,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749019228,92.8743337399,-85.8091255643,7749021752,647.283526704,525.539866861,632.766260131,507.554801483,640.0248934174999,516.547334172,732.8743337399,597.8091255643,112.0206766743585,123.38758976683435,134.78675534731616,0.0003818020281674044,0.00024792693748222264,0.00016304591446666478,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749037274,100.042469086,-91.3511331148,7749037750,649.501087492,527.415868416,634.953460415,507.185006268,642.2272739535,517.300437342,740.042469086,603.3511331148,118.16897310981058,130.27868068794686,142.44867039101604,0.00018156295522540552,0.00014549214802579612,0.00013865740100454515,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749055249,106.713472,-96.3256450099,7749057749,650.781904436,525.937709745,635.633113234,505.812575682,643.207508835,515.8751427135,746.713472,608.3256450099,126.45409258896942,138.7824909185989,151.15480636291426,9.77986154540625e-05,8.64960180572517e-05,7.657885208597308e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749068813,114.167584202,-101.670561011,7749069750,649.874418072,524.555464986,635.707475864,509.445139555,642.7909469680001,517.0003022705,754.167584202,613.670561011,137.1807743124551,147.47845349917807,157.78382599345062,0.00013778194434263844,9.99745776630935e-05,0.00030275184869769435,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749087096,121.105529211,-106.43934673,7749089751,650.939965998,524.445147976,636.877667732,517.236887324,643.9088168650001,520.84101765,761.105529211,618.43934673,144.8149188358849,152.51394435893073,160.232641360831,5.355948743411106e-05,0.0001999945485517721,0.00039393678014686936,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749102108,128.854497633,-111.527542917,7749105751,798.202322695,643.098706153,795.821704102,628.779908173,797.0120133985,635.939307163,768.8544976329999,623.527542917,35.27499491537762,30.77170105442123,27.473943392314744,0.011819751175207413,0.011971353345720817,0.012136118001539792,1,1,1,1,1,1,1,1,1
7749120136,136.097221939,-116.053939916,7749121752,831.599876028,688.231993376,820.021355287,661.175924779,825.8106156575,674.7039590775,776.0972219390001,628.053939916,81.86539396569104,68.17364448801976,55.01268373418697,0.003508926212316087,0.00301802284865096,0.0025271344922610617,1,1,1,1,1,1,1,1,1
7749135132,144.181406766,-120.842513511,7749137752,834.759349751,681.592541623,828.21880285,661.16430439,831.4890763005,671.3784230065,784.181406766,632.842513511,70.24737402575768,61.01665278783183,52.35853409381228,0.0004595539353323609,0.000411286593326461,0.0005123409874566215,1,1,1,1,1,1,1,1,1
7749153154,151.728283463,-125.06053802,7749153752,845.82598181,685.324606805,832.183129695,667.62417765,839.0045557525,676.4743922275,791.728283463,637.06053802,72.49814688753241,61.550774366217404,50.702373229339806,0.0007299364689071018,0.000567516979697844,0.00047370650307100755,1,1,1,1,1,1,1,1,1
7749169708,160.170207055,-129.489258908,7749169751,855.857096608,684.990301058,834.958507661,668.687447894,845.4078021345,676.838874476,800.170207055,641.489258908,70.66378376667993,57.411108066141615,44.158434564322945,0.0006273319542221396,0.00040087576893047905,0.00018576668338357767,1,1,1,1,1,1,1,1,1
7749186197,168.048921567,-133.346226596,7749189750,867.749512415,685.950742385,845.471731748,673.995814638,856.6106220815,679.9732785115,808.048921567,645.346226596,72.20032721573679,59.642866138530955,47.130304654430894,0.000596586618893333,0.0005816811781466422,0.0005888983568844258,1,1,1,1,1,1,1,1,1
7749204247,176.870601544,-137.348048921,7749205749,873.971640611,688.848591283,851.974107933,682.920918397,862.972874272,685.88475484,816.870601544,649.348048921,69.43213599928508,58.82474334919265,48.57359082521181,0.00042901730518610893,0.0005428269254615645,0.0006902038220413985,1,1,1,1,1,1,1,1,1
7749219220,185.096367535,-140.777992561,7749221749,875.952794507,693.945183933,856.599834444,686.678173633,866.2763144754999,690.3116787829999,825.096367535,652.777992561,65.43022092135435,55.7186291237853,46.27840429402079,0.0003417568774435398,0.0003452262209814691,0.00037246178842924245,1,1,1,1,1,1,1,1,1
7749237282,194.293850167,-144.268480552,7749237748,875.641342749,693.879645915,856.790676402,688.042198727,866.2160095755,690.960922321,834.293850167,656.268480552,55.89467687339715,47.14435042714179,38.931688343971324,1.9893279008963754e-05,4.075493652102062e-05,8.608730704943131e-05,1,1,1,1,1,1,1,1,1
7749255263,202.887286012,-147.200773386,7749257747,877.997421995,687.46305721,856.931197957,687.025418951,867.464309976,687.2442380805,842.887286012,659.200773386,45.071924029190036,37.288953042405176,31.1679701542591,0.00034179084520002294,0.00019604548546402418,5.132476953057666e-05,1,1,1,1,1,1,1,1,1
7749268810,212.462067487,-150.093112185,7749269746,881.77278908,681.539554207,860.467389829,683.704877463,871.1200894545,682.622215835,852.462067487,662.093112185,35.175026760719994,27.741050456176954,23.046769496627746,0.0005854100475813108,0.0004911268358875756,0.0004042703560651033,1,1,1,1,1,1,1,1,1
7749287097,221.381959212,-152.431217971,7749289745,889.402114259,679.361327742,863.121676326,684.977056744,876.2618952925,682.169192243,861.381959212,664.431217971,31.749602621639653,23.152715370640617,20.6193624179521,0.00039672902849185646,0.00025809911947836614,0.00014717798208153924,1,1,1,1,1,1,1,1,1
7749302101,231.342301402,-154.633879303,7749305744,895.32612814,681.626503982,866.640043901,689.692609068,880.9830860205,685.659556525,871.342301402,666.633879303,28.284319680058925,21.328879994412183,23.533300745560755,0.00039641948491135577,0.00036697983037436554,0.00036774052204013185,1,1,1,1,-1,1,1,1,-1
7749320137,240.567055712,-156.28709256,7749321743,902.814694511,683.620575922,873.058347486,695.000606171,887.9365209985,689.3105910464999,880.567055712,668.28709256,27.019865731411386,22.277713240384244,27.74873886626703,0.0004843748256743358,0.000490885766021081,0.0005205845803241287,1,1,1,1,-1,1,1,1,-1
7749335136,250.837931816,-157.685746265,7749337743,910.789245545,685.102301219,881.785518464,700.854664339,896.2873820044999,692.9784827789999,890.837931816,669.685746265,25.213589315341068,23.92170733178478,32.45685815662371,0.000506940016058515,0.0005700545111779627,0.0006567959345659785,1,1,1,1,-1,1,1,1,-1
7749353160,260.36455533,-158.561140971,7749353744,916.762232741,687.167274992,887.704195175,707.48266016,902.2332139580001,697.3249675760001,900.36455533,670.561140971,23.33768436667687,26.828982455741944,39.031824175639166,0.0003949668726624026,0.0004602906170098958,0.0005553405254779093,1,1,1,1,-1,1,1,1,-1
7749369717,270.909472743,-159.048093337,7749369745,923.357492129,692.862461897,891.967265817,711.830670693,907.6623789729999,702.346566295,910.9094727429999,671.048093337,25.11612753403183,31.466458768883307,44.966941401717854,0.0005445866752374109,0.0004621850725080994,0.0003805543471853259,1,1,-1,1,-1,1,1,-1,-1
7749388807,280.655813142,-159.037712593,7749389747,930.386588188,699.670917166,903.880674798,711.069930008,917.1336314929999,705.370423587,920.6558131419999,671.037712593,30.24150107245212,34.51290784280685,43.40488103453535,0.0004892445829496397,0.0004970627991451353,0.0005968239744788002,1,-1,-1,-1,-1,-1,-1,-1,-1
7749403795,291.401867632,-158.498765529,7749405748,934.127410443,699.572972862,913.796128607,705.726361384,923.961769525,702.649667123,931.401867632,670.498765529,29.20168001428797,33.000538376651555,39.38204611672201,0.0002338668990467041,0.0004593611056802584,0.0007039345135022474,1,-1,-1,-1,-1,-1,-1,-1,-1
7749421798,301.294809309,-157.496664901,7749425750,943.089868061,695.520001254,921.690474064,697.293403687,932.3901710625,696.4067024705,941.294809309,669.496664901,26.085173391497754,28.34506490190014,34.01453582713523,0.0004917643690498448,0.0005243819240725388,0.0005775135985914866,1,-1,-1,-1,-1,-1,-1,-1,-1
7749436834,312.091901147,-155.825607237,7749437750,951.871977793,693.964646967,927.308528819,693.766052002,939.590253306,693.8653494845,952.091901147,667.825607237,26.13996488689598,28.885279556490694,35.8764855936907,0.0007432313939021992,0.000636285113158003,0.0005528006292447625,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749454805,321.994825113,-153.736563819,7749457752,958.945922293,689.096198592,936.895100023,687.161242559,947.920511158,688.1287205755,961.9948251129999,665.736563819,23.557766132079482,26.447967738780495,33.00019785858529,0.0004293242774553568,0.0005056719533640647,0.0005820196605826417,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749468365,332.755270501,-150.826038174,7749469753,963.63431098,688.693575763,946.372904507,682.971584959,955.0036077435,685.832580361,972.755270501,662.826038174,27.428477965465905,29.058948949647636,33.19446174752635,0.0003921043969588373,0.00062044606410971,0.0008634721328161275,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749487343,342.514500732,-147.568707946,7749489755,977.482319324,688.147995236,952.159150208,676.512130864,964.820734766,682.33006305,982.514500732,659.568707946,29.018933676608075,28.829648631746583,34.763873282663894,0.0006928682882941636,0.0005211091177155959,0.00043356126365343036,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749502354,353.046118077,-143.338215979,7749505756,984.597935135,688.604340068,965.418468093,674.724735252,975.008201614,681.66453766,993.0461180770001,655.338215979,34.32210376603178,31.913032503628656,33.75091366408943,0.00044561178338267416,0.0006380340214881511,0.0008361507798249468,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749520415,362.493574803,-138.850154383,7749521757,994.453383496,684.986912468,967.684349517,671.085177377,981.0688665065,678.0360449225,1002.493574803,650.850154383,35.0708273185417,34.61344782040344,40.26336201286738,0.0006561067378550701,0.0004414614483966956,0.0002679370173883478,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749535381,372.589079792,-133.245281937,7749537758,998.177762086,683.39460313,974.777957322,669.239347825,986.477859704,676.3169754774999,1012.589079792,645.245281937,40.78059324617467,40.58627790225066,44.78165003970961,0.00025313961606077877,0.00035470267585318427,0.0004580855340305597,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749553446,381.518422044,-127.499687073,7749553760,1007.64671182,675.161050455,983.668805179,666.31711035,995.6577584995,670.7390804025,1021.518422044,639.499687073,38.264306903453466,40.55457575363153,46.387150031501996,0.0007841522168595916,0.0006712704108488628,0.0005848502576771428,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749569923,390.931387856,-120.515204107,7749573762,1013.8893641,668.898355866,988.477646811,660.92374514,1001.1835054554999,664.9110505030001,1030.9313878560001,632.515204107,40.176663694469376,43.9821255855969,51.08194722541001,0.0004420871377322793,0.0004015187227999394,0.0003612578892808444,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749586095,399.136082685,-113.512109518,7749589764,1022.63225798,666.213011054,996.083191037,652.866095903,1009.3577245085,659.5395534785,1039.136082685,625.512109518,43.91969507790944,45.21744749732002,51.00776460898079,0.0005715533991865097,0.0006112452843156338,0.0006924236404496431,-1,-1,-1,-1,-1,-1,-1,-1,-1
