zeitstempel blick_l_x blick_l_y pupillengroesse_l pos_auge_l_x pos_auge_l_y entf_auge_l blick_r_x blick_r_y pupillengroesse_r pos_auge_r_x pos_auge_r_y entf_auge_r
8320865868 0.0 0.0 0.0 0.0 0.0 0.0 635.882270984 71.0204602424 3.1778775662 3.00154676952 2.01811616141 581.296636101
8320891534 START:PursuitTask
8320877868 0.0 0.0 0.0 0.0 0.0 0.0 608.868008344 48.3588894141 3.18931886123 2.96357671554 2.02103095191 581.719900233
8320881869 0.0 0.0 0.0 0.0 0.0 0.0 605.475010444 55.9362543606 3.19240001067 2.97189845469 2.01351247735 581.834803391
8320885869 0.0 0.0 0.0 0.0 0.0 0.0 605.630125649 51.999026761 3.19242484784 2.99012011675 2.00829025532 581.787906842
8320889869 0.0 0.0 0.0 0.0 0.0 0.0 608.665513474 52.5307791178 3.19124515107 3.00779736994 2.00501399431 581.607587847
8320893869 0.0 0.0 0.0 0.0 0.0 0.0 606.472415225 51.5280418373 3.19118078134 3.01868818222 2.00184732917 581.632053039
8320897870 0.0 0.0 0.0 0.0 0.0 0.0 605.568053103 48.0951688064 3.19080317296 3.02859860663 2.00442120617 581.859062816
8320901870 0.0 0.0 0.0 0.0 0.0 0.0 603.515759628 46.5710060116 3.18894541394 3.03543846557 1.99919664123 582.272381096
8320905871 0.0 0.0 0.0 0.0 0.0 0.0 601.32104755 47.082483762 3.18806159894 3.04956292057 1.98777452041 582.056970113
8320909871 0.0 0.0 0.0 0.0 0.0 0.0 599.988891552 46.028310685 3.18795488146 3.05181815766 1.98388595885 581.780770895
8320913872 0.0 0.0 0.0 0.0 0.0 0.0 598.201212777 45.2800235146 3.19163688772 3.053307659 1.98186643691 581.528433214
8320917873 0.0 0.0 0.0 0.0 0.0 0.0 598.636541266 46.8624222731 3.19107399978 3.05727020221 1.97576266595 581.366001255
8320921874 0.0 0.0 0.0 0.0 0.0 0.0 598.588389901 47.0865237857 3.18877035679 3.05914038125 1.97189537558 581.281851298
8320925874 0.0 0.0 0.0 0.0 0.0 0.0 599.25229201 46.0410831415 3.18603552055 3.06273655892 1.97132591301 581.143697284
8320929875 0.0 0.0 0.0 0.0 0.0 0.0 599.453149815 46.5976391489 3.18758633446 3.06545234999 1.9656326856 581.058802489
8320933876 0.0 0.0 0.0 0.0 0.0 0.0 598.866855341 46.5417381722 3.18618027991 3.06770449963 1.9649120207 581.048846383
8320937877 0.0 0.0 0.0 0.0 0.0 0.0 598.500134688 45.523619477 3.1886671162 3.07143873657 1.96569079903 581.041400318
8320941877 0.0 0.0 0.0 0.0 0.0 0.0 598.218010984 45.0782032017 3.19023876971 3.07355694359 1.96718116044 581.065072589
8320945878 0.0 0.0 0.0 0.0 0.0 0.0 597.408639244 44.8785655135 3.18841206084 3.07329726219 1.96958645062 581.052899778
