t_Tracker;t_soll;t_ist;pix_x;pix_y;deg_x;deg_y
7076792397;0.0166680203907;0.0155446729623;2.94565059705;-2.94539819502;0.0806733311777;-0.0815218197959
7076810399;0.0322126933529;0.0329803519417;5.69366735438;-5.69184525203;0.155934010828;-0.157537131559
7076825408;0.0496483723323;0.0489009169396;8.77803855153;-8.77136584151;0.240406520674;-0.242771149485
7076843438;0.0655689373303;0.0655905849999;11.5972312945;-11.5818566744;0.317616516332;-0.320559045058
7076858437;0.0822586053905;0.0821933362167;14.5565219055;-14.5261537087;0.398663410269;-0.402050387268
7076876515;0.0988613566074;0.0989057759289;17.5053573237;-17.4526154351;0.479423965007;-0.483048089347
7076891460;0.11557379632;0.115515262354;20.479679924;-20.3953671315;0.560882544108;-0.564496660174
7076909474;0.132183282745;0.132975958055;23.4426549772;-23.3164374898;0.64203034486;-0.645345141632
7076924485;0.149643978446;0.148845206597;26.5660749274;-26.3828031155;0.727572293489;-0.730215060541
7076942486;0.165513226988;0.166281847865;29.4134183097;-29.1652484588;0.805553258334;-0.807226721733
7076957499;0.182949868256;0.182162321871;32.5525153597;-32.2170473009;0.891524559944;-0.891693465713
7076975507;0.198830342262;0.198858404532;35.4219944075;-34.9909665397;0.97011176026;-0.968469144023
7076993523;0.215526424923;0.215481361491;38.4506718221;-37.9011088172;1.05305896939;-1.04901516144
7077008537;0.232149381881;0.232198291458;41.4791193964;-40.791558958;1.13599988382;-1.129016146
7077026551;0.248866311849;0.248806174146;44.5388225424;-43.690740978;1.21979680307;-1.2092588088
7077041557;0.265474194537;0.265476919361;47.5936126497;-46.5628251712;1.30345916759;-1.28875146634
7077059570;0.282144939752;0.282132269815;50.6760601001;-49.436923315;1.38787899126;-1.36829986538
7077074575;0.298800290205;0.298801090685;53.772775556;-52.2988343416;1.47268957667;-1.44751095317
7077092596;0.315469111075;0.31546093116;56.8901362964;-55.1528254506;1.55806558007;-1.52650283592
7077110594;0.332128951551;0.332904949086;60.0249629831;-57.9943314525;1.64391992809;-1.60514915975
7077125608;0.349572969476;0.348798252176;63.3289588745;-60.9570500102;1.73440735895;-1.68715036718
7077143623;0.365466272567;0.366210197448;66.3594533831;-63.6444940287;1.81740433333;-1.7615326111
7077158633;0.382878217838;0.382148723118;69.7027100895;-66.5748624035;1.90896701078;-1.84263844018
