t_Tracker;t_soll;t_ist;pix_x;pix_y;deg_x;deg_y
7327801022;0.0166619287598;0.0162684961688;2.9445739326;-2.94432180721;0.0806438442767;-0.0814920278673
7327816029;0.0329304249286;0.0329106380232;5.82058400132;-5.81863735619;0.159409911432;-0.161046444182
7327834039;0.049572566783;0.0495447617723;8.76462226631;-8.75798008201;0.240039085235;-0.242400662576
7327849093;0.0662066905321;0.0662869700463;11.7102334207;-11.6944055964;0.320711336185;-0.323674139294
7327867059;0.0829488988061;0.082872343366;14.6790203473;-14.6478806434;0.402018308292;-0.405419507699
7327882069;0.0995342721258;0.0995225033257;17.6249932914;-17.5711659618;0.482700467675;-0.486329294139
7327900083;0.116184432086;0.116963573149;20.588482278;-20.5028241453;0.563862343662;-0.567470822148
7327915096;0.133625501909;0.132860348211;23.7002942726;-23.5698924848;0.649086382064;-0.652360190552
7327933107;0.14952227697;0.149507621652;26.5442715088;-26.3614475046;0.726975157354;-0.729623986552
7327951117;0.166169550412;0.16633193579;29.5313691952;-29.2802269806;0.808783611201;-0.81040906168
7327966126;0.18299386455;0.182838089881;32.5604508304;-32.2247398637;0.891741890831;-0.891906378086
7327984145;0.19950001864;0.199496267946;35.5432342227;-35.1078187209;0.973432187934;-0.971703342534
7327999154;0.216158196705;0.216148993815;38.5655267821;-38.0110937449;1.05620453331;-1.05205929024
7328017205;0.232810922575;0.232824491104;41.599925249;-40.9064376936;1.13930842645;-1.13219572409
7328032172;0.249486419864;0.249479782651;44.6526070308;-43.7981299737;1.22291304968;-1.2122310882
7328050182;0.266141711411;0.266159770195;47.7167209428;-46.6780824992;1.30683076777;-1.291941523
7328068192;0.282821698955;0.283581917174;50.8015491031;-49.5534020884;1.39131579259;-1.37152372883
7328083201;0.300243845934;0.299465221702;54.0420134118;-52.5464111752;1.48006326679;-1.45436330816
7328098220;0.316127150462;0.316185620613;57.01358765;-55.265273195;1.56144657575;-1.5296151298
7328116225;0.332847549373;0.332855344866;60.1606252337;-58.116638164;1.64763534691;-1.60853432706
7328134240;0.349517273626;0.350216554012;63.3183733805;-60.9476118561;1.73411745116;-1.68688914087
7328149255;0.366878482772;0.366120064282;66.6296931942;-63.8827157066;1.82480546427;-1.76812603699
7328167261;0.382781993042;0.382831803639;69.6841653873;-66.5587095867;1.90845912199;-1.84219136752
7328182275;0.399493732399;0.399432892562;72.9166774077;-69.3568351196;1.99698880471;-1.91963702015
7328200280;0.416094821322;0.416107748402;76.1519121685;-72.1215265942;2.08559305586;-1.99615729526
7328215288;0.432769677162;0.432808583137;79.4267267131;-74.8826580067;2.17528128927;-2.07257903607
7328233319;0.449470511896;0.449499795912;82.7329603373;-77.6312481138;2.26583000553;-2.1486536625
7328248314;0.466161724672;0.466134240385;86.0645985217;-80.3604499265;2.35707448337;-2.22419166573
7328266330;0.482796169145;0.483524635551;89.4130504383;-83.0616662758;2.44877944344;-2.29895509597
7328284337;0.50018656431;0.500468580402;92.9447692965;-85.8645573414;2.54550358492;-2.37653264753
7328299345;0.517130509161;0.516080550849;96.4174294855;-88.5736154721;2.64061027061;-2.45151312016
7328317410;0.532742479609;0.53273231443;99.6455938815;-91.0495778035;2.72902088376;-2.52004203939
7328332372;0.54939424319;0.549423848046;103.119782061;-93.6680551372;2.82416941695;-2.59251544475
7328350388;0.566085776806;0.566842467175;106.63532252;-96.2684073387;2.92045047622;-2.66448718831
7328365392;0.583504395935;0.582759127137;110.34029185;-98.9546424663;3.02191947532;-2.73883597293
7328383403;0.599421055897;0.599382346147;113.759069582;-101.383546014;3.11555046753;-2.80606241369
7328398419;0.616044274907;0.616046618088;117.364404637;-103.892747401;3.21429075576;-2.87551131322
7328416422;0.632708546848;0.632760281791;121.01518316;-106.378536116;3.31427561652;-2.94431220406
7328431436;0.649422210551;0.649352069711;124.71438675;-108.840446649;3.41558670773;-3.01245220197
7328449467;0.666013998471;0.666074072244;128.424690379;-111.251945259;3.51720179872;-3.07919691424
7328467459;0.682736001003;0.682686386514;132.203303649;-113.648065871;3.62068770436;-3.14551599909
7328484449;0.699348315273;0.699359318009;135.99686214;-115.992741538;3.72458291881;-3.21041120664
7328500483;0.716021246768;0.716008515912;139.844826344;-118.308472545;3.82996815728;-3.27450529284
7328515489;0.732670444672;0.732723462395;143.728574606;-120.581664093;3.93633342343;-3.33742198509
7328533508;0.749385391155;0.749386130716;147.66981625;-122.822552767;4.04427327642;-3.39944460837
7328548513;0.766048059476;0.766045591794;151.641409997;-125.013372728;4.15304439068;-3.4600814453
7328566524;0.782707520554;0.782666565734;155.655431911;-127.158834013;4.26297749663;-3.51946285885
7328581537;0.799328494494;0.799325385247;159.703762172;-129.252547453;4.3738502146;-3.57741201155
7328599545;0.815987314007;0.816782812122;163.805483363;-131.30204323;4.48618516442;-3.63413732143
7328617565;0.833444740882;0.832701075822;168.151768109;-133.394809591;4.60521804263;-3.69206026118
7328632571;0.849363004582;0.849372082972;172.157974239;-135.251877459;4.71493709559;-3.74345961097
7328650589;0.866034011732;0.865986963036;176.398027231;-137.142157299;4.83106057595;-3.79577819143
7328665602;0.882648891795;0.88263776456;180.669242342;-138.968153781;4.9480375017;-3.84631755701
7328683603;0.89929969332;0.899317110539;184.995369955;-140.737643678;5.06651833102;-3.89529295083
7328698615;0.915979039299;0.915974005708;189.374849917;-142.446963885;5.18646033559;-3.94260298656
7328716628;0.932635934467;0.932632504613;193.794323103;-144.088253747;5.30749764543;-3.98803009948
