t_Tracker;t_soll;t_ist;pix_x;pix_y;deg_x;deg_y
6742908431;0.0166619344451;0.0168727924174;2.94457493746;-2.94432281181;0.080643871797;-0.0814920556722
6742923442;0.0335347268626;0.0327519733692;5.92744572212;-5.92538991771;0.16233656234;-0.164001108546
6742940941;0.0494139078143;0.0494079544733;8.73654254442;-8.72996394786;0.239270058282;-0.241625240684
6742958458;0.0660698889184;0.0668301517726;11.6859933425;-11.6702634737;0.320047466595;-0.323005941092
6742973468;0.0834920862177;0.0827869486238;14.7754196334;-14.7436637215;0.404658421664;-0.408070562095
6742990981;0.099448883069;0.0993989901617;17.6098116413;-17.5561228663;0.482284683709;-0.485912935997
6743008490;0.116060924607;0.116816697293;20.5664751016;-20.4810902265;0.563259627158;-0.566869277468
6743023517;0.133478631738;0.132830904215;23.674054494;-23.5440829975;0.648367746137;-0.651645843551
6743041011;0.14949283866;0.150210765598;26.538997563;-26.3562817689;0.726830718373;-0.729481010916
6743058545;0.166872700043;0.166095719615;29.6577527706;-29.4033997825;0.81224491243;-0.813818200376
6743073536;0.18275765406;0.182701346639;32.517847207;-32.1834390008;0.890575093851;-0.890763265584
6743091051;0.199363281084;0.200801239553;35.5184773428;-35.0839601502;0.972754164557;-0.971042992398
6743108561;0.217463173998;0.216011705255;38.802829005;-38.2382449458;1.06270359359;-1.05834631088
6743123574;0.232673639701;0.232694627426;41.5748537995;-40.8825990512;1.13862178786;-1.13153592553
6743141079;0.249356561871;0.249350287806;44.6287774722;-43.7756423842;1.22226042311;-1.21160868365
6743158593;0.266012222251;0.266782427643;47.6928375907;-46.6557252652;1.30617666794;-1.2913227264
6743176105;0.283444362088;0.283424938243;50.9170322746;-49.6605563144;1.39447856151;-1.37448951034
6743191139;0.300086872688;0.299364736566;54.012729686;-52.5194932338;1.47926126545;-1.45361828171
6743208624;0.316026671011;0.315998587525;56.9947352875;-55.2481040711;1.56093026099;-1.5291399281
6743223642;0.33266052197;0.332707167836;60.1253131934;-58.0848078413;1.64666824649;-1.60765333724
6743241142;0.349369102281;0.349318567925;63.2902132463;-60.9225022325;1.73334622193;-1.68619416448
6743258677;0.365980502371;0.36598866104;66.4578376574;-63.7312490209;1.82009881011;-1.76393378893
6743273666;0.382650595485;0.382643679972;69.6588433468;-66.5366517198;1.9077656204;-1.84158085671
6743291186;0.399305614417;0.399339751952;72.8801564733;-69.3254197859;1.99598859598;-1.91876751626
6743306188;0.416001686397;0.415959170205;76.1336930419;-72.1060592694;2.0850940837;-1.99572919543
6743323718;0.43262110465;0.432632791315;79.3974337569;-74.8581291937;2.17447903514;-2.07190013517
6743341210;0.44929472576;0.449287489522;82.6980196858;-77.6024086551;2.26487307644;-2.14785545289
6743356234;0.465949423967;0.465990617464;86.0220468446;-80.3258522445;2.35590910905;-2.2232340818
6743373730;0.482652551909;0.482614525914;89.3840178083;-83.0384275189;2.44798431894;-2.29831190084
6743391249;0.499276460359;0.499268261949;92.7591357127;-85.7184250818;2.54041958765;-2.37248804407
6743406255;0.515930196394;0.515932902694;96.170377049;-88.3824407827;2.63384417858;-2.44622184627
6743423774;0.532594837139;0.533382041031;99.6149345893;-91.0262561335;2.72818120942;-2.51939654943
6743441274;0.550043975476;0.549318311358;103.256002411;-93.7697406316;2.8279001206;-2.5953298644
6743456309;0.565980245803;0.565909505676;106.612989873;-96.2520460748;2.91983884594;-2.66403434631
6743473800;0.582571440121;0.583353191672;110.140894365;-98.8114981874;3.01645852235;-2.73487406987
6743491316;0.600015126117;0.599241673714;113.887297276;-101.473710646;3.11906227416;-2.80855796249
6743506332;0.615903608159;0.615904390084;117.333744546;-103.871636125;3.21345105954;-2.87492700186
6743523849;0.632566324529;0.633356414968;120.983868159;-106.357450477;3.31341798409;-2.94372860228
6743541342;0.650018349413;0.649225653411;124.847035171;-108.927660521;3.41921958599;-3.01486608052
6743556368;0.665887587856;0.665882596717;128.396276643;-111.233698516;3.51642362402;-3.07869188655
6743573868;0.682544531162;0.683337187394;132.15981224;-113.62083089;3.61949659335;-3.14476219771
6743591389;0.69999912184;0.699237857043;136.146295621;-116.083848937;3.72867549404;-3.21293284904
6743608887;0.715899791488;0.716644659464;139.81664688;-118.291743443;3.82919639865;-3.27404226994
6743623910;0.733306593909;0.732580288342;143.877795788;-120.667718358;3.94042018437;-3.3398037684
6743641410;0.749242222788;0.749204196793;147.635877189;-122.803539837;4.04334377816;-3.39891837438
6743658927;0.765866131238;0.766639543872;151.59781464;-124.989691759;4.1518504328;-3.45942601078
6743673939;0.783301478317;0.782511989586;155.799347675;-127.234471206;4.26691895665;-3.52155632167
6743691452;0.799173924031;0.799203892093;159.665911746;-129.233298103;4.37281359472;-3.57687923398
6743708953;0.815865826538;0.81663218321;163.77540965;-131.287279575;4.48536152751;-3.63372869756
6743723982;0.833294117656;0.832512005611;168.114057183;-133.377000859;4.60418524328;-3.6915673566
6743741475;0.849173940056;0.84917311836;172.110149164;-135.230115334;4.7136272973;-3.74285728561
6743758992;0.865835052805;0.866636368679;176.347155785;-137.119936316;4.82966734587;-3.79516316595
6743774000;0.883298303124;0.882492457313;180.837111336;-139.038317341;4.95263497533;-3.84825952233
6743791518;0.899154391758;0.899935181136;184.957420336;-140.722471334;5.06547899451;-3.89487301539
6743806520;0.916597115581;0.915813079191;189.538021376;-142.509055872;5.19092915657;-3.94432154937
6743824041;0.932475013636;0.932496963535;193.751407778;-144.072720034;5.30632231179;-3.98760016216
6743841540;0.94915889798;0.949949629867;198.223482191;-145.648819638;5.42880022568;-4.0312229593
6743856563;0.966611564312;0.965792889445;202.950570064;-147.22118789;5.55826226229;-4.07474248122
6743874078;0.98245482389;0.982492810115;207.28480963;-148.578276234;5.67696525587;-4.11230355243
6743891609;0.99915474456;1.0003402911;211.897380815;-149.933511025;5.80329099294;-4.14981332162
6743906586;1.01700222554;1.01578456658;216.876223144;-151.293212445;5.93964789706;-4.18744671675
6743924116;1.03244650103;1.03244022696;221.22517963;-152.393098456;6.05875394694;-4.21788902142
6743941609;1.04910216141;1.04910807498;225.956648168;-153.496506931;6.18833595801;-4.24842881973
6743956621;1.06577000942;1.0657566794;230.73369678;-154.511693944;6.31916628293;-4.27652685174
6743974135;1.08241861384;1.08243831864;235.54623653;-155.433612233;6.45096861329;-4.30204342087
6743991655;1.09910025309;1.09916518038;240.408218896;-156.261792483;6.58412504196;-4.32496553755
6744006654;1.11582711482;1.11574546999;245.322094796;-156.992850042;6.71870269288;-4.34519952243
6744024176;1.13240740443;1.13242390199;250.22963647;-157.61599038;6.85310686665;-4.36244660789
6744041677;1.14908583643;1.14908565619;255.201397992;-158.137494324;6.98926984683;-4.37688063266
6744056695;1.16574759063;1.16572656314;260.20150729;-158.549610941;7.12620919519;-4.38828706885
6744074206;1.18238849758;1.18242712528;265.226507851;-158.849201223;7.26383024737;-4.39657903598
6744091723;1.19908905973;1.19907156023;270.298512751;-159.033890823;7.40273862007;-4.40169081758
