zeitstempel blick_l_x blick_l_y pupillengroesse_l pos_auge_l_x pos_auge_l_y entf_auge_l blick_r_x blick_r_y pupillengroesse_r pos_auge_r_x pos_auge_r_y entf_auge_r
1203273974 678.014896832 219.127018342 4.15060057879 8.70284088377 -11.4893052921 616.037063911 0.0 0.0 4.10021713594 64.7676495649 -11.9065558264 604.340639702
1203277974 678.872343183 219.845099352 4.15365071209 8.72784761238 -11.5242925052 616.718457907 0.0 0.0 4.10169269281 64.8082672761 -11.925140197 604.593747821
1203281974 678.923067543 220.321181084 4.15357507732 8.74678738923 -11.5238169254 617.343612748 0.0 0.0 4.10401876961 64.8557952717 -11.9205273345 604.970381205
1203285975 677.533275346 220.90678684 4.15639168722 8.77360743828 -11.515098378 618.223649883 0.0 0.0 4.10566390283 64.9060955681 -11.9146667723 605.390563085
1203289975 677.465381161 221.748699112 4.15876803526 8.79371135314 -11.5272821915 618.957212533 0.0 0.0 4.10742091488 64.9173378807 -11.9106706634 605.376428417
1203293975 676.934622509 221.904402136 4.16052750476 8.8168742079 -11.5380015781 619.314515558 0.0 0.0 4.11202281722 64.8994269467 -11.9158225147 605.188201214
1203297976 677.237520199 221.740571272 4.1626222568 8.83149134284 -11.5363285471 619.58645516 0.0 0.0 4.11085027701 64.8677557878 -11.8956086169 604.858597307
1203301976 677.257938842 220.987685822 4.1634775837 8.84353966652 -11.5311776046 619.94353413 0.0 0.0 4.11341800061 64.8099586168 -11.8626014724 604.317465154
1203305976 678.39920131 220.178372012 4.16758792704 8.85659574159 -11.5364575937 620.0770729 0.0 0.0 4.11501898429 64.7845641307 -11.8607111661 604.042640879
1203309977 679.718392699 219.432009562 4.16832927296 8.86434511108 -11.5370554498 619.920984134 0.0 0.0 4.12118694312 64.7716497226 -11.8599274975 603.909452371
1203313977 680.570629235 218.63163963 4.16892754244 8.87177516266 -11.5249893758 619.703575135 0.0 0.0 4.12304300347 64.7644119831 -11.8504218088 603.842663688
1203317977 680.716669762 218.082813708 4.17428629277 8.87102661241 -11.5236021905 619.267370523 0.0 0.0 4.12366590739 64.7888603476 -11.8516584141 604.04050146
1203321977 680.715967044 218.241366553 4.17581555944 8.86953727558 -11.5269716096 618.75255052 0.0 0.0 4.12584492252 64.7839327837 -11.8839654249 603.996391347
1203325978 680.334222871 218.890825113 4.17339577456 8.86753329291 -11.5306436834 618.299884665 0.0 0.0 4.12927944074 64.7987010483 -11.8952952092 604.163297979
1203329978 680.927037853 219.303657325 4.17033414548 8.8673444021 -11.5247674692 617.878035336 0.0 0.0 4.13308290159 64.853762103 -11.9105276844 604.764169702
1203333978 680.185964801 220.273671052 4.17013197062 8.8707867217 -11.5242812755 617.676486355 0.0 0.0 4.13501819933 64.8924711428 -11.9179340956 605.17755163
1203337979 680.57495184 221.305799353 4.17288028857 8.87159268351 -11.5266886407 617.523078969 0.0 0.0 4.13657131644 64.9307224769 -11.9354581819 605.516127783
1203341979 679.480493964 222.814067978 4.1744483857 8.88426489658 -11.5309125122 617.741495278 0.0 0.0 4.14153751503 64.9521155914 -11.9441262629 605.750340832
1203345979 678.865209617 223.08293443 4.17216049531 8.89345880239 -11.5225296577 617.926163902 0.0 0.0 4.14342008024 64.9757383959 -11.9417840498 606.005548342
1203349980 677.67798747 224.331235941 4.17306898255 8.87941500047 -11.516660181 617.75208533 0.0 0.0 4.14395630197 64.9854094488 -11.9454501249 606.17205811
1203353980 676.014390844 225.619369467 4.17224062437 8.87077838746 -11.503512304 617.379123126 0.0 0.0 4.14377450681 64.9835685233 -11.9453892981 606.242999522
