t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
7885067954.0,13.9898906481,0.0,7885071040,628.663397561,514.449141379,612.749703319,517.668990927,620.70655044,516.059066153,653.9898906481,512.0,25.444636872733152,33.5299381663992,41.62800150223003,0.0,0.0,0.0,-1,0,-1,0,-1,0,-1,-1,-1
7885083002,22.1411424157,0,7885083041,626.486318068,514.455304775,613.177784502,520.392010228,619.832051285,517.4236575015,662.1411424157,512.0,35.73926441329579,42.65530744232713,49.67732132323501,0.0001814089007073034,0.00013505195927804246,0.0002296860995527642,-1,0,-1,0,-1,0,-1,-1,-1
7885101029,28.549774657,0,7885103044,628.040793435,514.670232048,615.521912068,523.970309845,621.7813527515,519.3202709464999,668.549774657,512.0,40.596892723883606,47.337845897981246,54.36214242046723,7.84513987966487e-05,0.00013596599014657589,0.00021385552179562287,-1,0,-1,0,-1,0,-1,-1,-1
7885115996,36.6092964878,0,7885119046,628.961540036,513.954352433,615.619576962,516.374031533,622.290558499,515.164191983,676.6092964878,512.0,47.687820125503954,54.41082068487096,61.14636571119679,7.288469933564755e-05,0.0002616645977193962,0.0004747472892072684,-1,0,-1,0,-1,0,-1,-1,-1
7885134064,43.1653696463,0,7885135049,629.851342856,513.687094534,616.058709649,513.27676465,622.9550262524999,513.481929592,683.1653696463,512.0,53.340713723791474,60.22857765973695,67.11880469707957,5.805615018871381e-05,0.00011302477727209714,0.00019547848927371466,-1,0,-1,0,-1,0,-1,-1,-1
7885149073,50.7813223962,0,7885151051,629.247049913,515.600979788,615.342635107,511.459154015,622.2948425100001,513.5300669015,690.7813223962,512.0,61.63954692784727,68.50356948310021,75.44062602005107,0.0001254230323548728,4.136585317223394e-05,0.0001220834312449176,-1,0,-1,0,-1,0,-1,-1,-1
7885167048,57.7522990307,0,7885167053,629.247889689,516.7026787359999,613.363109664,515.293137845,621.3054996765,515.9979082904999,697.7522990307,512.0,68.66563395578041,76.55126649638507,84.45341934365308,6.884759830407328e-05,0.00016615214971283358,0.0002696445821333456,-1,0,-1,0,-1,0,-1,-1,-1
7885182102,65.5382512827,0,7885183055,630.331097917,515.707348444,611.117064799,517.707899603,620.7240813579999,516.7076240235,705.5382512827,512.0,75.29847508321238,84.94471816400672,94.59355461588058,9.192986353370553e-05,5.733445211693841e-05,0.00020608964832194906,-1,0,-1,0,-1,0,-1,-1,-1
7885200077,72.3599175038,0,7885203058,650.676308601,515.369532243,632.7993083709999,520.2227996290001,641.737808486,517.7961659360001,712.3599175038,512.0,61.775572476588295,70.85956408050848,79.9844044756281,0.0010172481666104937,0.0010519373230976708,0.001091216645867513,-1,0,-1,0,-1,0,-1,-1,-1
7885215093,79.9955622783,0,7885219060,657.047908187,518.925634328,639.321969556,521.226787394,648.1849388715,520.0762108609999,719.9955622783,512.0,63.32749455365444,72.26334351484566,81.19952073958079,0.00045599237175286906,0.0004273483202936148,0.0004124157780151511,-1,0,-1,0,-1,0,-1,-1,-1
7885233158,86.9537017073,0,7885235063,661.464873632,520.824265891,645.108237095,516.729216884,653.2865553634999,518.7767413875,726.9537017073,512.0,66.08066488157691,73.9781905312093,81.9819832032572,0.0003004275605348034,0.00032897046730248793,0.00045795442467922034,-1,0,-1,0,-1,0,-1,-1,-1
7885251123,94.5841118921,0,7885255065,665.922573523,520.108770414,649.769214185,514.772811059,657.845893854,517.4407907365,734.5841118921,512.0,69.13869400587751,76.93085409314892,84.8602106657458,0.00022571523044989327,0.0002375279868963853,0.0002527208020020623,-1,0,-1,0,-1,0,-1,-1,-1
7885266190,101.554340728,0,7885267064,667.581273556,519.270613443,655.241495288,514.650432716,661.411384422,516.9605230795,741.5543407279999,512.0,74.32951289138627,80.2963276538079,86.35352964141859,0.00015488276506457957,0.0002998325633738366,0.0004561754583411814,-1,0,-1,0,-1,0,-1,-1,-1
7885284155,108.86020641,0,7885287064,672.374860243,519.769978758,658.5324573409999,514.110104345,665.4536587919999,516.9400415514999,748.86020641,512.0,76.87900069710578,83.55271507308584,90.35239228830102,0.00024097634242602477,0.0002021163128952479,0.00016675120676319717,-1,0,-1,0,-1,0,-1,-1,-1
7885299171,116.163080899,0,7885303064,676.397397377,517.408366636,655.388055408,516.009383027,665.8927263925,516.7088748315,756.163080899,512.0,79.9488254910681,90.39308825849417,100.85475157358172,0.0002915343087200551,3.101275003957436e-05,0.00022959307606878001,-1,0,-1,0,-1,0,-1,-1,-1
7885317237,123.781650944,0,7885319065,689.702724942,513.3735808519999,707.061277777,524.128258335,698.3820013595,518.7509195934999,763.781650944,512.0,74.09165946290304,65.74716025147622,58.00254634448592,0.0008689232657593762,0.00203445946612487,0.0032689926257752407,-1,0,-1,0,-1,0,-1,-1,-1
7885335208,130.75512024,0,7885339065,745.524778788,512.15613708,730.952930595,530.388902422,738.2388546915,521.272519751,770.75512024,512.0,25.23082457178635,33.81252944920347,43.84479482016517,0.002791766405398077,0.0019968269985672677,0.0012349157246143716,-1,0,-1,0,-1,0,-1,-1,-1
7885350257,138.382040699,0,7885351066,754.672753807,512.339054896,736.78565126,534.09464472,745.7292025335,523.216849808,778.382040699,512.0,23.711711097043704,34.52572316226785,47.10024352021942,0.00076242009812972,0.0006448285218716479,0.0005758158371103556,-1,0,-1,0,-1,0,-1,-1,-1
7885365315,145.354762197,0,7885367066,763.253537517,513.129049404,744.924804734,536.351861577,754.0891711254999,524.7404554905,785.354762197,512.0,22.130044846599787,33.761759301844464,47.19740059288608,0.0005385670382499673,0.0005311045725028909,0.0005278969448909486,-1,0,-1,0,-1,0,-1,-1,-1
7885383251,152.688794951,0,7885387067,771.080608093,511.776933465,750.302671626,537.69014539,760.6916398595,524.7335394275,792.688794951,512.0,21.609338212200733,34.43778390519922,49.56376721639957,0.00039713015077618406,0.0003301071124581313,0.00027708024495147975,-1,0,-1,0,-1,0,-1,-1,-1
7885401317,159.956896815,0,7885403068,777.575167688,514.071707759,756.092963417,537.83866048,766.8340655525001,525.9551841195,799.9568968149999,512.0,22.47740580567728,35.942580801233284,50.90855555351079,0.00043047649511040293,0.0003913962729814648,0.00036198963241604185,-1,0,-1,0,-1,0,-1,-1,-1
7885416283,168.183800853,0,7885419068,782.395232041,514.0114285330001,759.5516334519999,537.847245156,770.9734327465,525.9293368445001,808.183800853,512.0,25.866892471161275,39.732076708231375,55.07420256593162,0.00030127757882155896,0.0002587154932334222,0.0002161675430553288,-1,0,-1,0,-1,0,-1,-1,-1
7885434354,174.555541707,0,7885435069,790.732636191,512.734444179,769.721169863,538.393644774,780.226903027,525.5640444764999,814.555541707,512.0,23.834224037638073,36.91122777939601,52.02639121736347,0.0005271314802772268,0.0005787561815689464,0.000636473008006188,-1,0,-1,0,-1,0,-1,-1,-1
7885449360,182.187447489,0,7885451070,794.150688619,512.8212682340001,773.591817523,535.372198091,783.871253071,524.0967331625,822.1874474890001,512.0,28.048784812299907,40.18036470569562,53.923973290154954,0.00021368383137451648,0.0002455252710233033,0.0003068746166426619,-1,0,-1,0,-1,0,-1,-1,-1
7885467337,189.167023805,0,7885471070,804.700616069,512.92532981,784.794106088,536.287785861,794.7473610785,524.6065578355,829.167023805,512.0,24.483899664095148,36.655674631164764,50.58510026430153,0.000527522032743329,0.0005444025316528362,0.0005619821395251441,-1,0,-1,0,-1,0,-1,-1,-1
7885482396,197.095057752,0,7885483071,806.92031633,514.335438433,788.0008374439999,538.274855369,797.4605768869999,526.305146901,837.095057752,512.0,30.26498459538509,42.13703004837014,55.68312574121819,0.00021912583811933855,0.0002667322479198413,0.00031434676079373147,-1,0,-1,0,-1,0,-1,-1,-1
7885500366,203.776137876,0,7885503071,815.730459095,514.660073095,796.0664152769999,540.685959237,805.8984371859999,527.673016166,843.776137876,512.0,28.17154747538332,40.99223884226052,55.6695777585961,0.0004408060888969607,0.0004274007275133391,0.0004209126026934341,-1,0,-1,0,-1,0,-1,-1,-1
7885515375,211.587639906,0,7885519072,823.109403779,514.896645847,803.9698274860001,537.95796977,813.5396156325,526.4273078085,851.587639906,512.0,28.62517231508159,40.69151461567941,54.23349752917042,0.00046139216498261636,0.00048384812328841826,0.0005225280856132667,-1,0,-1,0,-1,0,-1,-1,-1
7885533446,218.362693361,0,7885535072,831.370318136,516.157106306,811.4672875839999,535.607914902,821.4188028599999,525.8825106039999,858.362693361,512.0,27.31061795578003,39.466126564689006,52.50250212141858,0.0005222826498529975,0.0004936249658142407,0.0004910713169140932,-1,0,-1,0,-1,0,-1,-1,-1
7885548411,226.099290918,0,7885551073,837.088152309,515.37487514,819.53180224,534.686174774,828.3099772744999,525.030524957,866.099290918,512.0,29.20677910350952,39.97282584834122,51.799551423271275,0.00036067076414614914,0.00043395050367674084,0.0005072819979829392,-1,0,-1,0,-1,0,-1,-1,-1
7885566475,232.96283385,0,7885567073,842.210286207,513.751713752,825.62621155,535.3985035219999,833.9182488785,524.575108637,872.96283385,512.0,30.802397432731354,41.01966568402331,52.80384245338501,0.0003358228499738949,0.00035167075782498793,0.0003834935884152815,-1,0,-1,0,-1,0,-1,-1,-1
7885584446,240.592122338,0,7885587074,851.552012081,511.913203894,835.1382063660001,536.046533959,843.3451092235,523.9798689265,880.592122338,512.0,29.04023996634203,39.126170850823776,51.42270191881179,0.0004760223122046376,0.00047225809931002714,0.00047667834991138884,-1,0,-1,0,-1,0,-1,-1,-1
7885599459,247.573692783,0,7885603075,860.812242732,513.278434701,838.981408678,534.5138682180001,849.896825705,523.8961514595001,887.573692783,512.0,26.791969022766672,39.51031172188654,53.55449875293865,0.0005849838937650045,0.00040949011488194395,0.0002585803231156231,-1,0,-1,0,-1,0,-1,-1,-1
7885617516,255.1895209,0,7885619075,868.002491502,510.68842561699995,849.63178978,530.766588849,858.8171406409999,520.727507233,895.1895209,512.0,27.218647924719935,37.404804881289905,49.27161172348266,0.0004776563243363127,0.0005916486657781087,0.0007056488600017483,-1,0,-1,0,-1,0,-1,-1,-1
7885632495,262.161993131,0,7885635076,875.901401798,510.857636797,856.9859381069999,532.6935423680001,866.4436699524999,521.7755895825001,902.1619931309999,512.0,26.285426586730452,37.0318884526465,49.69002559133673,0.0004937642970323142,0.00048110801006668067,0.0004751209696957063,-1,0,-1,0,-1,0,-1,-1,-1
7885650562,269.794646711,0,7885651077,882.687220629,510.446736961,863.223696958,531.014192236,872.9554587934999,520.7304645985,909.794646711,512.0,27.151890815547663,37.85956653907369,50.30301051909335,0.0004248639460625494,0.00041216958211438116,0.0004037163134482035,-1,0,-1,0,-1,0,-1,-1,-1
7885665574,276.768988439,0,7885667077,889.640296481,513.285508709,870.5241031769999,532.511865383,880.0821998289999,522.8986870460001,916.7689884389999,512.0,27.159132165681623,38.271423253407704,50.589781916765276,0.0004693907655512679,0.00046557938689723445,0.0004657778935959906,-1,0,-1,0,-1,0,-1,-1,-1
7885683540,284.077596048,0,7885687076,897.934391064,514.147204418,878.980805907,530.563248143,888.4575984855,522.3552262805,924.077596048,512.0,26.23123431423173,37.09467532777272,48.76796758775161,0.0004169576669778494,0.0004196715890208709,0.0004339368101161837,-1,0,-1,0,-1,0,-1,-1,-1
7885701608,291.377479343,0,7885703076,919.522346249,515.9023417440001,899.07968339,529.710816204,909.3010148195,522.8065789740001,931.377479343,512.0,12.48088345284182,24.579512504902457,36.835046274349814,0.0013536990931429815,0.0013030189161352221,0.0012573091248762806,-1,0,-1,0,-1,0,-1,-1,-1
7885716572,298.993930625,0,7885719075,929.468052853,515.615828588,904.2673054910001,527.7206239369999,916.8676791720001,521.6682262625,938.9939306250001,512.0,10.18904135357605,24.146337246553127,38.11924068191721,0.000621903409206177,0.0004782682619822928,0.00034728943553222625,-1,0,-1,0,-1,0,-1,-1,-1
7885734646,305.969020151,0,7885735074,939.447921127,514.448753106,914.196418527,530.697856575,926.8221698269999,522.5733048405,945.969020151,512.0,6.965710606604241,21.87228046134655,36.86608271103233,0.000628031576105153,0.0006247610214526325,0.0006479071853189748,-1,0,-1,0,-1,0,-1,-1,-1
7885749661,313.594943546,0,7885751073,942.579089303,514.3669837809999,916.43258553,531.817263236,929.5058374165001,523.0921235085,953.594943546,512.0,11.267282588208042,26.52018548287563,42.116086896508754,0.00019577696619848306,0.0001708455366689936,0.00015630368953271462,-1,0,-1,0,-1,0,-1,-1,-1
7885767628,320.569659173,0,7885771072,952.065002929,514.217113463,925.023317918,530.677515716,938.5441604235,522.4473145895,960.569659173,512.0,8.788900382665965,24.377632725435138,40.15460085641923,0.00047437859250042233,0.00045308738848830817,0.00043332210278729363,-1,0,-1,0,-1,0,-1,-1,-1
7885782678,328.682025424,0,7885783071,957.3855399,512.479553655,930.754950562,527.75972939,944.070245231,520.1196415224999,968.682025424,512.0,11.306659847274315,25.916564253821452,41.07106132100538,0.00046646163355616683,0.0004997337386063541,0.0005360088155723462,-1,0,-1,0,-1,0,-1,-1,-1
7885800707,335.181265904,0,7885803070,965.49483982,511.057117353,937.086305804,526.3028594919999,951.2905728119999,518.6799884225,975.181265904,512.0,9.732208278022481,24.80700428791987,40.691495114685715,0.00041167599256331617,0.00036814111562348404,0.00032485670021408766,-1,0,-1,0,-1,0,-1,-1,-1
7885815674,342.79871425,0,7885819068,969.009741658,509.539525101,944.152502104,526.010755721,956.581121881,517.7751404109999,982.79871425,512.0,14.006773428292991,26.846124420366785,41.107553917828476,0.00023931286943845937,0.0003355025550089422,0.00044206971143987594,-1,0,-1,0,-1,0,-1,-1,-1
7885833738,349.773055978,0,7885835067,978.000551425,508.066319465,951.483542135,528.377253422,964.74204678,518.2217864434999,989.773055978,512.0,12.412320733925752,25.792674309169254,41.644943270242294,0.000569454823265437,0.0005108530652398711,0.00048150106299320116,-1,0,-1,0,-1,0,-1,-1,-1
7885848747,357.405086393,0,7885851066,984.004584681,507.80325244,958.244511098,525.604044917,971.1245478895,516.7036486785,997.405086393,512.0,14.042298110198319,26.698146282554916,41.456250379636636,0.00037563557974147936,0.000410061177426771,0.00045675512504840597,-1,0,-1,0,-1,0,-1,-1,-1
7885866762,364.376436927,0,7885867064,990.336479385,506.476908972,967.3559656089999,522.960325378,978.8462224969999,514.718617175,1004.376436927,512.0,15.087244356897571,25.674554099068416,38.608859462544316,0.0004043829332644107,0.000498358645589632,0.0005930270680835106,-1,0,-1,0,-1,0,-1,-1,-1
7885881781,371.670213202,0,7885883061,995.800402878,508.161965581,974.8612383980001,521.592586072,985.330820638,514.8772758265,1011.670213202,512.0,16.327320292110585,26.496081159716077,38.038379745596835,0.0003574330103611263,0.0004054847034495966,0.0004768945012505856,-1,0,-1,0,-1,0,-1,-1,-1
7885899758,378.980565674,0,7885903058,1002.17970692,508.94550989999993,984.7608827360001,519.583704233,993.4702948280001,514.2646070665,1018.980565674,512.0,17.076263193183056,25.610590852261005,35.04995392680087,0.00032141039726332895,0.0004081862182823827,0.000505146470640495,-1,0,-1,0,-1,0,-1,-1,-1
7885917823,386.799421055,0,7885919056,1006.84397746,508.553006115,992.279805301,519.331572315,999.5618913805,513.9422892150001,1026.799421055,512.0,20.250962839244327,27.30669350477965,35.28959938018398,0.00029258383740052795,0.0003813050265604118,0.00047025557852287564,-1,0,-1,0,-1,0,-1,-1,-1
7885932886,393.904876768,0,7885935053,1013.70736433,508.370162578,998.191309995,519.313290319,1005.9493371625,513.8417264485,1033.9048767680001,512.0,20.52109228070768,28.016140900305853,36.4546714007892,0.0004291943459842311,0.0003993397108058788,0.00036954009898738607,-1,0,-1,0,-1,0,-1,-1,-1
7885950844,401.208997586,0,7885951051,1021.67385909,508.144061865,1004.22959478,518.749986644,1012.9517269349999,513.4470242545001,1041.208997586,512.0,19.912054011549035,28.294296666236068,37.59040504680117,0.0004981686865700869,0.0004383988621926217,0.0003790788096647891,-1,0,-1,0,-1,0,-1,-1,-1
