t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,sacc_l,sacc_m,sacc_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
6984725454.0,7.30057341201,0.0,6984727458,656.967843886,512.989396009,625.993739525,521.282485211,641.4807917055,517.13594061,647.30057341201,512.0,9.717768410489324,7.76194209337299,23.241034873281098,0.0,0.0,0.0,0,0,0,1,0,-1,0,-1,0,1,-1,-1
6984740431,14.1482879445,0,6984743458,656.510164611,511.33296962300005,626.100313123,522.499409335,641.305238867,516.916189479,654.1482879445,512.0,2.454259748192426,13.751830009148042,29.948730991001675,0.00010740582159140029,1.7578991221015813e-05,7.634886662560848e-05,0,0,0,1,0,-1,0,-1,0,1,-1,-1
6984758486,21.4232446263,0,6984759457,656.174683305,509.82908192699995,625.258364075,525.369018698,640.71652369,517.5990503124999,661.4232446263,512.0,5.679813484888724,21.450353291629177,38.55683138222414,9.630929007710238e-05,5.6353588562973444e-05,0.00018692259158281318,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6984776469,28.7150267722,0,6984779460,654.704515694,507.719623901,625.67801799,522.069978336,640.191266842,514.8948011185,668.7150267722,512.0,14.649779528076616,28.670276491016786,44.19941841932618,0.00012854204615869703,0.000137718756113933,0.00016625627455715868,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6984791476,36.3716099016,0,6984795462,655.701416196,508.873331437,629.6307093730001,522.278320559,642.6660627845,515.575825998,676.3716099016,512.0,20.90533338958934,33.894696311237524,47.85766036631998,9.528474156335818e-05,0.00016040431154867917,0.00024735522589843195,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6984809569,43.3172860235,0,6984811464,656.059356068,513.570123698,631.529054858,521.147060615,643.794205463,517.3585921565,683.3172860235,512.0,27.303113996135302,39.884688877957544,52.58982415967698,0.00029436393649738947,0.00013184165080813088,0.00013809875321939722,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6984824510,50.9484440074,0,6984827466,654.510288127,516.297541201,631.731093246,515.34273504,643.1206906865,515.8201381204999,690.9484440074,512.0,36.69070814714023,47.98007339494759,59.31162203772818,0.00019601457393773056,0.0001049508439902535,0.0003629446826285779,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6984842569,57.9185482103,0,6984843468,650.384335223,520.176882577,631.363476105,510.942605198,640.873905664,515.5597438875,697.9185482103,512.0,48.23238344722394,57.1556035728758,66.56347126396706,0.0003539109626425382,0.0001413463356724037,0.0002759317442159073,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6984857583,65.5484598639,0,6984859470,645.152908841,526.273140756,632.5490584319999,513.481485445,638.8509836364999,519.8773131005,705.5484598639,512.0,62.0592066530044,67.16104076611612,73.01443287829771,0.0005020117954653641,0.00029796140099414036,0.00017510661764569686,1,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6984877576,72.5186886997,0,6984879473,646.205499332,524.591673245,636.192892956,522.766377208,641.199196144,523.6790252265,712.5186886997,512.0,67.49806900367814,72.26942402319095,77.08139836623323,9.917282155346772e-05,0.00022338939255113043,0.0004986404159798084,0,0,1,-1,0,-1,0,-1,0,-1,-1,-1
6984889613,80.1518408127,0,6984891475,653.221374136,520.573443269,635.767300559,525.573581908,644.4943373475,523.0735125885001,720.1518408127,512.0,67.47733915210063,76.4635894503679,85.46925037486587,0.0006736451799232555,0.0002791462742210512,0.0002365674764561837,1,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6984907616,87.1241884109,0,6984911477,660.164354282,513.804759486,632.777709021,526.0878289980001,646.4710316515,519.946294242,727.1241884109,512.0,66.98415143429166,81.04366284563405,95.39247925882697,0.0004847712147795352,0.00018495998219689551,0.00015165971357082995,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6984925662,94.7528537333,0,6984927480,660.676293043,510.829094848,630.641748144,526.68415949,645.6590205934999,518.756627169,734.7528537333,512.0,74.08581417909015,89.34966767841614,105.1415562323201,0.000188675932758025,9.00063348576591e-05,0.00013857668250639267,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6984940623,101.727320094,0,6984943482,657.80075583,511.683370066,632.024805096,528.633408796,644.912780463,520.158389431,741.727320094,512.0,83.92716153709974,97.15767803972223,110.95635216183551,0.00018746094601681038,9.92389287902431e-05,0.0001493605059952358,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6984958680,109.027577288,0,6984959484,660.285842803,511.810454432,636.05430644,524.724924412,648.1700746215,518.267689422,749.027577288,512.0,88.74193691219826,101.05206467368043,113.68765820170047,0.0001555014574605641,0.00023536180796383273,0.00035080963529577426,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6984973714,116.323347692,0,6984975485,745.224202032,514.2344202219999,730.114447412,517.835142678,737.669324722,516.03478145,756.323347692,512.0,11.321822649661074,19.08538797914646,26.850611612393475,0.005310476825494388,0.0055950940608633735,0.0058941401875215816,1,1,1,-1,0,-1,0,-1,0,-1,-1,-1
6984991665,123.95998953,0,6984995487,735.645804475,526.256546328,719.513701225,515.0210077969999,727.57975285,520.6387770624999,763.95998953,512.0,31.70082315226529,37.39184523433413,44.54883873010293,0.0007684887239132245,0.0005544628946159,0.0005483409510128283,1,1,1,-1,0,-1,0,-1,0,-1,-1,-1
6985009730,130.928224238,0,6985011488,746.937765441,529.855630494,728.0626137239999,514.2743916530001,737.5001895825,522.0650110735,770.928224238,512.0,29.90594679372009,34.910427508682695,42.925906188794556,0.0007406823111102589,0.0006263630556748109,0.0005363073114675096,1,1,1,-1,0,-1,0,-1,0,-1,-1,-1
6985024698,138.556764927,0,6985027488,755.756249731,528.715809996,735.4143433999999,521.21705754,745.5852965654999,524.966433768,778.556764927,512.0,28.271572241836832,35.42945286867035,44.11601392815352,0.0005557401312827047,0.000536871757043152,0.0006319876224049138,1,1,1,-1,0,-1,0,-1,0,-1,-1,-1
6985039713,145.524501102,0,6985043489,763.882254881,522.84969518,744.0968094689999,522.682151064,753.989532175,522.765923122,785.524501102,512.0,24.209558174186117,33.322055247173324,42.78272998995112,0.0006263445178843635,0.000542937575506568,0.0005502912067054302,1,1,1,-1,0,-1,0,-1,0,-1,-1,-1
6985057775,152.832859445,0,6985059490,766.74134431,515.868107365,745.154171594,524.555143567,755.9477579520001,520.211625466,792.8328594449999,512.0,26.376683199885004,37.788113275774435,49.30404552550501,0.0004714913458097704,0.0002011470033892288,0.00013441914056179407,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6985075747,160.136855632,0,6985079491,770.003501616,514.5663861090001,749.871344451,520.1471676880001,759.9374230335001,517.3567768985001,800.136855632,512.0,30.24244305465491,40.55477086585058,50.9214881520918,0.00017560548820491688,0.0002452813752999329,0.0003227917410194432,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
6985090826,167.75804297,0,6985091492,776.391246501,513.443487517,756.024895237,516.699683023,766.208070869,515.07158527,807.75804297,512.0,31.399993263365563,41.66335101338775,51.946179791021,0.0005404292027737596,0.000556125623607516,0.0005877395902596203,1,1,1,-1,0,-1,0,-1,0,-1,-1,-1
