t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y
10321218266,131.524432352,0,10321219079,754.029838055,528.135002685,739.625970119,504.020170403,746.827904087,516.077586544,771.524432352,512.0,23.79914160766267,25.030885329283766,32.881447249585584,2.9069105224389004e-08,2.7955592010793315e-08,2.7729677976604938e-08,-1,0,-1,0,-1,0
10321233267,138.833514817,0,10321235073,762.265188938,526.210091095,743.595355,508.627862807,752.930271969,517.418976951,778.833514817,512.0,21.827416506791188,26.464000098963343,35.3991414660984,3.3061203788162175e-08,2.4424789600522422e-08,2.377439444896512e-08,-1,0,-1,0,-1,0
10321251295,145.832729644,0,10321255066,768.244400828,520.617839744,744.896096792,509.882564595,756.5702488100001,515.2502021695,785.832729644,512.0,19.586129591958684,29.44242854628053,40.99135813746348,2.048141934023551e-08,1.0600168537980089e-08,4.521326186993593e-09,-1,0,-1,0,-1,0
10321266283,153.089816177,0,10321267065,773.578297219,522.548908537,746.979311555,509.524030947,760.278804387,516.036469742,793.089816177,512.0,22.180596100429426,33.05836630357885,46.176932111682106,3.940028712359415e-08,2.6330704033185246e-08,1.4681908705996048e-08,-1,0,-1,0,-1,0
10321284320,160.379786621,0,10321287063,781.994572985,529.565567008,754.029349592,510.777173624,768.0119612885001,520.171370316,800.379786621,512.0,25.427646858368533,33.383340300162146,46.366564646576236,2.7399273799076764e-08,2.1927420869612788e-08,1.790494299446188e-08,-1,0,-1,0,-1,0
10321299309,167.676361953,0,10321303062,789.993513747,531.108915409,763.420263148,509.462832389,776.7068884475,520.2858738990001,807.676361953,512.0,26.035240901223794,32.058758483104064,44.32876606588804,3.182612757168404e-08,3.397175053819114e-08,3.7045428662249007e-08,-1,0,-1,0,-1,0
10321317325,174.983617548,0,10321319060,794.580970952,526.644584341,773.00502622,506.126305328,783.7929985860001,516.3854448345,814.983617548,512.0,25.11437513938844,31.49741001462044,42.387526691033976,2.501083426251619e-08,3.1604200474978365e-08,3.965403903644553e-08,-1,0,-1,0,-1,0
10321332336,182.302115495,0,10321335057,801.779907948,515.628677555,781.563329808,508.063323871,791.671618878,511.84600071299997,822.302115495,512.0,20.84054470018248,30.63088374148617,40.92854844965732,5.1423943553823436e-08,3.5532115995865745e-08,3.428930539829712e-08,-1,0,-1,0,-1,0
10321350342,189.606560496,0,10321351054,808.022259693,509.41508408,790.463654879,512.32869043,799.2429572860001,510.87188725500005,829.6065604959999,512.0,21.738533332951693,30.384552625631066,39.144285630729485,3.44180102548656e-08,2.98305016913923e-08,3.856761303487896e-08,-1,0,-1,0,-1,0
10321365352,196.890628695,0,10321367051,820.158149656,512.732101071,798.251783961,504.34612165,809.2049668085,508.5391113605,836.890628695,512.0,16.748487297924417,27.90114019656941,39.38962015778726,4.9163100111723726e-08,3.9981766650577934e-08,4.358046198847938e-08,-1,0,-1,0,-1,0
10321383385,204.183409758,0,10321387047,834.711154402,521.462337147,813.622252948,489.55827224,824.166703675,505.51030469349996,844.183409758,512.0,13.388780594690703,21.04244918217504,37.91589970473294,4.244389604995785e-08,3.8178344232083464e-08,5.334416173211606e-08,-1,0,-1,0,-1,0
10321401394,211.484622554,0,10321403044,842.384516789,523.623877943,820.537775558,483.956932365,831.4611461735001,503.79040515400004,851.484622554,512.0,14.762332585602728,21.64109641159401,41.7626744997853,3.115229742547611e-08,2.9286219612515172e-08,3.477635210530122e-08,-1,0,-1,0,-1,0
10321416403,218.785694847,0,10321419041,848.494460476,521.992669285,827.125762533,484.326044498,837.8101115045,503.1593568915,858.7856948470001,512.0,14.344439491253627,22.762514516854978,42.049959895982525,2.4712168067614243e-08,2.493219800147018e-08,2.5784352566516047e-08,-1,0,-1,0,-1,0
10321434406,226.104473851,0,10321435038,854.687819913,520.68899931,834.196267779,491.502606077,844.4420438459999,506.0958026935,866.104473851,512.0,14.347079708053148,22.452626117129544,37.924619607424596,2.4732243358420894e-08,2.8342451734776774e-08,3.9368186247109883e-08,-1,0,-1,0,-1,0
10321449411,233.409340438,0,10321451035,862.487556931,523.292206895,843.67528294,498.647933497,853.0814199355,510.97007019600005,873.409340438,512.0,15.70984696084795,20.353994874646265,32.59435311821517,3.213192080747203e-08,3.8762743518822525e-08,4.6386313730484264e-08,-1,0,-1,0,-1,0
10321469390,240.689895425,0,10321471035,866.933027337,524.640962888,854.176828623,505.108959326,860.55492798,514.874961107,880.689895425,512.0,18.682755747652077,20.33918177749473,27.393961977378122,1.1613932866194405e-08,2.108042568326368e-08,3.082483946583718e-08,-1,0,-1,0,-1,0
10321482434,248.334281407,0,10321483035,872.139029601,526.215576231,861.51876341,507.861755918,866.8288965055,517.0386660745,888.3342814069999,512.0,21.54921781965921,22.087773440797054,27.132951729025624,3.777028798349321e-08,4.608741664762493e-08,5.445166100374821e-08,-1,0,-1,0,-1,0
10321500446,255.286418797,0,10321503036,884.117226205,525.609474186,868.294460695,512.181579611,876.20584345,518.8955268985001,895.286418797,512.0,17.60592658102921,20.28833770372732,26.992568853950434,2.9980805136169e-08,2.3895186935683048e-08,2.008700417256534e-08,-1,0,-1,0,-1,0
10321515466,262.928134712,0,10321519036,892.92649466,525.201701252,871.543398503,511.690062642,882.2349465815,518.445881947,902.928134712,512.0,16.56253965057379,21.67388818553155,31.386266552019134,3.444805125754627e-08,2.3616589587008755e-08,1.2835574812204195e-08,-1,0,-1,0,-1,0
10321533486,269.922290464,0,10321535042,902.839138171,524.430118232,875.452155634,510.510849739,889.1456469025,517.4704839855,909.9222904640001,512.0,14.30660286956106,21.484764665158337,34.502286354649364,3.880927628248183e-08,2.7242049931135622e-08,1.5936324929290403e-08,-1,0,-1,0,-1,0
10321551491,277.221114276,0,10321555048,912.537295051,524.257418605,883.894862136,507.888469717,898.2160785935,516.072944161,917.221114276,512.0,13.121831937297456,19.436570053168357,33.578918430570056,2.4234693077372075e-08,2.292990042521184e-08,2.2088239652725742e-08,-1,0,-1,0,-1,0
10321566488,284.530337295,0,10321567052,917.433198303,523.131328862,892.452606942,505.360126726,904.9429026225,514.245727794,924.530337295,512.0,13.201358418956774,19.715752341064697,32.75772735851126,3.4863825280319215e-08,4.837449852683914e-08,6.192693793848216e-08,-1,0,-1,0,-1,0
10321584516,291.792904463,0,10321587059,927.584005185,518.685267566,900.768111856,497.512035368,914.1760585205,508.09865146699997,931.792904463,512.0,7.899850350567427,18.043663190652886,34.2408947821964,2.768512268100969e-08,2.7711190544300755e-08,2.8565416564332414e-08,-1,0,-1,0,-1,0
10321599514,299.094117285,0,10321603064,934.914154669,516.148058147,905.478320262,490.598986215,920.1962374655,503.373522181,939.094117285,512.0,5.888843168403365,20.773684825614527,39.85003388351503,3.028121653114887e-08,2.987610900826853e-08,3.2656088732109456e-08,-1,0,-1,0,-1,0
10321617526,306.394346407,0,10321619070,940.416551132,516.973954889,911.936598682,485.858505755,926.176574907,501.416230322,946.3943464070001,512.0,7.776520017824153,22.82048345287991,43.25175256149879,2.17182153636722e-08,2.45616134472217e-08,3.127082632604044e-08,-1,0,-1,0,-1,0
