t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y
2660103661.0,12.0734175022,-12.0560730779,2660104028,627.001414434,505.035860997,624.769874286,530.00614298
2660121693,17.7044657633,-17.6499092581,2660124026,625.899325469,504.157677781,622.373895025,528.758612754
2660136688,23.9115623786,-23.7776617551,2660140023,625.332191222,502.782378558,621.414277271,528.885684586
2660154612,29.6087522946,-29.3556473506,2660156021,626.163493912,503.45901752,619.567506511,532.228225904
2660169589,35.9000951261,-35.4515954825,2660172019,625.094576602,503.322947571,618.701128712,535.611590122
2660187654,41.6797438536,-40.9823219678,2660188017,624.824195011,502.924132825,619.975646725,536.012385536
2660205614,48.0764922598,-47.0146891286,2660208016,625.694458023,502.184419786,623.659979898,533.255043685
2660220634,53.984303392,-52.4933611595,2660224021,625.693369736,504.097034752,624.145986611,532.584534306
2660237649,60.5190585045,-58.4395167824,2660240028,624.807678349,503.155278881,623.712778714,534.630747804
2660255589,66.5653892175,-63.8260519068,2660256036,627.174330261,504.587900322,622.763339238,535.504029439
2660272528,73.2850293829,-69.6734363982,2660276045,629.029391983,505.89132607,627.182481452,533.730324428
2660288574,79.5101329597,-74.9524823764,2660292053,676.887519987,538.817956277,686.815004305,570.696525165
2660306649,86.4385921895,-80.6642435881,2660308061,698.996611677,622.914695364,708.972131785,637.429530854
2660321608,93.3686006111,-86.1977017855,2660324068,700.86007061,605.515268997,711.079344829,629.703067325
2660336619,100.058271945,-91.3631275628,2660340076,707.129177654,618.306469335,712.790309397,635.310233706
2660354469,106.720049268,-96.3304611548,2660356083,709.749952114,626.71476713,716.362205877,637.106148465
2660372442,114.171470575,-101.673288199,2660376093,711.189997977,631.551665429,716.809637613,641.149425803
2660387497,121.126281353,-106.453309874,2660388098,712.326550841,632.014627639,718.491620246,641.27354284
2660405471,128.87506216,-111.540709572,2660408108,718.07432988,628.755198738,720.560637414,643.981210824
2660420497,136.095212791,-116.052715178,2660424108,724.157736535,627.926157689,721.528107252,645.116718346
2660438040,144.186031384,-120.845172951,2660440095,729.570736899,627.824338023,726.74620201,647.176729043
2660455517,151.73082251,-125.061916031,2660456083,735.327059367,630.766185905,734.580465603,648.460045389
2660470516,160.176570421,-129.492481723,2660472070,739.565645102,637.255576757,739.619527359,649.799154742
2660488505,168.060117094,-133.351517383,2660492055,742.958344154,642.363202475,745.386107695,651.36772462
2660503566,176.877828217,-137.351189989,2660504045,744.503660334,643.246043957,748.707807554,651.792638384
2660521540,185.208388658,-140.822694069,2660524030,751.733711791,639.965489153,756.763948917,654.238577385
2660538036,194.307463381,-144.2733771,2660540017,762.823083876,639.064093669,765.315960266,656.918518087
2660555489,202.897139224,-147.203953022,2660556005,769.462241998,640.305716443,773.933637949,659.956106522
2660570500,212.464536622,-150.093807028,2660571992,772.582231834,643.240645449,783.201389768,662.580347589
2660588471,221.382702666,-152.431398481,2660591976,779.028643617,647.805788717,790.393021147,667.474055392
2660603486,231.353878172,-154.636187804,2660603967,787.247480147,650.422685325,795.840037031,670.456576619
2660621503,240.590471386,-156.290812876,2660623956,798.110496247,653.137154683,806.451129068,674.596329046
2660636516,250.859517537,-157.688191186,2660639962,810.58541351,655.075078276,817.263825584,677.097968156
2660654581,260.375453463,-158.561907326,2660655968,833.763123439,660.801385403,854.497795876,684.635092477
2660669550,270.935582555,-159.048661575,2660671974,861.835008604,674.079690496,881.15423537,691.562839495
2660687614,280.680054743,-159.037125542,2660687980,868.269492578,676.520528485,884.813918591,697.715112915
2660705580,291.410958446,-158.498070247,2660707987,880.427245444,678.320598374,894.186758608,699.721555927
2660720604,301.290322682,-157.497232228,2660723993,890.587692161,680.271287352,902.021881205,701.662208321
2660738157,312.116780817,-155.821038403,2660739999,897.411581276,683.015554275,911.659914629,703.566429915
2660755427,321.997052223,-153.736031855,2660756005,904.808680276,685.872558897,918.153572736,704.808025074
2660770443,332.771853883,-150.821014475,2660772011,910.865964466,685.153616267,930.851733201,704.994626053
2660788416,342.534379373,-147.561441846,2660792019,920.282051579,687.819731113,945.066546619,703.774713341
2660803433,353.061063224,-143.331652233,2660804023,926.888352743,688.945650288,950.168917774,702.990304936
2660821457,362.531944755,-138.830493846,2660824029,937.47223377,687.096874039,957.872508637,705.692469662
2660836460,372.602004693,-133.237525589,2660840029,943.781176712,684.110711048,967.67038969,705.042938208
2660854397,381.535478858,-127.487935219,2660856028,950.121568616,683.54364933,980.193223591,701.95961489
2660872370,390.941090914,-120.50745766,2660876028,957.15451276,683.414013631,992.538015608,698.336094516
2660887389,399.147600514,-113.501601005,2660888028,961.219242587,683.680932917,998.187499299,695.659175399
2660905405,407.617962294,-105.183400201,2660908027,968.964833107,682.878880232,1010.16318692,689.516062566
2660920422,414.847942076,-96.9963596425,2660924027,978.97818337,631.196988959,1021.54177441,646.649393986
2660937992,422.132367898,-87.4331497622,2660940026,999.810423112,587.689342269,1032.10725295,597.871387382
2660955456,428.149019983,-78.197119844,2660956026,1010.6264789,585.402275754,1046.73945648,600.665879827
2660970469,434.00871962,-67.5368238535,2660972026,1020.32937928,578.457650851,1052.99155702,588.523954744
2660988490,438.610812251,-57.4183952766,2660992025,1028.08344352,570.002607397,1061.16982063,580.813601454
2661003549,442.801576818,-45.9521851059,2661004025,1031.45080115,566.556565085,1063.39547596,577.657822751
2661021521,445.826641819,-35.1552471039,2661024025,1033.52675112,563.639572592,1070.58391715,574.343398379
2661036536,448.206459986,-23.1318902362,2661040028,1039.26574273,560.311409496,1072.76633507,569.905068588
2661054368,449.523416641,-11.9484189888,2661056031,1043.80476079,553.782738399,1078.55291173,567.992549884
2661069316,449.999648041,0.324942473552,2661072035,1046.95941071,550.356668385,1082.01247209,565.344043981
2661087408,449.554300648,11.5553401238,2661088038,1049.77784889,546.100090279,1084.15005811,560.436013835
2661105358,448.106766304,23.7624131294,2661108042,1054.12987801,540.105448007,1084.16602466,554.912969593
2661120367,445.916349839,34.7802266584,2661124046,1054.0500742,534.868962983,1085.77074289,548.88519656
2661137925,442.599611735,46.5775440293,2661140049,1051.26234762,530.787988076,1089.47246871,541.190513478
2661155315,438.76511027,57.0421428013,2661156053,1052.03025534,528.137190251,1089.40315382,533.69116249
2661170317,433.707159531,68.1374502335,2661172056,1054.29089208,523.403879165,1086.47007709,529.283385406
2661188300,428.358914876,77.8474632019,2661192060,1055.86481386,515.140240491,1083.33236998,524.873226493
2661203354,421.765393104,87.9529505202,2661204063,1052.28249131,511.412271485,1083.04873816,522.294658487
2661221326,415.106817947,96.6812698019,2661224066,1046.23969157,505.674883023,1084.15781747,508.308485505
2661236338,407.19236849,105.631600564,2661240064,1001.02132244,406.273055423,1027.64388655,402.810938652
2661254264,399.447117886,113.227618474,2661256061,978.891716743,370.073506359,1013.785195,374.877042632
2661269260,390.468069749,120.883707588,2661272057,975.719033515,372.355367392,1010.0512118,376.231644975
2661287274,381.870921602,127.25618869,2661288054,968.621313742,365.278295138,1005.5543746,373.26638734
2661305315,372.079299077,133.54996995,2661308050,966.360523408,356.152309213,996.431331256,366.909259162
2661320298,362.859769416,138.662028049,2661324046,966.194978245,351.073743575,990.106915481,365.381511974
2661337851,352.524659354,143.566208203,2661340043,963.959657942,347.371793685,982.817865578,366.367091315
2661355240,342.881976171,147.433960876,2661356040,956.743229513,344.668301648,972.459072742,367.748146199
2661370251,332.216092566,150.988450569,2661372036,947.667241327,340.176999014,964.221379608,362.257016886
2661388233,322.368985433,153.646792507,2661392032,938.133134132,333.406648048,954.985409936,357.217538461
2661403270,311.548423395,155.92457192,2661404029,932.520254984,329.529571963,947.281073894,355.929873279
2661421265,301.657808179,157.450420014,2661424027,922.366627936,326.9240999,931.973673956,359.426839038
2661436279,290.859935914,158.539473706,2661440030,912.872410887,324.451099437,922.73721997,360.230858459
2661454232,281.042758205,159.028006274,2661456038,905.124862608,324.450566408,907.867472748,360.247828039
2661469188,270.374382108,159.035748947,2661472045,891.542799895,325.324014136,896.530091185,357.494834777
2661487252,260.738475673,158.587126123,2661488052,883.083622135,323.575564883,883.787143152,356.629604653
2661505222,250.313688074,157.625727462,2661508062,869.347082236,324.719623622,868.195496369,356.742704692
2661520234,240.924221985,156.343576637,2661524069,858.28536505,327.1087043,856.607551775,357.361262134
2661537772,230.799849121,154.52505329,2661540077,847.148621122,330.360467621,843.726464026,358.164480367
2661555184,221.725544678,152.514384607,2661556084,835.317722881,331.417527485,835.821940307,360.465310985
2661570186,211.971858818,149.9546401,2661572091,826.717512247,330.453331829,823.830085842,361.995044066
2661588168,203.221681244,147.308449063,2661592101,812.026628268,331.869925137,812.302257644,366.95690204
2661603215,193.827828842,144.10037604,2661604106,804.948821393,333.875391047,805.080695033,369.631204091
2661621200,185.427089825,140.909810205,2661624114,796.793908799,335.645912835,795.797045254,373.901874298
2661636208,176.416660064,137.150293458,2661640114,789.299036905,336.766372702,784.98313362,376.392886937
2661654232,168.363799372,133.494826075,2661656106,778.854241771,339.470273344,776.106222582,381.51503342
2661669249,159.736703599,129.269295255,2661672099,773.948869377,341.566659671,768.954934237,384.688245523
2661687264,152.014118694,125.215494969,2661688091,769.865468651,344.776363425,760.257070471,385.893897717
2661705283,143.757308971,120.5982423,2661708082,759.29913262,348.121723311,750.151809917,387.026851458
2661720301,136.373529788,116.222208105,2661724074,751.052678555,351.436910576,744.844868651,389.545526011
2661737812,128.46375421,111.277025714,2661740066,746.785432472,355.535446115,740.196742772,392.034024987
2661755378,121.379197472,106.623340502,2661756059,742.883116938,359.913026133,733.280496406,395.380425567
2661770406,113.78594981,101.402452746,2661772051,735.672017699,364.408367235,723.156959078,400.877454331
2661788388,106.982504804,96.5224986388,2661792042,726.186421004,372.207409799,716.165498998,404.073936191
2661803420,99.677131436,91.0735636534,2661804036,721.057806366,377.528589943,713.864239077,406.763331651
2661821394,93.1217390799,86.0037454702,2661824028,712.693998906,388.018964807,711.204919968,412.480013883
2661836407,86.0818161356,80.3744472074,2661840027,710.228267626,449.393873508,709.896705839,469.460488393
2661854045,79.7553093127,75.1575895439,2661856027,710.342119638,460.820502348,709.241401949,481.866704195
2661872065,72.933177156,69.3710267184,2661876027,708.266947492,465.017383581,704.8062953,488.489735877
2661889066,66.7859999258,64.020395262,2661892027,702.344920189,468.04436731,699.992361655,495.828933209
