t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y
16042649080.0,2.94347916328,-2.94322731898,16042650727,650.114715094,495.86766914,635.857631434,512.5498141119999
16042667081,5.76976005502,-5.76786394231,16042670719,652.856569265,526.998401111,627.728762287,501.106929045
16042682088,8.70161878128,-8.69511870381,16042682714,650.502006618,527.191770032,629.697137168,505.400397016
16042700126,11.7711696674,-11.7550938059,16042702707,653.460964872,513.270019632,629.601711985,507.42266155699997
16042715119,14.5897424382,-14.5591662856,16042718700,654.311794814,509.000892333,635.150618255,492.113662477
16042733130,17.5540918519,-17.5009095724,16042734694,654.013332355,510.01015603,631.99564348,487.09157994199995
16042748137,20.517263934,-20.4324880104,16042750686,649.022341547,524.107846845,634.531127675,502.49023658699997
16042766149,23.4877815061,-23.3608376337,16042766678,648.70470055,520.028421165,633.121747347,509.57274770699996
16042784172,26.6442641296,-26.4593804843,16042786669,647.070130655,527.364613813,635.857066406,519.191273067
16042799185,29.6043675298,-29.351374069,16042802663,644.366601092,530.980946132,631.800759135,517.560080662
16042817184,32.4560703948,-32.1235453358,16042818657,647.529918336,518.987255513,633.504895314,502.18218029300004
16042832200,35.6095934922,-35.1717641334,16042834652,648.937613338,518.812274546,631.729195743,509.12783025199997
16042850209,38.4975893134,-37.9460403207,16042850647,651.140817181,514.603095109,635.131082311,505.779975798
16042865224,41.525719666,-40.8358767922,16042866641,652.406502745,531.340439681,637.618504848,514.91062431
16042883250,44.6017721225,-43.7501561966,16042886634,662.420071863,517.844191825,637.919791497,519.6765243780001
16042898233,47.7929456866,-46.7494268723,16042898630,663.77599311,533.046369592,636.463017783,518.47368919
16042916266,50.7266485338,-49.4838845037,16042918624,666.47690226,525.540878698,635.827810827,505.02849974199995
16042931256,53.9711631219,-52.4812806462,16042934618,684.709357997,540.366859981,658.113480041,538.056796534
16042949270,56.9351816873,-55.1938609389,16042950620,693.683187054,576.510057814,675.4306022669999,571.801163572
16042967276,60.0750143004,-58.0394618414,16042970623,704.068019331,578.772888806,686.9367564830001,574.854163872
16042982297,63.2335510437,-60.8719705703,16042982625,706.553155573,587.202928488,685.954132376,578.319509141
16043000302,66.5500461094,-63.812529789,16043002625,708.396485352,586.80648777,690.463594695,579.341189981
16043015322,69.5992906506,-66.4847673361,16043018623,715.273270026,591.591706895,690.8552949010001,576.744685116
