t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y
<<<<<<< HEAD
7804961132.0,2.94617131589,-2.94591877999,7804962567,660.079802829,477.187727698,645.658924516,448.073065442
7804979109,5.61357026501,-5.61182396118,7804982567,657.966422206,477.779732512,648.297180873,453.026387385
7804994172,8.56754978373,-8.56134533578,7804994567,658.650809632,477.980069134,642.190953789,448.524639165
7805012135,11.5055264237,-11.4905131814,7805014568,658.166449838,476.725380185,643.645591389,446.831582259
7805027144,14.4619444814,-14.4321631737,7805030569,663.25478581,477.562324859,642.789025189,446.237049997
7805045215,17.2839136357,-17.233142357,7805046575,658.445942485,478.004869083,644.62834813,445.837211943
7805060219,20.3846282631,-20.301479262,7805062580,661.872505328,477.107969399,644.262032531,447.600897601
7805078252,23.2211107468,-23.0984195184,7805078585,653.172031848,476.364793905,640.210487399,448.032086988
7805093256,26.337000386,-26.1583973948,7805094591,645.43964772,474.523449556,641.566371277,439.63013498
7805111231,29.1924946684,-28.9498295924,7805114598,646.457863942,483.155457639,640.608303641,443.658434387
7805126288,32.3239974854,-31.9954750277,7805126602,647.784738993,480.088199684,642.579241056,443.630283359
7805144325,35.1967915675,-34.7738366895,7805146608,648.242358945,484.573966127,640.462509003,454.690216845
7805159273,38.3549234548,-37.8093989206,7805162614,646.347984885,480.33699558,642.801081453,453.433970573
7805177341,41.2523162975,-40.5757943032,7805178619,658.798484458,484.594449111,653.374060082,454.481116182
7805192327,44.4435076382,-43.6007594907,7805194624,685.288176958,488.541255126,666.811062908,464.035232675
7805210365,47.3671522836,-46.3507064946,7805210630,690.928650936,490.745073002,677.532318728,476.91879672
7805228388,50.5846321326,-49.3520335355,7805230633,694.194023267,500.703513512,677.98607298,487.894175927
7805243364,53.6819127375,-52.2152360734,7805246621,693.742500235,496.874913113,677.171530167,486.40958109
7805261420,56.7974549342,-55.0683759615,7805262610,696.594436307,502.951899936,673.765792415,487.350505296
7805276436,59.794758613,-57.7866629205,7805278599,700.239563446,497.693728247,677.101807347,487.977076276
7805294450,62.944915211,-60.6144077884,7805294588,701.962659205,498.896843547,680.090315125,497.105379468
7805312464,66.1191587428,-63.432471518,7805314574,696.921334694,500.909751556,685.42445545,491.172301656
7805327444,69.4615939699,-66.3647560163,7805330563,697.674215442,508.284175108,692.824784683,489.926079005
7805345496,72.5378965374,-69.030786014,7805346552,702.368077794,508.623362928,690.634294388,490.30637484
7805360504,75.9261821378,-71.9298085492,7805362541,709.364644126,505.116833106,691.387298338,494.182479931
7805378533,79.0483993017,-74.5656242659,7805382527,714.805281662,501.189837242,699.588008876,503.084139404
7805393546,82.4943012618,-77.4341736899,7805394518,720.986169085,526.817658206,704.060876205,511.883555438
7805411530,85.6693504111,-80.0388237122,7805414504,735.650270295,541.870456636,717.017994669,534.299313619
7805426542,89.1713316719,-82.8680882983,7805430502,744.185673735,546.930549865,727.115803679,538.798299164
7805444557,92.3988128575,-85.4343965354,7805446507,752.922113311,549.942231729,730.731745363,544.788208086
7805459573,95.9657208789,-88.223892319,7805462513,756.198801575,556.035793968,738.764023515,537.843012959
7805477631,99.4100377921,-90.8703011685,7805478520,759.02698767,556.083857092,746.853264447,536.741520973
7805492646,102.885417625,-93.4929330272,7805494527,759.262994538,560.265854427,742.175553564,538.250402327
7805510618,106.227017018,-95.968956703,7805514536,760.024981088,575.08013979,746.19657236,550.70479222
7805525670,109.929051927,-98.6592416519,7805526541,766.350390651,570.362698766,741.305023177,557.33200658
7805543650,113.338940365,-101.087652654,7805546549,773.019962412,573.260243843,755.383013356,560.752166402
7805558656,117.112481643,-103.719167805,7805562556,774.203085333,577.163553408,755.938006172,572.841343174
7805576716,120.594378883,-106.094849186,7805578563,780.01428629,581.759901815,757.543722011,569.520927561
7805594693,124.445098837,-108.663167291,7805598572,781.236846245,588.761351524,768.088706508,570.401415396
7805609764,128.001023706,-110.979521174,7805610577,784.48712487,590.497180773,758.701078316,572.231719917
7805627735,131.932676931,-113.478464949,7805630580,795.658340228,626.003204495,772.912880029,570.893385296
7805642740,135.559355077,-115.725453489,7805646580,792.369511045,601.579630958,780.214629914,571.433347452
7805660810,139.574304195,-118.147733702,7805662581,802.673940766,590.434517208,778.957325735,576.494316414
7805678775,143.28261068,-120.323913815,7805682581,798.802141137,589.800236702,788.236461592,574.750289695
7805693836,147.384121261,-122.662350094,7805694581,806.510678731,590.828664636,792.444498892,573.404043546
7805711816,151.175272658,-124.75974473,7805714582,815.071737652,588.772174065,790.644878242,578.137684762
7805726823,155.363405656,-127.005081655,7805730582,820.220360417,584.383260205,794.375136702,568.596146104
7805744887,159.235382602,-129.01391334,7805746583,826.853313631,598.437762661,797.373541432,575.383460063
7805759865,163.524066197,-131.1637391,7805762583,833.55498492,606.548747334,799.623201881,578.27440356
7805777919,167.66200194,-133.163044745,7805778583,838.048982178,600.312452076,801.008782749,586.734665144
7805792945,171.853824989,-135.113310992,7805794584,839.656484071,599.882082394,801.345501433,592.952716378
7805810906,175.895531075,-136.922175649,7805814584,836.764675304,613.860719418,802.351878371,597.977141181
7805825947,180.373443233,-138.84422482,7805826584,837.177432389,622.301813079,808.418545338,599.299137308
7805843943,184.496946712,-140.537879366,7805846584,845.89818988,629.569591297,814.009823962,600.522578289
7805858951,189.06438764,-142.328506736,7805862583,855.209871512,629.943744966,821.3272455,602.053114556
7805877018,193.282590425,-143.902509856,7805878583,860.498741375,628.962843819,829.568495717,603.645907164
7805891994,197.945174608,-145.553247126,7805894582,869.697844066,628.517883583,831.167897465,603.581147635
7805910045,202.252959859,-146.995195856,7805910582,872.320768325,636.527064145,835.036215854,609.306764187
7805928016,207.00939369,-148.494450862,7805930581,879.430150665,639.331398112,841.232047728,611.452555905
7805943030,211.400982912,-149.792073149,7805946581,878.538373175,644.340235992,846.971976118,607.925654551
7805961106,216.249632406,-151.127990571,7805962580,879.598165959,642.073772779,840.829737768,608.596298107
7805976066,220.73123981,-152.272304284,7805978580,874.99789393,646.019367553,839.634710135,610.479097491
7805994125,225.670203667,-153.432473838,7805994580,879.91163153,655.746423666,844.344097248,624.192763603
7806012107,230.231975994,-154.409750087,7806014579,886.07053566,654.796507702,850.990617074,620.64668605
7806027120,235.257463022,-155.381154543,7806030586,886.231090902,666.738502894,858.523151898,625.369429373
7806045183,239.894675272,-156.17923199,7806046597,892.227272167,663.133680629,861.502142183,620.558345764
7806060143,245.001809702,-156.94845764,7806062623,895.281347261,657.636347633,868.131428645,621.524757789
7806078209,249.708253169,-157.554884615,7806078649,900.280568382,657.207183164,870.028671349,612.63347137
7806093192,254.895806176,-158.108643321,7806094676,901.249369044,659.649315341,872.853588203,612.416263536
7806111195,259.674136023,-158.51148975,7806114709,916.338050398,660.261291679,876.294393499,619.300739654
7806126253,264.933208277,-158.83489188,7806126728,912.469338246,666.063196659,878.998007218,625.91754094
7806144227,269.754023041,-159.01977057,7806146761,922.336249772,665.529698205,883.604836613,620.711654119
7806159237,275.069943559,-159.098442294,7806162787,925.283541583,667.528144731,888.175652474,619.104004968
7806177308,279.94806955,-159.053613652,7806178814,931.151948466,665.456984452,891.957895516,615.724753371
7806192285,285.31165187,-158.873142834,7806194840,930.514072378,667.824978946,898.906442867,621.40505567
7806210339,290.225549455,-158.585280902,7806210866,930.215622876,780.315535175,1146.00398589,1059.880184
7806225386,295.61831331,-158.132078636,7806226881,0.0,0.0,0.0,0.0
7806243396,300.554045574,-157.58892831,7806246883,0.0,0.0,0.0,0.0
7806261386,305.965036367,-156.849425415,7806262872,0.0,0.0,0.0,0.0
7806276432,310.926057845,-156.0359371,7806278857,0.0,0.0,0.0,0.0
7806294421,316.331362071,-154.998193836,7806294842,0.0,0.0,0.0,0.0
7806312443,321.27031,-153.908109993,7806314823,0.0,0.0,0.0,0.0
7806327410,326.440753734,-152.617339004,7806330808,1050.65037291,801.995969261,1067.13567813,767.440306194
7806345474,331.588299225,-151.175303576,7806346793,985.007527359,646.765607993,999.698998798,623.541635679
7806360478,336.962642651,-149.496470547,7806362778,974.692036584,628.237715151,965.863054972,608.533903456
7806378493,341.813106237,-147.823400275,7806378762,976.004996174,626.917352948,954.879291719,598.301215005
7806393519,347.110088218,-145.8178582,7806394747,982.202200995,619.859050182,956.288185821,601.536328571
7806411489,351.906511688,-143.833898863,7806414728,986.329137084,620.096058288,954.640054412,605.324420771
7806426547,357.118571567,-141.48801736,7806426724,991.176394417,613.933687118,956.910923614,605.779071387
7806444560,361.827281833,-139.189648854,7806446721,995.793034936,614.997320069,954.720000499,605.271407105
