t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y
4465406464.0,5.89535016843,-5.89332756708,4465408359,624.801955921,537.501500016,654.493461866,538.390681499
4465424442,8.70477620019,-8.6982690497,4465428360,623.076162605,539.551845951,655.707698332,540.246929054
4465439496,11.784686621,-11.7685553914,4465440360,625.879143333,540.37476776,656.471038362,539.93716923
4465457474,14.6146184224,-14.5838859315,4465460361,625.748256056,541.521605716,655.221144419,538.935465756
4465472490,17.6993135293,-17.6448044943,4465476362,626.437412141,540.59520055,654.162868067,537.148077695
4465490547,20.534308031,-20.4493215262,4465492362,628.972601986,538.472735277,654.771586189,537.948013048
4465505516,23.6403893978,-23.5109685798,4465508362,628.046437472,537.748087813,656.509931031,537.704715299
4465523579,26.4843653287,-26.3027679842,4465524361,623.566910798,540.407686976,657.561214211,538.328583498
4465541552,29.6137385393,-29.3605067802,4465544361,621.070499243,544.118556001,659.120967512,541.694766121
4465556593,32.4794691945,-32.1462316897,4465560361,626.118613438,546.204580281,658.484080283,543.46257087
4465574626,35.6194773493,-35.1812877117,4465576360,630.225577859,545.374162478,659.712953241,544.590728982
4465589599,38.5072844017,-37.9553244388,4465592360,628.97464277,545.21017692,657.825848368,545.929127165
4465607669,41.6995350066,-41.0011353561,4465608360,627.42004409,545.950849499,657.720733131,547.409038689
4465625634,44.5940358794,-43.7428548256,4465628359,631.85102826,548.041818176,657.71056168,546.95561712
4465640645,47.7953405923,-46.7516682021,4465644359,633.173031727,546.519863581,662.487815471,548.2294503
4465658730,50.744484634,-49.5004401096,4465660358,663.801454918,549.765003416,691.53566217,557.363800549
4465673680,53.9772638188,-52.4868893847,4465676357,667.439015259,556.645670181,695.377922356,563.292985607
4465691741,56.9523922232,-55.2095378499,4465692357,673.271303529,564.958554531,700.559820267,571.773362236
4465706756,60.2305553761,-58.1796621644,4465708357,673.748359829,570.931362692,698.791002562,577.638053323
4465724727,63.2471689544,-60.8841160147,4465728357,675.271096032,572.653026151,702.011574617,585.526368977
4465739792,66.6297811059,-63.8827931641,4465740357,675.433507885,573.151205741,705.702275636,587.437037386
4465757768,69.6222877091,-66.5048045736,4465760357,681.846908065,574.339519851,715.217091902,588.412199937
4465772775,72.9995906055,-69.4281401688,4465776358,685.586875895,576.969658874,719.031741616,587.596465462
4465790830,76.0925634074,-72.0711375412,4465792358,692.725507394,579.735119195,722.231722695,587.953818191
4465805807,79.5100838122,-74.9524412394,4465808358,694.529478701,581.869203322,725.152355506,588.570207213
4465823878,82.6608530945,-77.5717270327,4465824358,698.461224061,581.836859122,729.100795408,590.694716898
4465838879,86.1393437808,-80.4212070174,4465840358,701.475301526,581.608334387,733.821617817,592.51284019
4465856854,89.3445523569,-83.0068328235,4465860358,706.177606826,583.187254013,736.748999772,591.568604619
4465871918,92.8735076784,-85.8084753521,4465872357,706.404442486,586.049259143,739.220288661,592.240733865
4465892892,96.133771421,-88.3540942016,4465896356,712.93525298,587.830209588,742.941507163,598.321711498
4465907952,99.8863324152,-91.2325713137,4465908356,714.761567385,587.04263601,744.419491981,599.721060308
4465922972,103.054624517,-93.6193901397,4465924356,716.068327858,584.204617309,747.177791717,601.337966051
4465940939,106.722994933,-96.3326180338,4465944355,718.938907198,581.831463058,748.802274434,604.988648887
4465955993,110.104378898,-98.7852666893,4465956355,720.855785773,581.420088113,751.187437688,606.521721579
4465973971,113.84689545,-101.445309004,4465976354,726.019341162,583.318577792,753.061154715,607.938505171
4465992033,117.295333258,-103.845182182,4465992354,733.290578283,585.143067416,765.1021482,608.245564584
4466007044,121.110388337,-106.442616369,4466008353,741.178855356,589.842416145,771.429702623,605.686327487
4466025018,124.63283865,-108.786793562,4466028353,749.369885937,596.783984346,777.854273023,603.602694034
4466040075,128.525279626,-111.316514282,4466040353,749.606417446,600.195797112,776.582519172,604.176023501
4466058051,132.123321779,-113.597973819,4466060354,748.546195009,600.119119015,779.562077857,613.242940336
4466073065,136.098721679,-116.054854116,4466076356,750.026785511,596.279531845,783.24830026,615.1978871
4466091127,139.768422757,-118.26310671,4466092357,753.586502366,594.120649589,785.412727227,617.437156855
4466106141,143.842811011,-120.647551558,4466108359,757.863487613,596.790546296,789.70568035,618.242141962
4466124168,147.582974995,-122.773893768,4466124360,761.749305856,600.178024706,791.556674885,621.778298099
4466139170,151.731785249,-125.062438529,4466140361,771.038307153,604.162447633,802.021539369,626.468338007
4466157144,155.56672737,-127.112169637,4466160363,781.687102066,613.393708911,810.986842643,632.626036748
4466172205,159.807757908,-129.305404206,4466172364,785.636896672,615.856954561,814.668490022,635.264949937
4466190223,163.728520112,-131.264253011,4466192365,784.671882656,617.887947754,818.485768043,639.65075494
4466205188,168.05830285,-133.350660043,4466208367,786.86551282,624.99851412,822.890048198,642.323684251
4466224257,172.065674228,-135.209868815,4466224368,791.828913351,638.492516858,829.731761028,643.280298992
4466239278,176.492042982,-137.183194705,4466240369,795.237629338,639.807873219,832.2252387,643.483176504
4466257249,180.58258568,-138.931886796,4466260369,796.035085198,640.044921785,833.579446953,645.755625118
4466272304,185.107080395,-140.782269812,4466272368,798.738567573,637.961298148,834.277293945,648.767725289
4466290318,189.287122114,-142.413533293,4466292366,804.806037072,635.344817833,838.309495047,653.790507493
4466305293,193.903753801,-144.127827626,4466308365,804.985675919,636.651663353,839.955294888,655.275962833
4466323361,198.170000918,-145.630479726,4466324363,805.499579337,640.968655439,842.354747439,655.381372146
4466341327,202.886245108,-147.200437462,4466344361,812.013259378,646.438696997,846.149027521,656.834256836
4466356346,207.239602151,-148.564539365,4466356360,817.059528295,648.475264541,849.556648486,656.367984328
4466374386,212.052093139,-149.977375406,4466376358,823.016719161,648.644356575,855.687943458,656.799401287
4466389382,216.49209634,-151.192125953,4466392357,826.748840687,647.218173656,861.404888025,655.371977737
4466407387,221.389680324,-152.433092532,4466408355,831.34905776,640.064187736,864.103237033,653.095348057
4466425411,225.911031165,-153.486333405,4466428353,834.422987961,639.87614769,864.956439712,652.435175246
4466440424,230.900698515,-154.545382854,4466444351,837.654337062,646.078705338,867.966200741,658.23025297
4466458491,235.506476623,-155.426411293,4466460351,842.445584581,650.489118935,873.283911066,663.06136441
4466473454,240.573496235,-156.288116081,4466476352,849.999479291,653.490323873,877.367182044,668.031544217
4466491516,245.248727155,-156.98272128,4466492352,852.273568849,654.597839996,879.913888239,670.246708632
4466506533,250.400301481,-157.635728278,4466508351,857.100628111,655.986397965,883.978638895,672.454996547
4466524535,255.146160293,-158.132310472,4466528347,862.709289122,654.779454303,891.964663214,674.489624398
4466539557,260.37335642,-158.561759904,4466540344,868.413373988,654.778673594,897.697110481,674.629035705
