t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y
3173370367.0,5.58847234432,-5.58674935159,3173373309,638.871974716,466.678012199,640.986901623,486.763501849
3173388382,8.54192174848,-8.53577277223,3173389311,636.444976352,467.590818777,640.250565412,482.21018542
3173403387,11.4850108482,-11.4700776694,3173405313,637.095154834,465.792234072,640.020306669,480.954780282
3173421405,14.4399223706,-14.4102766277,3173425316,635.840325322,461.868845884,639.940262595,486.384391688
3173439408,17.4004610306,-17.3486588146,3173441319,639.927088639,459.472559896,640.707789114,487.731756504
3173454432,20.3729556427,-20.2899488203,3173457322,636.381382376,463.649291225,639.889750499,489.16096323
3173472433,23.3431111221,-23.218486224,3173473324,635.818896745,467.303847459,641.627568731,483.565470768
3173487443,26.3199657085,-26.1417067339,3173489327,636.076034023,469.175178541,640.02365601,487.280237902
3173505455,29.3044588256,-29.0590140894,3173509330,639.716055171,467.208115655,641.623645106,488.656401543
3173520470,32.4436191482,-32.1114727964,3173521331,641.868829212,468.177255503,642.472076957,489.310106045
3173538479,35.3189706805,-34.8916483754,3173541329,641.1978803,472.033344148,641.852776731,480.792263312
3173553491,38.3412163913,-37.7962684027,3173557327,639.338157471,476.620142063,647.473751978,476.824999196
3173571499,41.3717534932,-40.6894330153,3173573325,637.981213704,477.127190545,650.130955949,472.946898865
3173589515,44.4240590175,-43.5823964533,3173593324,660.656358086,503.282394887,659.043868575,494.405243939
3173604523,47.4839447529,-46.4601187322,3173605323,674.10580229,510.683540352,676.631708645,515.317846246
3173622545,50.5653258626,-49.3341050483,3173625322,679.243491551,515.097363808,682.317551038,526.084315563
3173637548,53.6659564484,-52.200553128,3173641321,681.888919206,521.554737948,684.498361786,530.097930532
3173655557,56.7888139512,-55.0605011916,3173657320,685.366406325,524.659637492,686.928129555,533.89801964
3173670572,59.9120506641,-57.8924926403,3173673319,687.134612333,530.989494217,690.590630446,531.444164751
3173688580,63.0728692069,-60.728619023,3173689318,689.109513127,535.667213067,686.560655643,528.451805631
3173703589,66.2474182175,-63.545663657,3173705317,689.10385219,535.411945125,694.946464601,522.290001651
3173721609,69.4411851263,-66.3469630618,3173725316,691.311406473,539.90583451,699.602350812,522.613929231
3173739611,72.6609597871,-69.1367708263,3173741316,696.186005913,541.086923822,706.323848528,532.378436296
3173754635,75.9153324788,-71.920589172,3173757316,701.101379692,547.866360273,708.724360538,541.458974554
3173772634,79.1803314861,-74.6762400594,3173773316,705.843530072,553.665858793,709.239823492,552.510791798
3173787642,82.4743789999,-77.4177133135,3173789316,710.178045975,557.240381501,715.789548024,558.686951358
3173805667,85.7953868032,-80.1414468891,3173809317,715.73971633,561.157497058,721.252380101,561.589273457
3173820675,89.3122495636,-82.9809679054,3173821318,716.686962093,562.747059497,724.267951996,561.687105953
3173838684,92.5277453083,-85.5360865055,3173841319,723.637085272,570.515385653,728.602797613,561.986451936
3173853693,95.9398772268,-88.2038594211,3173857320,731.8723822,577.7932034,730.095666057,574.607924508
3173871697,99.3789906449,-90.846655454,3173873321,733.498055166,580.476142305,732.664877099,574.286371315
3173886713,102.856872618,-93.4715885416,3173889322,735.403472017,585.043475622,735.723999786,585.689048358
3173904726,106.359530557,-96.0662159663,3173905323,738.552046722,587.825602731,737.787557404,579.245444273
