t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y
8978243352.0,5.82363678098,-5.82168707234,8978244872,630.558776467,507.754244329,626.884858895,510.383278125
8978261359,8.77221866484,-8.76555920811,8978264863,632.542638384,506.527029744,630.807152951,509.395723614
8978276371,11.8598058007,-11.8433645553,8978276857,634.43545152,504.378775702,632.6497136309999,509.900373143
8978294384,14.6824255216,-14.6512641875,8978296854,637.945135765,502.513968175,631.343867893,511.447925218
8978309405,17.7747915474,-17.7195843481,8978312851,637.706111402,502.71102601800004,626.446095247,513.131202904
8978327402,20.5998450868,-20.5140456384,8978328848,637.509269561,501.501923446,621.7223243469999,508.35848965699995
8978342413,23.7234343861,-23.5926523559,8978344845,634.48685626,498.388647826,621.730216101,502.997306069
8978360424,26.5694289026,-26.3860881412,8978360841,632.250324755,499.529163455,623.948414475,503.33726575099996
8978375437,29.692601072,-29.437358036,8978376838,631.922379075,504.309037307,626.285385323,509.41525402199994
8978393452,32.5522263494,-32.2167671351,8978396834,633.364703302,506.24923756,629.223392183,515.907602535
8978408459,35.6972406212,-35.2562096429,8978408831,633.667090756,504.956931998,630.517042625,518.140780642
8978426472,38.5858679164,-38.0305694577,8978428827,633.679990762,504.12048477300004,633.211505298,520.53412978
8978444481,41.758318489,-41.0570094353,8978444823,634.864327594,503.088538323,635.972138032,518.9889655769999
8978459503,44.6646035232,-43.8094503624,8978460820,637.587489774,503.349228397,639.922902734,516.010655303
8978477511,47.8718995679,-46.8233100579,8978480817,655.260789783,507.312393616,649.615310993,518.246266666
8978492514,50.8117690511,-49.5628863842,8978492816,663.92666548,512.3647048930001,653.324302936,522.874322696
8978510525,54.055465817,-52.5587759783,8978512818,673.13845715,520.174996306,662.244275064,532.269032215
8978525535,57.0359033726,-55.2855951148,8978528825,674.321019922,528.5388160269999,666.113337595,537.948425144
8978543548,60.1673972238,-58.1227420146,8978544832,674.980223025,535.920119469,670.945780241,539.966981313
8978561562,63.3244584827,-60.9530374495,8978564840,670.296218101,542.460180505,674.824016642,536.698962137
8978576569,66.6449080305,-63.8961208576,8978576845,668.44448822,542.352223363,676.6144943869999,532.440695452
8978594582,69.7022653311,-66.5744750232,8978596854,667.439998793,538.85421427,677.179365674,530.332133121
8978609602,73.0709316193,-69.489474344,8978612861,667.909621652,535.952773503,679.330482406,535.161901393
8978627601,76.1662694528,-72.1337145461,8978628868,669.552235075,532.424849976,680.445749514,539.997795704
8978642616,79.5997064374,-75.0274418922,8978644875,676.580973387,535.262234477,681.267374256,546.425724345
8978660627,82.7428310646,-77.639394445,8978660882,695.448627083,552.479794802,688.762692463,560.634989183
8978675637,86.2165265225,-80.4839235265,8978676889,701.126294487,570.334803624,697.992991198,572.9147821380001
8978693656,89.4239321395,-83.0703755541,8978696891,713.410244677,577.341425618,707.20159425,583.6619785
8978708658,92.96039704,-85.8768535552,8978708892,717.914345576,578.779313416,710.953283384,585.607111506
8978726670,96.2241845953,-88.424098623,8978728899,721.552168291,580.016122884,712.151612461,590.355552947
8978741688,99.8278562843,-91.1881427715,8978744907,722.764167033,582.0156766580001,714.012162418,591.872855793
8978759697,103.139536483,-93.6828059949,8978760914,726.706155553,583.405142485,715.404355844,593.322478197
8978777720,106.810672782,-96.3968015384,8978780923,729.427087577,587.0982797280001,718.852398676,593.883254715
8978792715,110.1983066,-98.8527301964,8978792928,732.857346584,590.1076243580001,722.123880452,594.995506055
8978810735,113.929089875,-101.503082884,8978812937,733.907715816,594.629809153,726.4888516880001,597.702138244
8978825742,117.37599763,-103.90072884,8978828944,738.084254793,596.032749975,727.996870982,601.401488585
8978843759,121.02788302,-106.38708627,8978844952,739.144101762,596.847273825,730.9999737080001,606.47656609
8978861766,124.727146673,-108.848839278,8978864961,742.239503627,599.329020322,734.7314517000001,607.745907838
8978876776,128.620104329,-111.377343851,8978876966,743.85556292,601.919521079,738.232714941,610.604060887
