t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y
2563643327.0,2.94455949246,-2.94430737078,2563645836,649.017825139,514.85441568,653.511379552,510.058273615
2563658331,5.95216061615,-5.95007899796,2563661842,649.600656818,514.054235671,652.5151341540001,511.489784219
2563676337,8.76905589381,-8.7624036321,2563677848,647.92733809,512.342075315,648.837054532,516.760805325
2563694348,11.7242870838,-11.7084022825,2563697853,646.937675335,511.891159997,651.89423396,517.760610196
2563709355,14.663451976,-14.6324110373,2563709854,648.523025387,516.356323605,653.695625754,514.240513718
2563727379,17.6129418096,-17.5592244867,2563729856,649.613062766,521.831999561,650.072646417,520.1880632259999
2563742379,20.750101601,-20.6624189106,2563745858,650.166198677,525.198411078,646.267035695,523.1900756690001
2563760391,23.5488582697,-23.4209268718,2563761859,652.969765956,522.236536011,647.9095407130001,521.803689855
2563775407,26.7044351967,-26.5183048049,2563777861,652.668104603,515.586938335,655.307185304,512.157350766
2563793415,29.5358302059,-29.2845751163,2563793863,648.629474121,516.280524936,655.592444699,510.54825956
2563808423,32.7254276883,-32.3846405256,2563809864,646.170449834,521.201387221,651.003909651,510.694236104
2563826440,35.5331740686,-35.0981237484,2563829867,650.518077922,521.037931704,646.02849861,515.563137624
2563841443,38.7213512464,-38.160266096,2563841868,653.739129214,520.108696937,647.14443244,515.106201876
2563859463,41.5898577657,-40.8968654175,2563861860,658.409002575,512.2840035869999,655.230715634,516.167806656
2563877468,44.7930127213,-43.9306008839,2563877853,657.105862101,508.669011165,656.778432997,517.812982908
2563892479,47.7149160646,-46.6763930012,2563893847,658.312453199,505.043875207,658.417013101,521.415652877
2563910489,50.7963551004,-49.5485818535,2563913840,662.981613304,523.2023979740001,665.848070766,527.070030588
2563925505,53.8896897989,-52.4063673385,2563925836,670.260610984,574.593580772,681.878800273,541.6522994119999
2563943512,57.0167192547,-55.2681250932,2563945829,678.710934064,581.525668342,693.156647682,552.640319404
2563958527,60.1394440805,-58.0975458952,2563961823,682.694348234,589.887653158,693.446716473,563.802113236
2563976536,63.3017574081,-60.9327961469,2563977818,683.199410741,592.67611547,694.8707933769999,572.035507669
2563991555,66.4900837985,-63.7596767767,2563993812,687.55229237,595.386161788,695.2130693710001,580.160846758
2564009554,69.6809990493,-66.5559515268,2564009806,690.397370736,597.966191046,697.2912998239999,589.8171027340001
2564027568,72.8997381271,-69.3422645057,2564029799,695.045922703,598.16348222,698.442806556,595.94637322
2564042580,76.3327827967,-72.275015502,2564045794,700.54689397,597.270301936,699.692649457,600.968896306
2564060591,79.4113806569,-74.8698081839,2564061792,703.219390163,597.150676592,702.937938875,603.903455801
2564075599,82.903567989,-77.7720007024,2564077790,709.511293561,596.529509016,709.426776844,605.69622409
2564093613,86.0521071053,-80.3502941758,2564093790,714.464685268,595.895237883,718.491950257,601.420589115
2564110652,89.5669987484,-83.1848384932,2564113792,719.715187794,644.09766427,0.0,0.0
2564125637,92.7836424268,-85.737724587,2564125794,0.0,0.0,0.0,0.0
2564143649,96.3671969672,-88.5347637908,2564145796,0.0,0.0,0.0,0.0
2564158667,99.6270397991,-91.0354646749,2564161798,717.08275511,680.4193652619999,0.0,0.0
2564176677,103.185041618,-93.7167792524,2564177800,726.102363828,672.274980647,738.429117018,630.523220619
2564194695,106.624719906,-96.2606399416,2564197803,757.130233356,625.291486649,757.8885579639999,628.016892967
2564209696,110.35297558,-98.9637424089,2564209804,773.877537997,619.458773579,761.5329770139999,617.0288611980001
2564224705,113.736516869,-101.367680825,2564225806,780.150775337,618.65552014,773.232547373,603.744096265
2564242722,117.368203441,-103.895362828,2564245809,787.759297051,634.30955931,785.51703343,621.660013976
2564260727,120.999683559,-106.36810013,2564261810,788.278560586,644.012030357,794.681651298,623.681951583
2564275736,124.710726791,-108.838039246,2564277811,787.233780638,645.36676902,799.670921144,621.723496316
2564293751,128.424321859,-111.251708624,2564293812,769.59478333,639.595187376,779.238105087,614.582597786
2564308759,132.203017496,-113.647886704,2564309812,766.182012012,636.323539921,769.899681743,617.508685487
2564326780,135.986057803,-115.986150609,2564329812,760.791131008,632.61279256,765.732501817,619.7339021509999
2564341832,140.044424394,-118.426869475,2564345812,763.057951621,630.353795715,765.35202939,627.886716635
2564359791,143.717865416,-120.575484554,2564361812,764.113589377,631.552233777,765.162019393,626.86158964
2564374808,147.867239158,-122.933052778,2564377812,766.660265281,638.6676601180001,769.4047225080001,634.8062910819999
2564392817,151.637796731,-125.011410314,2564393812,768.43748987,641.322784944,771.5397383860001,633.656699267
2564410834,155.841809347,-127.256770612,2564413812,771.829022636,642.6203837080001,776.268000538,636.796550357
2564425849,159.698213585,-129.249726029,2564429812,772.457503197,653.4353567530001,778.83367324,639.702337245
2564443847,164.007011478,-131.400876192,2564445812,777.677099066,655.9904740009999,785.468366151,642.309503549
2564458867,167.932741931,-133.291290555,2564461813,781.511988736,652.457944203,786.6590071830001,643.7720824630001
2564476869,172.276928343,-135.305963183,2564477815,785.138922886,650.253979457,794.837360407,646.755866575
2564491888,176.380648477,-137.134567396,2564493817,796.487629962,645.095709427,808.2276872089999,646.1067079769999
2564509890,180.669264853,-138.968163198,2564513819,807.163825144,644.511460185,817.987023124,642.272928869
2564526894,184.978402903,-140.730860978,2564529821,817.853411123,647.2341996719999,822.190502743,638.775612526
